[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,7488408.20,11/15/2023,5:43 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Palladium,SAMPLE_MATERIAL
INFO,Silindrical sample shape,SAMPLE_COMMENT
INFO,314.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,7488507.46,298.0084381,34999.0665,0.0570387099634513,3.23853386315869E-6,1,4.99626677034896,40.0298881530762,1.99300153900035,8.74000042676926,0.633705187689727,0.109967373909758,2.5,-2.41160387606859E-5,0.0570402700492563,1.30689794878504E-5,298.0082397,298.0086365,34998.887,34999.246,52.9576770634479,18.4422402255767,32.876747,0,0,0,200,4417,297.9872,34999.0665,,,,,,,,,,,,,0,,,,15.89836595,,,,,,298.0084381,,,,
,7488582.405,298.00209045,32080.5175,0.0522090702384181,3.03979174219796E-6,1,4.99626677034896,40.0298881530762,1.99306435675703,8.74000042676926,0.580070412092425,0.10062856931816,2.5,-2.48375424070619E-5,0.0522105090920263,9.20839707945311E-6,298.0015259,298.002655,32079.832,32081.203,52.903744695621,18.4449254188421,32.876747,0,0,0,200,4417,297.99445,32080.5175,,,,,,,,,,,,,0,,,,17.351553,,,,,,298.00209045,,,,
,7488657.335,297.99687195,29166.1045,0.0474155173067751,2.58369852250856E-6,1,4.99626677034896,40.0298881530762,1.99300977353607,8.74000042676926,0.526798097385933,0.0913849510677165,2.5,-2.27521803733566E-5,0.0474168307157199,8.17725320274034E-6,297.9967651,297.9969788,29165.107,29167.102,52.8201104440633,18.4453223392773,32.114323,0,0,0,200,4417,297.9943,29166.1045,,,,,,,,,,,,,0,,,,17.351553,,,,,,297.99687195,,,,
,7488737.28,297.9955902,26248.2735,0.0426423897256878,2.00415743262115E-6,1,4.99626677034896,40.0298881530762,1.99303781534881,8.74000042676926,0.47377612685083,0.0821737597565353,2.5,-2.16353454607916E-5,0.0426435725395235,6.18838481226662E-6,297.9947815,297.9963989,26247.563,26248.984,53.1749697917941,18.4445007333523,32.495537,0,0,0,200,4417,297.99815,26248.2735,,,,,,,,,,,,,0,,,,17.4386654,,,,,,297.9955902,,,,
,7488807.225,297.9969177,23330.8545,0.0378858175024668,1.9865803481062E-6,1,4.99626677034896,40.0298881530762,1.99305820423059,8.74000042676926,0.420931154711689,0.0730165102380758,2.5,-1.849446551378E-5,0.03788686565189,6.23283460504602E-6,297.9967041,297.9971313,23330.764,23330.945,53.0405296864864,18.4435285484944,32.495537,0,0,0,200,4417,297.9986,23330.8545,,,,,,,,,,,,,0,,,,15.8516717,,,,,,297.9969177,,,,
,7488877.17,297.996521,20414.7645,0.033128492155154,1.53872102678786E-6,1,4.99626677034896,40.0298881530762,1.99307913118687,8.74000042676926,0.368081137635378,0.0638332893479412,2.5,-1.75434884604206E-5,0.0331294094179687,4.08430407853575E-6,297.9957581,297.9972839,20414.189,20415.34,52.7419475921402,18.4444333460802,32.876747,0,0,0,200,4417,298.0057,20414.7645,,,,,,,,,,,,,0,,,,17.3524351,,,,,,297.996521,,,,
,7488947.185,297.99806215,17497.5215,0.0283735789251033,1.41301618419346E-6,1,4.99626677034896,40.0298881530762,1.99310390884043,8.74000042676926,0.315252492418978,0.0546829671039413,2.5,-1.40420743602671E-5,0.0283743620266718,4.4868342083722E-6,297.9975586,297.9985657,17497.24,17497.803,52.8646632696594,18.4461140225859,32.114323,0,0,0,200,4417,298.0031,17497.5215,,,,,,,,,,,,,0,,,,17.351553,,,,,,297.99806215,,,,
,7489017.085,297.9966583,14580.0165,0.0236124728772643,1.08083757516043E-6,1,4.99626677034896,40.0298881530762,1.99308393296373,8.74000042676926,0.262353062040736,0.0454913479145186,2.5,-1.30708150731296E-5,0.0236131260832651,2.3528119580858E-6,297.9959106,297.997406,14579.739,14580.294,52.768522961794,18.4466451451417,32.876747,0,0,0,200,4417,298.00645,14580.0165,,,,,,,,,,,,,0,,,,17.4386654,,,,,,297.9966583,,,,
,7489107.025,297.9954834,11666.989,0.0188614100534424,7.70587321953087E-7,1,4.99626677034896,40.0298881530762,1.9931080694893,8.7500000372529,0.209570924244881,0.0363186171949402,2.5,-1.22299665977975E-5,0.0188619333735663,9.31178380765638E-8,297.9949036,297.9960632,11666.971,11667.007,52.9350098363902,18.4480104429295,32.876747,0,0,0,200,4417,298.01195,11666.989,,,,,,,,,,,,,0,,,,17.26704595,,,,,,297.9954834,,,,
,7489186.92,297.9938812,8750.29,0.0140937590346798,6.54664498635471E-7,1,4.99626677034896,40.0298881530762,1.99312014491506,8.7500000372529,0.156596862547277,0.027145042176157,2.5,-8.5440891632451E-6,0.0140941501900945,6.65830577312012E-7,297.9936523,297.9941101,8750.261,8750.319,52.8373062714864,18.4471558856451,32.495537,0,0,0,200,4417,298.02535,8750.29,,,,,,,,,,,,,0,,,,17.5257778,,,,,,297.9938812,,,,
,7489266.87,297.9953613,5833.6555,0.00932753360540707,6.19988387417553E-7,1,4.99626677034896,40.0298881530762,1.99313473965552,8.7500000372529,0.103640224029732,0.0179621298070786,2.5,-5.93784536555876E-6,0.00932779210630421,1.58839659998634E-7,297.9950256,297.995697,5833.493,5833.818,52.5676444323517,18.4479262839136,32.876747,0,0,0,200,4417,298.02575,5833.6555,,,,,,,,,,,,,0,,,,17.0159607,,,,,,297.9953613,,,,
,7489346.825,297.9933777,2916.94,0.0045512783643958,3.16092185243549E-7,1,4.99626677034896,40.0298881530762,1.99304704902128,8.74000042676926,0.0505682396808915,0.00876325986244755,2.5,-2.97121883060319E-6,0.00455140476843931,4.09419411226154E-9,297.9930725,297.9936829,2916.859,2917.021,53.0678866846595,18.4470403758113,32.876747,0,0,0,200,4417,298.03545,2916.94,,,,,,,,,,,,,0,,,,15.090168,,,,,,297.9933777,,,,
,7489431.765,298.00305175,0.2355,-0.000212637965673661,1.48729175758617E-7,1,4.99626677034896,40.0298881530762,1.9931284876246,8.74000042676926,-0.00236010406834082,-0.000428347389091323,0.25,-1.55148575335199E-6,-0.000212642700919959,-1.69056769585191E-6,298.0024109,298.0036926,0.22,0.251,52.8412144140825,18.4486328781066,32.114323,0,0,0,200,4417,298.02445,0.2355,,,,,,,,,,,,,0,,,,15.7269163,,,,,,298.00305175,,,,
,7489521.675,298.00128175,-2916.685,-0.00497141963407741,2.96098810100333E-7,1,4.99626677034896,40.0298881530762,1.99313487639035,8.74000042676926,-0.0552323641526727,-0.00960879255022868,2.5,-9.94683105970958E-9,-0.0049715543753087,-3.26013828235645E-6,298.0008545,298.001709,-2916.738,-2916.632,53.1202557954479,18.445999522189,32.495537,0,0,0,200,4417,298.02535,-2916.685,,,,,,,,,,,,,0,,,,16.12332105,,,,,,298.00128175,,,,
,7489611.625,298.0028229,-5833.1135,-0.00971047549868501,4.92074370053858E-7,1,4.99626677034896,40.0298881530762,1.99308976915884,8.74000042676926,-0.107885719431708,-0.0187399404998686,2.5,2.51060469139998E-6,-0.00971074001691256,-3.83649701809316E-6,298.0025635,298.0030823,-5833.129,-5833.098,52.7880636747748,18.4503860158245,32.876747,0,0,0,200,4417,298.02505,-5833.1135,,,,,,,,,,,,,0,,,,17.01170925,,,,,,298.0028229,,,,
,7489696.565,297.99736025,-8749.6485,-0.0144354455505535,6.08896410443543E-7,1,4.99626677034896,40.0298881530762,1.99314247849962,8.74000042676926,-0.160388152779153,-0.0278432264340512,2.5,5.16987832066296E-6,-0.014435842327079,-4.26343055431842E-6,297.9964905,297.99823,-8749.658,-8749.639,52.7341313069479,18.4492428845376,32.876747,0,0,0,200,4417,298.02515,-8749.6485,,,,,,,,,,,,,0,,,,15.30049995,,,,,,297.99736025,,,,
,7489781.51,298.00073245,-11666.2825,-0.0191634155720991,1.03547493389727E-6,1,4.99626677034896,40.0298881530762,1.99316475006198,8.7500000372529,-0.21292327984725,-0.0369530494404423,2.5,7.75356140227181E-6,-0.0191639412148921,-4.76655243558312E-6,298.0006409,298.000824,-11666.316,-11666.249,53.0202073449864,18.4483465452105,33.257957,0,0,0,200,4417,298.02025,-11666.2825,,,,,,,,,,,,,0,,,,14.8622713,,,,,,298.00073245,,,,
,7489866.455,298.0031891,-14583.1245,-0.0238979373619481,8.70055345135197E-7,1,4.99626677034896,40.0298881530762,1.99312985230831,8.7500000372529,-0.265520552139832,-0.0461001454873444,2.5,8.02376538439974E-6,-0.0238985904243596,-7.58562809739783E-6,298.0027771,298.0036011,-14583.148,-14583.101,52.5950014305248,18.4472018821769,32.114323,0,0,0,200,4417,298.0199,-14583.1245,,,,,,,,,,,,,0,,,,17.7026186,,,,,,298.0031891,,,,
,7489956.43,298.0051422,-17497.879,-0.0286133821764012,1.50219319442329E-6,1,4.99626677034896,40.0298881530762,1.99308555540958,8.7500000372529,-0.317909478233734,-0.0551707246154865,2.5,1.18112103201909E-5,-0.0286141642945743,-6.87370263585957E-6,298.0050964,298.005188,-17498.018,-17497.74,53.2093614466402,18.4492216188933,32.495537,0,0,0,200,4417,298.01195,-17497.879,,,,,,,,,,,,,0,,,,17.7026186,,,,,,298.0051422,,,,
,7490036.345,298.0037384,-20413.9425,-0.0333478013965879,1.89508040150058E-6,1,4.99626677034896,40.0298881530762,1.99313473731634,8.74000042676926,-0.370516941312076,-0.0643191352568317,2.5,1.2117471044916E-5,-0.0333487138822244,-9.65308547881404E-6,298.0036316,298.0038452,-20414.049,-20413.836,52.7911901888517,18.449875260098,32.876747,0,0,0,200,4417,298.0122,-20413.9425,,,,,,,,,,,,,0,,,,17.7905884,,,,,,298.0037384,,,,
,7490126.325,298.00909425,-23331.5255,-0.0380850107224603,1.70250826581409E-6,1,4.99626677034896,40.0298881530762,1.99315229074137,8.74000042676926,-0.423157872244213,-0.0734348824660078,2.5,1.57842952290908E-5,-0.0380860486449293,-9.07173836734107E-6,298.0085449,298.0096436,-23331.686,-23331.365,52.7786841325441,18.452340450734,32.114323,0,0,0,200,4417,298.01225,-23331.5255,,,,,,,,,,,,,0,,,,17.7026186,,,,,,298.00909425,,,,
,7490206.235,298.00094605,-26247.6105,-0.042816142676781,2.13393953891598E-6,1,4.99626677034896,40.0298881530762,1.99318318589632,8.74000042676926,-0.475745778543101,-0.082479971939575,2.5,2.48154245989046E-5,-0.0428173255975842,-3.11948681715475E-6,298.0007935,298.0010986,-26248.293,-26246.928,52.9264119226787,18.4542333024681,32.114323,0,0,0,200,4417,298.01715,-26247.6105,,,,,,,,,,,,,0,,,,15.4986029,,,,,,298.00094605,,,,
,7490296.165,298.0038147,-29166.12,-0.0475650304975882,2.31124368572676E-6,1,4.99626677034896,40.0298881530762,1.99320724563621,8.74000042676926,-0.528510336067007,-0.0916759964273032,2.5,2.33460487638798E-5,-0.0475663384312963,-7.68047849363542E-6,298.0036926,298.0039368,-29166.98,-29165.26,52.7255333932363,18.4533612908009,32.876747,0,0,0,200,4417,297.9977,-29166.12,,,,,,,,,,,,,0,,,,15.86036345,,,,,,298.0038147,,,,
,7490376.105,298.01011655,-32080.5685,-0.0523023260736948,3.24982638956108E-6,1,4.99626677034896,40.0298881530762,1.99317405074983,8.74000042676926,-0.581133487884292,-0.100834144547339,2.5,2.30347815558677E-5,-0.0523037534449304,-1.10733580826059E-5,298.0099487,298.0102844,-32081.348,-32079.789,52.7700862188325,18.4531432427293,32.495537,0,0,0,200,4417,297.98455,-32080.5685,,,,,,,,,,,,,0,,,,17.9692049,,,,,,298.01011655,,,,
,7490466.03,298.0039978,-34998.2465,-0.0570403585378281,2.73406240715629E-6,1,4.99626677034896,40.0298881530762,1.99321174565538,8.74000042676926,-0.633789559380831,-0.109970905887568,2.5,2.50882002927263E-5,-0.0570419268820525,-1.20987489358232E-5,298.0039978,298.0039978,-34998.684,-34997.809,52.6317379709286,18.4529261734932,33.257957,0,0,0,200,4417,297.98125,-34998.2465,,,,,,,,,,,,,0,,,,17.7017174,,,,,,298.0039978,,,,
,7490540.965,298.0005493,-32081.086,-0.0522067628866642,2.7637028124924E-6,1,4.99626677034896,40.0298881530762,1.993189037924,8.74000042676926,-0.580074176693847,-0.100661326738867,2.5,2.20325727350071E-5,-0.0522082021742029,-1.20130245029661E-5,297.9999084,298.0011902,-32081.221,-32080.951,52.6340828564863,18.4515978380052,32.876747,0,0,0,200,4417,297.9864,-32081.086,,,,,,,,,,,,,0,,,,17.4491081,,,,,,298.0005493,,,,
,7490620.9,297.99720765,-29163.541,-0.04741644325125,2.43833343798691E-6,1,4.99626677034896,40.0298881530762,1.99318080657106,8.7500000372529,-0.526844278088744,-0.0914370983915936,2.5,1.88969407190698E-5,-0.0474177536360013,-1.20337200239115E-5,297.9970093,297.997406,-29164.795,-29162.287,52.3949045296017,18.4521337680088,32.876747,0,0,0,200,4417,297.99015,-29163.541,,,,,,,,,,,,,0,,,,17.27566245,,,,,,297.99720765,,,,
,7490700.87,298.00184635,-26247.7035,-0.0426115253846553,3.33275749059677E-5,1,4.99626677034896,40.0298881530762,1.99317875868029,8.7500000372529,-0.473481564517147,-0.0820259158886602,2.5,3.00733917666035E-5,-0.0426127047610603,2.26978693522105E-6,297.9957886,298.0079041,-26248.686,-26246.721,53.1108762532172,18.4509179374631,32.876747,0,0,0,200,4417,297.99595,-26247.7035,,,,,,,,,,,,,0,,,,15.8148861,,,,,,298.00184635,,,,
,7490780.76,297.9971466,-23332.331,-0.0378935195068314,2.02918618373819E-6,1,4.99626677034896,40.0298881530762,1.99311270509663,8.74000042676926,-0.421021766016139,-0.0730677537957495,2.5,1.53941489542317E-5,-0.0378945655880426,-9.33819055577339E-6,297.9968872,297.997406,-23332.912,-23331.75,52.8435592996402,18.4500775313389,32.114323,0,0,0,200,4417,297.9993,-23332.331,,,,,,,,,,,,,0,,,,18.1496143,,,,,,297.9971466,,,,
,7490865.715,297.99467465,-20417.048,-0.0331408821174118,1.74779949768852E-6,1,4.99626677034896,40.0298881530762,1.99315322114936,8.74000042676926,-0.368222116000023,-0.0639159380249607,2.5,1.24659773796489E-5,-0.0331417981558836,-9.17103591046262E-6,297.9936218,297.9957275,-20417.328,-20416.768,52.8560653559479,18.449118186878,32.876747,0,0,0,200,4417,297.9941,-20417.048,,,,,,,,,,,,,0,,,,17.20051095,,,,,,297.99467465,,,,
,7490945.65,297.9972687,-17498.3945,-0.0283755918078205,1.2084721386221E-6,1,4.99626677034896,40.0298881530762,1.99305526497988,8.74000042676926,-0.315263650876468,-0.0547076182117687,2.5,1.2057467478378E-5,-0.0283763744323334,-6.47200193059096E-6,297.9970398,297.9974976,-17498.396,-17498.393,52.822455329621,18.4491454341992,32.495537,0,0,0,200,4417,298.01405,-17498.3945,,,,,,,,,,,,,0,,,,16.5729036,,,,,,297.9972687,,,,
,7491025.61,297.9921265,-14581.1745,-0.0236161288777618,9.23645921342131E-7,1,4.99626677034896,40.0298881530762,1.99312436096186,8.74000042676926,-0.262392849621493,-0.0455336206169052,2.5,9.98181392303825E-6,-0.0236167834364949,-5.44399341047455E-6,297.9916077,297.9926453,-14582.022,-14580.327,53.0092645457172,18.4487754094692,32.876747,0,0,0,200,4417,298.0112,-14581.1745,,,,,,,,,,,,,0,,,,17.9709978,,,,,,297.9921265,,,,
,7491115.51,297.99554445,-11666.7795,-0.0188606053839267,1.10441402394748E-6,1,4.99626677034896,40.0298881530762,1.99306119855539,8.74000042676926,-0.209545175941318,-0.0363856953685194,2.5,5.97826336351901E-6,-0.0188611245757704,-6.34433648048629E-6,297.9951172,297.9959717,-11666.811,-11666.748,52.8857672396787,18.4487037810957,32.876747,0,0,0,200,4417,298.0146,-11666.7795,,,,,,,,,,,,,0,,,,17.8794594,,,,,,297.99554445,,,,
,7491195.485,297.99275205,-8750.3135,-0.0140911909474673,6.55324688102822E-7,1,4.99626677034896,40.0298881530762,1.99308245671865,8.7500000372529,-0.156558460975917,-0.0271800345714007,2.5,4.90355986867629E-6,-0.0140915801176334,-4.30495536941743E-6,297.9924011,297.993103,-8750.423,-8750.204,52.5871851453325,18.4483265081712,32.114323,0,0,0,200,4417,298.0206,-8750.3135,,,,,,,,,,,,,0,,,,17.5292759,,,,,,297.99275205,,,,
