[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Pd-2173_calibration_15_11_2023
FILEOPENTIME,7464868.80,11/15/2023,11:10 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Palladium,SAMPLE_MATERIAL
INFO,Silindrical sample shape,SAMPLE_COMMENT
INFO,314.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,7466461.745,298.0059814,9999.8025,0.0164646411896592,2.36984695146805E-6,1,0.999253354069792,40.0298881530762,1.9922347287901,8.74000042676926,0.182854903525227,0.0317382445952676,2.5,-6.34919558142503E-6,0.0164650898274747,4.40927262620647E-6,298.0059814,298.0059814,9999.692,9999.913,52.0916326641401,18.4167322726335,32.495537,0,0,0,40,4417,298.0196,9999.8025,,,,,,,,,,,,,0,,,,10.2192116,,,,,,298.0059814,,,,
,7466517.115,298.0010986,9166.8525,0.0150792120551488,2.26771356125691E-6,1,0.999253354069792,40.0298881530762,1.99236134007407,8.74000042676926,0.167475139304762,0.0290897120635367,2.5,-3.98531751697377E-6,0.0150796238858877,5.86880496850989E-6,298.0010986,298.0010986,9166.852,9166.853,52.748200620294,18.4222297577531,32.495537,0,0,0,40,4417,298.0144,9166.8525,,,,,,,,,,,,,0,,,,10.37310935,,,,,,298.0010986,,,,
,7466564.93,298.0022583,8333.613,0.0136935003029566,2.01587412470506E-6,1,0.999253354069792,40.0298881530762,1.99222741246888,8.74000042676926,0.152076794521778,0.0264051541178306,2.5,-4.48763517947674E-6,0.0136938743286149,4.4613687983488E-6,298.0022583,298.0022583,8333.486,8333.74,51.7586589149478,18.4263855764428,32.495537,0,0,0,40,4417,298.01865,8333.613,,,,,,,,,,,,,0,,,,10.1689291,,,,,,298.0022583,,,,
,7466617.705,298.00102235,7500.1755,0.012311261991901,1.92731744100014E-6,1,0.999253354069792,40.0298881530762,1.992350493051,8.74000042676926,0.136735011997561,0.0237358719659896,2.5,-4.51423142558701E-6,0.0123115989955506,3.53184432159443E-6,297.9989014,298.0031433,7500.111,7500.24,52.0087800411017,18.4321713737749,31.733112,0,0,0,40,4417,298.0226,7500.1755,,,,,,,,,,,,,0,,,,9.6477375,,,,,,298.00102235,,,,
,7466672.3,298.0042267,6666.797,0.010923150639163,1.51227426273463E-6,1,0.999253354069792,40.0298881530762,1.99235606411153,8.74000042676926,0.121318901152261,0.0210560365493375,2.5,-4.3335249013201E-6,0.0109234487301176,2.8060195411171E-6,298.0039978,298.0044556,6666.722,6666.872,52.067402180044,18.4283906138421,32.495537,0,0,0,40,4417,298.01485,6666.797,,,,,,,,,,,,,0,,,,10.27102425,,,,,,298.0042267,,,,
,7466728.74,298.0016174,5833.5815,0.00953938807857343,1.31598467594591E-6,1,0.999253354069792,40.0298881530762,1.99245029725576,8.74000042676926,0.105954754976241,0.0183899374538884,2.5,-3.74186185784293E-6,0.00953964909155961,2.49363831349211E-6,298.0016174,298.0016174,5833.496,5833.667,52.2440502253901,18.431816489859,32.495537,0,0,0,40,4417,298.0145,5833.5815,,,,,,,,,,,,,0,,,,10.32335665,,,,,,298.0016174,,,,
,7466783.21,297.9978333,5000.091,0.00815781589214577,1.55994178780507E-6,1,0.999253354069792,40.0298881530762,1.99246603350493,8.7500000372529,0.0906087143234013,0.0157353164433727,2.5,-2.42237467992715E-6,0.00815803949881203,2.91037251651736E-6,297.9978333,297.9978333,4999.966,5000.216,52.1799566868132,18.4335319940664,32.495537,0,0,0,40,4417,298.01575,5000.091,,,,,,,,,,,,,0,,,,10.4772544,,,,,,297.9978333,,,,
,7466838.755,298.00009155,4166.7955,0.00677743466657515,1.19452769930341E-6,1,0.999253354069792,40.0298881530762,1.99231151544504,8.74000042676926,0.0752733958248016,0.0130593891045826,2.5,-3.12815151736831E-6,0.00677762067086218,1.30252510886173E-6,297.9994202,298.0007629,4166.77,4166.821,52.0955408067363,18.4314427939318,32.876747,0,0,0,40,4417,298.013,4166.7955,,,,,,,,,,,,,0,,,,9.9817014,,,,,,298.00009155,,,,
,7466888.505,298.0021973,3333.8095,0.00539533361779925,9.03887179489275E-7,1,0.999253354069792,40.0298881530762,1.99243261426293,8.74000042676926,0.0599246102702587,0.0104083671369274,2.5,-1.4519695966007E-6,0.00539548065100197,2.07536756486255E-6,298.0021973,298.0021973,3333.809,3333.81,52.4871366948709,18.4347466477012,32.876747,0,0,0,40,4417,298.0155,3333.8095,,,,,,,,,,,,,0,,,,10.424922,,,,,,298.0021973,,,,
,7466936,297.9981079,2500.42,0.00401240508027689,7.98070489044909E-7,1,0.999253354069792,40.0298881530762,1.99251406048015,8.74000042676926,0.0445685255798279,0.00772930021630385,2.5,-2.1157893259843E-6,0.00401251558896617,5.07505261976204E-7,297.9981079,297.9981079,2500.362,2500.478,52.3605128747555,18.4329271533546,33.639168,0,0,0,40,4417,298.0186,2500.42,,,,,,,,,,,,,0,,,,10.5295868,,,,,,297.9981079,,,,
,7466990.83,297.9981995,1666.7395,0.00263218149589155,5.42614533385518E-7,1,0.999253354069792,40.0298881530762,1.99253650897907,8.74000042676926,0.0292378029364115,0.00507028234881143,2.5,-1.41303752882788E-6,0.00263225399396757,3.07929666532081E-7,297.9981995,297.9981995,1666.725,1666.754,51.7617854290247,18.4331293408104,32.495537,0,0,0,40,4417,298.0229,1666.7395,,,,,,,,,,,,,0,,,,10.58244515,,,,,,297.9981995,,,,
,7467045.135,297.9984436,833.329,0.00125145696742819,3.81693108359385E-7,1,0.999253354069792,40.0298881530762,1.99249427141637,8.74000042676926,0.0139066484360459,0.00240091019744161,0.25,-1.60812132242362E-6,0.00125149203388884,-7.8986944469105E-7,297.9984436,297.9984436,833.329,833.329,52.3886515014479,18.4382225509294,33.639168,0,0,0,40,4417,298.0183,833.329,,,,,,,,,,,,,0,,,,10.4772544,,,,,,297.9984436,,,,
,7467100.795,297.9983368,0.2865,-0.000129343493298815,3.97618373433886E-7,1,0.999253354069792,40.0298881530762,1.99251262738415,8.74000042676926,-0.00143251664233746,-0.000275785913723546,0.25,-2.32157987966914E-6,-0.000129345491238848,-2.40621778674854E-6,297.9983215,297.9983521,0.243,0.33,52.5621730327171,18.4364024748467,32.114323,0,0,0,40,4417,298.02595,0.2865,,,,,,,,,,,,,0,,,,10.0698581,,,,,,297.9983368,,,,
,7467155.665,298.0024719,-833.1265,-0.00150874297270846,4.65584108592121E-7,1,0.999253354069792,40.0298881530762,1.9924598267202,8.74000042676926,-0.0167564920299594,-0.00294581006126905,0.25,-2.68306676098784E-6,-0.00150878203992099,-3.66969071613581E-6,298.0021057,298.0028381,-833.154,-833.099,52.2385788257555,18.4417110309961,32.495537,0,0,0,40,4417,298.0124,-833.1265,,,,,,,,,,,,,0,,,,10.5295868,,,,,,298.0024719,,,,
,7467211.305,297.9978333,-1666.5485,-0.00288178207732886,5.85093161370009E-7,1,0.999253354069792,40.0298881530762,1.9924961636205,8.7500000372529,-0.0320015656276377,-0.00559773224298602,2.5,-2.66310552279915E-6,-0.0028818587267395,-4.54740607822286E-6,297.9978333,297.9978333,-1666.633,-1666.464,51.5226071021401,18.4408567039546,32.114323,0,0,0,40,4417,298.0195,-1666.5485,,,,,,,,,,,,,0,,,,10.4772544,,,,,,297.9978333,,,,
,7467266.965,297.9992981,-2499.748,-0.00424961352437327,3.95411806576989E-7,1,0.999253354069792,40.0298881530762,1.99263148866338,8.7500000372529,-0.0471995863949268,-0.00822373716783799,2.5,-1.09284667237833E-6,-0.00424972824010618,-3.87125260949498E-6,297.9992981,297.9992981,-2499.777,-2499.719,52.1205529193517,18.4377453913431,32.114323,0,0,0,40,4417,298.0245,-2499.748,,,,,,,,,,,,,0,,,,10.6886921,,,,,,297.9992981,,,,
,7467322.59,297.99383545,-3333.1255,-0.0056124673124678,5.49808322693504E-7,1,0.999253354069792,40.0298881530762,1.99254001927527,8.74000042676926,-0.0623329844533685,-0.0108652518862644,2.5,-1.86065344248564E-6,-0.00561261949163228,-5.52992843879174E-6,297.9935303,297.9941406,-3333.136,-3333.115,53.0084829171979,18.4391877697602,32.876747,0,0,0,40,4417,298.02315,-3333.1255,,,,,,,,,,,,,0,,,,9.7601385,,,,,,297.99383545,,,,
,7467378.575,297.99784855,-4166.5365,-0.00697246641424361,5.34128227402212E-7,1,0.999253354069792,40.0298881530762,1.99254398831139,8.74000042676926,-0.077439729234169,-0.0134852851506853,2.5,-1.15657077090613E-6,-0.00697265541268566,-5.71459358052185E-6,297.9976807,297.9980164,-4166.56,-4166.513,52.9389179789864,18.4422717096054,32.876747,0,0,0,40,4417,298.02805,-4166.5365,,,,,,,,,,,,,0,,,,9.8581295,,,,,,297.99784855,,,,
