[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,1_CoFe2O4_700degC_Hys_at300K_2TSweep_19062023
FILEOPENTIME,26122407.64,06/19/2023,10:51 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,1_CooFe2O4_700degC_Hys_at300K_2TSweep_19062023,SAMPLE_MATERIAL
INFO,granular powder in plastic holder,SAMPLE_COMMENT
INFO,39.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26123648.905,300.0174561,49998.195,0.556583716662856,7.11582485443118E-5,1,0.999253354069792,40.0298881530762,1.9913848720881,9.8099997267127,6.19397982354324,1.08021299017475,250,0.000236512736064916,0.556565173092644,0.000595580108968012,300.0174561,300.0174561,49997.777,49998.613,52.2206013698132,18.4007122545716,38.976128,0,0,0,40,4417,300.20845,49998.195,,,,,,,,,,,,,0,,,,9.7213078,,,,,,300.0174561,,,,
,26123660.235,300.019989,49847.461,0.556538760214447,6.48638194788091E-5,1,0.999253354069792,40.0298881530762,1.99152576500712,9.8099997267127,6.19393156402061,1.0800134680083,250,0.000219819003677262,0.556520185234437,0.000578867965535477,300.019989,300.019989,49838,49856.922,51.9571925588324,18.394121195681,37.832493,0,0,0,40,4449,300.20565,49847.461,,,,,,,,,,,,,0,,,,9.8184195,,,,,,300.019989,,,,
,26123698.015,300.0245972,45675.6265,0.553558146230516,6.64898067669821E-5,1,0.999253354069792,40.0298881530762,1.99140490168642,9.8099997267127,6.16021816577247,1.07520896688356,250,0.000312089196839828,0.553539511893989,0.000669422394209054,300.0245972,300.0245972,45666.023,45685.23,52.8670081552171,18.402911643819,38.976128,0,0,0,40,4449,300.1752,45675.6265,,,,,,,,,,,,,0,,,,9.62611775,,,,,,300.0245972,,,,
,26123738.155,300.0165405,41635.8595,0.550659847229883,6.69847204749483E-5,1,0.999253354069792,40.0298881530762,1.99154861402057,9.82000026851892,6.12847712940104,1.06915378277434,250,0.000265376597020701,0.550641457012265,0.000621005345230694,300.0165405,300.0165405,41627.668,41644.051,52.7786841325441,18.3979234870794,38.976128,0,0,0,40,4449,300.1709,41635.8595,,,,,,,,,,,,,0,,,,9.8184195,,,,,,300.0165405,,,,
,26123781.76,300.0099487,37297.1035,0.547362176368536,5.30352385048128E-5,1,0.999253354069792,40.0298881530762,1.99135814501845,9.82000026851892,6.0911334178037,1.06314293530763,250,0.000307575510015521,0.547343960344719,0.000661238351712096,300.0099487,300.0099487,37279.168,37315.039,51.617184152967,18.3948466335381,37.832493,0,0,0,40,4449,300.17175,37297.1035,,,,,,,,,,,,,0,,,,9.7213078,,,,,,300.0099487,,,,
,26123821.625,300.0050049,33333.3185,0.544150624917344,6.37669851717291E-5,1,0.999253354069792,40.0298881530762,1.99164023050941,9.82000026851892,6.05630136905333,1.05657059824989,250,0.000262662549011835,0.544132610584118,0.000614393612280075,300.0050049,300.0050049,33311.145,33355.492,53.1061864821018,18.4017832312065,38.594913,0,0,0,40,4449,300.17615,33333.3185,,,,,,,,,,,,,0,,,,9.44134905,,,,,,300.0050049,,,,
,26123864.9,300.0097961,29014.4785,0.540418164358785,7.33018632979265E-5,1,0.999253354069792,40.0298881530762,1.99153629598645,9.8099997267127,6.0145784900799,1.04857599497107,250,0.000198292650338647,0.540400219569469,0.000547771860501724,300.0097961,300.0097961,28995.693,29033.264,53.0545989998325,18.4010087673745,38.594913,0,0,0,40,4449,300.17425,29014.4785,,,,,,,,,,,,,0,,,,9.8184195,,,,,,300.0097961,,,,
,26123906.32,300.00320435,24886.296,0.536516584665117,6.88744459580704E-5,1,0.999253354069792,40.0298881530762,1.9915681667941,9.82000026851892,5.97097508548503,1.04259396424622,250,0.00033795108146684,0.536498769748881,0.000685053927662113,300.0028687,300.00354,24877.963,24894.629,52.7099008228517,18.4002121881865,38.976128,0,0,0,40,4449,300.169,24886.296,,,,,,,,,,,,,0,,,,9.62611775,,,,,,300.00320435,,,,
,26123947.025,299.99865725,20825.8955,0.531954523116807,7.16461041479962E-5,1,0.999253354069792,40.0298881530762,1.99166327643383,9.8099997267127,5.92066123101918,1.03270579920561,250,0.000238797467649054,0.531936982824134,0.000583073100230617,299.9985657,299.9987488,20754.287,20897.504,52.9350098363902,18.4020813015389,37.832493,0,0,0,40,4449,300.1801,20825.8955,,,,,,,,,,,,,0,,,,9.53281025,,,,,,299.99865725,,,,
,26123989.025,300.0003052,16609.984,0.526367724626909,6.77142987843484E-5,1,0.999253354069792,40.0298881530762,1.99161943628898,9.82000026851892,5.85819988938141,1.02273546477567,250,0.000316763190344313,0.52635027667634,0.000657553273822256,300.0003052,300.0003052,16609.984,16609.984,52.2760969946786,18.4071001502489,38.594913,0,0,0,40,4449,300.18125,16609.984,,,,,,,,,,,,,0,,,,9.8184195,,,,,,300.0003052,,,,
