[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3883994288.145,01/27/2023,3:17 pm
BYAPP,ACMS II,1.0,1.2
INFO,PPMS ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII183,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF181,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,1_NiFe2O4,SAMPLE_MATERIAL
INFO,1_NiFe2O4 pressed pellet glued with GE varnish on quarz stick,SAMPLE_COMMENT
INFO,17.7mg,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 24.97 mm touchdown = 3.25000006705523 mm,3883994991.72142,299.972685977943,28810.6845,,,,,,,,,,,,,0.384842992999622,1.80797380908808E-5,-0.000544727795454819,10,2,,2400,60,1,,,0.384795321828929,0.000298212036845033,0.00249951193109155,-0.000770155107602477,,,,0.102216572982906,39.995735168457,1.99351932357875,300.1335,299.965698242188,299.980865478516,28045.635,29575.734,9.624196,1,6,3,0,18.4030000670552,1,18.5462374165282,1.02432250976562,44.4770278930664,42.5219955444336,,,,,,,,,,,,,,,,
,3883995054.31308,299.979664300148,27329.17,,,,,,,,,,,,,0.382026022708941,1.80629745570344E-5,-0.000543525258775471,10,2,,2400,60,2,,,0.38197854914151,0.000293340666215336,0.00248124334029853,-0.00076464080484584,,,,0.10147080557757,39.995735168457,1.99356835359062,300.1627,299.974700927734,299.985443115234,26612.705,28045.635,9.916995,1,6,3,0,18.4030000670552,1,18.5490586500798,1.0235595703125,46.4320640563965,43.49951171875,,,,,,,,,,,,,,,,
,3883995116.47509,299.984036006986,25926.8855,,,,,,,,,,,,,0.379194507687297,1.8356456148537E-5,-0.000490991969706671,10,2,,2400,60,3,,,0.379147173645554,0.000339762589123285,0.00246262270957232,-0.000759263697545975,,,,0.100713470145069,39.995735168457,1.99346457683472,300.1333,299.978576660156,299.989868164063,25241.066,26612.705,9.818419,1,6,3,0,18.4030000670552,1,18.5493890958519,1.02485656738281,47.4095802307129,44.4770278930664,,,,,,,,,,,,,,,,
,3883995178.62154,299.987872696245,24578.5505,,,,,,,,,,,,,0.376231772747014,1.86157109506172E-5,-0.000466836225401163,10,2,,2400,60,4,,,0.376184693977419,0.000357523211609922,0.00244352966547012,-0.000753520231228322,,,,0.0999342742131546,39.995735168457,1.99361986812885,300.1545,299.983703613281,299.9931640625,23916.035,25241.066,9.720822,1,6,3,0,18.4030000670552,1,18.5493460543243,1.02493286132812,48.3870964050293,45.4545478820801,,,,,,,,,,,,,,,,
,3883995240.71946,299.98955660657,23269.0525,,,,,,,,,,,,,0.373206469615491,1.95922910346863E-5,-0.000455868939070218,10,2,,2400,60,5,,,0.373159741378331,0.000361965971419562,0.00242359633557498,-0.00074754050001502,,,,0.0991209762624776,39.995735168457,1.99342305509366,300.1434,299.984161376953,299.995300292969,22622.07,23916.035,9.818419,1,6,3,0,18.4030000670552,1,18.5518315509276,1.02226257324219,49.364616394043,46.4320640563965,,,,,,,,,,,,,,,,
,3883995302.77848,299.989926955347,21983.001,,,,,,,,,,,,,0.369930724215506,2.08521439662462E-5,-0.000431426744834489,10,2,,2400,60,6,,,0.369884360571247,0.000379330689388252,0.00240251957438886,-0.000741023919545114,,,,0.0982587927185176,39.995735168457,1.99358324886466,300.1747,299.985443115234,299.995880126953,21343.932,22622.07,9.818419,1,6,3,0,18.4030000670552,1,18.5483096919133,1.02294921875,49.8533744812012,47.4095802307129,,,,,,,,,,,,,,,,
,3883995364.77464,299.989209536293,20706.3965,,,,,,,,,,,,,0.366450391612426,2.22557512525743E-5,-0.000474563134011046,10,2,,2400,60,7,,,0.366404538728391,0.000328667450027825,0.00237995060160756,-0.000733908731490374,,,,0.0973339868623473,39.995735168457,1.99357523400556,300.1717,299.984161376953,299.994598388672,20068.861,21343.932,9.916995,1,6,3,0,18.4030000670552,1,18.5522863369133,1.02577209472656,50.3421325683594,47.8983383178711,,,,,,,,,,,,,,,,
,3883995426.18924,299.989701574989,19449.5595,,,,,,,,,,,,,0.362704997089486,2.35888314200531E-5,-0.000458993289462957,10,2,,2400,60,8,,,0.362659568692929,0.000336119045448086,0.00235561700537801,-0.000726404134184122,,,,0.0963387946993371,39.995735168457,1.99356777978302,300.1757,299.985015869141,299.995025634766,18830.258,20068.861,9.624196,1,6,3,0,18.4030000670552,1,18.550560322927,1.02432250976562,51.3196487426758,48.8758583068848,,,,,,,,,,,,,,,,
,3883995486.62452,299.990005771928,18218.8675,,,,,,,,,,,,,0.358730001346177,2.52829101813888E-5,-0.000491474169536701,10,2,,2400,60,9,,,0.358685147960227,0.000295020839095078,0.00232974905520678,-0.000718269031494856,,,,0.095279039338997,39.995735168457,1.9934843013116,300.1833,299.985870361328,299.994445800781,17607.477,18830.258,9.916995,1,6,3,0,18.4030000670552,1,18.5529845746133,1.01600646972656,51.3196487426758,49.8533744812012,,,,,,,,,,,,,,,,
,3883995546.68204,299.990525420609,16997.7795,,,,,,,,,,,,,0.354346061724616,2.7709545101188E-5,-0.000520835196290225,10,2,,2400,60,10,,,0.354301822709944,0.000256140211630077,0.00230143661610782,-0.000709567102603614,,,,0.0941214636930719,39.995735168457,1.9936292413146,300.1643,299.986145019531,299.994598388672,16388.082,17607.477,9.720822,1,6,3,0,18.4030000670552,1,18.5593003476702,1.02493286132812,51.3196487426758,50.3421325683594,,,,,,,,,,,,,,,,
,3883995606.79154,299.991311167754,15775.1385,,,,,,,,,,,,,0.349566947525298,3.03364875042826E-5,-0.000475575263485465,10,2,,2400,60,11,,,0.34952321562452,0.00029100230354559,0.00227017165161669,-0.000699947355315089,,,,0.092843052639112,39.995735168457,1.9934353109968,300.1833,299.986450195313,299.996032714844,15162.195,16388.082,9.818419,1,6,3,0,18.4030000670552,1,18.5534734280968,1.02561950683594,51.808406829834,50.3421325683594,,,,,,,,,,,,,,,,
,3883995666.81793,299.990733016324,14554.4765,,,,,,,,,,,,,0.344148574685083,3.39006152584804E-5,-0.000479028137394098,10,2,,2400,60,12,,,0.344105538044356,0.000275751981189773,0.00223531690426171,-0.000689159438479692,,,,0.0914171240069759,39.995735168457,1.99372441477421,300.2024,299.986145019531,299.997161865234,13946.758,15162.195,9.916995,1,6,3,0,18.4030000670552,1,18.5542931285866,1.02462768554688,52.2971649169922,50.8308906555176,,,,,,,,,,,,,,,,
,3883995726.82994,299.989746371345,13331.2705,,,,,,,,,,,,,0.338141684590231,3.82450586456E-5,-0.000522142464961092,10,2,,2400,60,13,,,0.33809948964812,0.000219547334132111,0.00219612987712026,-0.00067695596953854,,,,0.0898130996278755,39.995735168457,1.99353632113398,300.1891,299.984008789063,299.995300292969,12715.783,13946.758,9.818419,1,6,3,0,18.4030000670552,1,18.560097605359,1.02424621582031,52.7859268188477,50.8308906555176,,,,,,,,,,,,,,,,
,3883995786.89777,299.990136039551,12105.0975,,,,,,,,,,,,,0.331235978481178,4.37952926499928E-5,-0.000511750584658575,10,2,,2400,60,14,,,0.331194617169653,0.000214865105833156,0.00215141684748232,-0.00066306593362242,,,,0.0879832772704397,39.995735168457,1.99363664753516,300.2021,299.985137939453,299.997589111328,11494.412,12715.783,9.624196,1,6,3,0,18.4030000670552,1,18.5575231142092,1.02737426757812,52.7859268188477,51.3196487426758,,,,,,,,,,,,,,,,
,3883995847.00205,299.990130384639,10880.0525,,,,,,,,,,,,,0.323311659847432,5.05365375158236E-5,-0.000467453640532151,10,2,,2400,60,15,,,0.323271207115958,0.000241848071247858,0.00209989212453365,-0.000647294684313238,,,,0.0858773984884288,39.995735168457,1.99361333832375,300.1931,299.984436035156,299.994445800781,10265.693,11494.412,9.528531,1,6,3,0,18.4030000670552,1,18.5545370447394,1.02622985839844,52.7859268188477,51.808406829834,,,,,,,,,,,,,,,,
,3883995907.07389,299.989342581742,9650.4865,,,,,,,,,,,,,0.313982172891227,5.98348798868262E-5,-0.00050764322791426,10,2,,2400,60,16,,,0.313943020344435,0.000181272890773937,0.00203945161774755,-0.000628505134955049,,,,0.083403790915057,39.995735168457,1.99372040882443,300.2173,299.985015869141,299.993865966797,9035.28,10265.693,9.340043,1,6,3,0,18.4030000670552,1,18.5602474693039,1.02470397949219,53.2746849060059,52.2971649169922,,,,,,,,,,,,,,,,
,3883995967.11518,299.989577265052,8424.5915,,,,,,,,,,,,,0.302694612685117,0.000443258733073077,-0.000806789927804604,10,2,,2400,60,17,,,0.30265755297341,-0.000142534262356594,0.00196656817570329,-0.000603804015554488,,,,0.0803974651671935,39.995735168457,1.9935164991965,300.2111,299.985443115234,299.993743896484,7813.903,9035.28,8.040272,1,6,3,0,18.4030000670552,1,18.5606828361009,1.0260009765625,53.2746849060059,52.2971649169922,,,,,,,,,,,,,,,,
,3883996027.14776,299.98870708554,7212.958,,,,,,,,,,,,,0.289323425904207,0.000361334943750238,-8.37528024026711E-5,10,2,,2400,60,18,,,0.289286471608186,0.000551128973295595,0.00187855237163603,-0.000581582658924162,,,,0.0768544914472455,39.995735168457,1.99374563253467,300.2227,299.984008789063,299.992584228516,6612.013,7813.903,9.720822,1,6,3,0,18.4030000670552,1,18.5583056256104,1.02455139160156,53.2746849060059,52.2971649169922,,,,,,,,,,,,,,,,
,3883996087.17884,299.988953488408,5982.398,,,,,,,,,,,,,0.272273477009222,0.000320208943692483,-0.000635385492626957,10,2,,2400,60,19,,,0.272239936177774,-3.7785909167351E-5,0.00176888320129365,-0.000543612404726446,,,,0.0723214745855859,39.995735168457,1.99363045204698,300.2232,299.985015869141,299.997314453125,5352.783,6612.013,8.284883,1,6,3,0,18.4030000670552,1,18.5565836451325,1.02516174316406,53.7634429931641,52.7859268188477,,,,,,,,,,,,,,,,
,3883996147.21984,299.98869747508,4740.6765,,,,,,,,,,,,,0.250055884593997,0.000432855728542942,-0.000561146351281111,10,2,,2400,60,20,,,0.25002503390978,-1.22625815102279E-5,0.00162455334793776,-0.000499446468893439,,,,0.0664226680340245,39.995735168457,1.99371085653209,300.228,299.982727050781,299.994445800781,4128.57,5352.783,9.528531,1,6,3,0,18.4030000670552,1,18.5575461773987,1.021728515625,53.7634429931641,52.7859268188477,,,,,,,,,,,,,,,,
,3883996207.30746,299.987458666406,3505.304,,,,,,,,,,,,,0.219665450683985,0.00052736764123237,8.50018336518454E-5,10,2,,2400,60,21,,,0.219637080692775,0.000567145243587676,0.00142590550240129,-0.000442686927272007,,,,0.058350351668338,39.995735168457,1.99372725775307,300.2414,299.982849121094,299.993865966797,2882.038,4128.57,9.818419,1,6,3,0,18.4030000670552,1,18.5649552701234,1.02569580078125,53.7634429931641,53.2746849060059,,,,,,,,,,,,,,,,
,3883996267.37656,299.989400512677,2275.8575,,,,,,,,,,,,,0.175288115558976,0.000595640242970737,-0.000246729455786377,10,2,,2400,60,22,,,0.175266164395912,0.000138081123825282,0.0011383849196136,-0.00035117517109029,,,,0.0465585718844786,39.995735168457,1.99356570797759,300.2087,299.983703613281,299.995880126953,1669.677,2882.038,9.247201,1,6,3,0,18.4030000670552,1,18.5645069701134,1.026611328125,53.7634429931641,53.7634429931641,,,,,,,,,,,,,,,,
,3883996327.43939,299.988561607988,1056.0095,,,,,,,,,,,,,0.0996138819459517,0.000701589419081754,0.00012250014857967,10,2,,2400,60,23,,,0.0996008279969658,0.000341164270932101,0.000646445841994137,-0.000201232178369537,,,,0.0264598298358577,39.995735168457,1.99365873640369,300.2662,299.984161376953,299.993011474609,442.342,1669.677,9.818419,1,6,3,0,18.4030000670552,1,18.5600059585589,1.02462768554688,53.7634429931641,53.2746849060059,,,,,,,,,,,,,,,,
,3883996387.51134,299.989416337999,-168.7855,,,,,,,,,,,,,-0.0289882428019787,0.00104376800880413,0.000622144897413468,1,2,,2400,60,24,,,-0.0289858906669612,0.000558424719691039,-0.000189441256225109,5.4283667850541E-5,,,,0.00771646939449146,39.995735168457,1.99362319142048,300.2261,299.983428955078,299.994171142578,-779.913,442.342,9.818419,1,6,3,0,18.4030000670552,1,18.5585564260764,1.02615356445312,53.7634429931641,53.2746849060059,,,,,,,,,,,,,,,,
,3883996447.59476,299.990820195185,-1362.934,,,,,,,,,,,,,-0.158498796813133,0.00279564515868929,-0.000151686647890299,10,2,,2400,60,25,,,-0.158478112909716,-0.000499607924682427,-0.00102861307095736,0.000320003746310249,,,,0.0421001636337742,39.995735168457,1.99361611884188,300.2372,299.983001708984,300.011627197266,-1945.955,-779.913,9.818419,1,6,3,0,18.4030000670552,1,18.565818410535,1.0272216796875,53.7634429931641,53.7634429931641,,,,,,,,,,,,,,,,
,3883996507.75301,299.990318092245,-2524.029,,,,,,,,,,,,,-0.193839851404723,0.000441396428606343,0.00028454590314439,10,2,,2400,60,26,,,-0.193815553359152,-0.000140975829745871,-0.00125892111100256,0.000388260436011478,,,,0.0514872234966763,39.995735168457,1.99360870935943,300.2519,299.986145019531,299.995452880859,-3102.103,-1945.955,9.818419,1,6,3,0,18.4030000670552,1,18.5638822967094,1.0235595703125,54.2522010803223,53.7634429931641,,,,,,,,,,,,,,,,
,3883996567.91171,299.991456477243,-3661.5315,,,,,,,,,,,,,-0.229487561483893,0.000565803245734975,0.00110217545664517,10,2,,2400,60,27,,,-0.229460482537462,0.000598337337963426,-0.0014919851673767,0.000454660912510008,,,,0.0609563001553328,39.995735168457,1.99360171545348,300.2384,299.985870361328,299.99658203125,-4220.96,-3102.103,9.818419,1,6,3,0,18.4030000670552,1,18.5626595718671,1.02684020996094,54.2522010803223,54.2522010803223,,,,,,,,,,,,,,,,
,3883996627.90881,299.991275362576,-4773.89,,,,,,,,,,,,,-0.255899660303407,0.000638433530488118,0.000484897750594863,10,2,,2400,60,28,,,-0.255867866234274,-7.67950601378436E-5,-0.00166225933935493,0.000511886610183865,,,,0.0679740883694506,39.995735168457,1.99368682750703,300.2659,299.985015869141,299.997436523438,-5326.82,-4220.96,9.818419,1,6,3,0,18.4030000670552,1,18.564239632072,1.02676391601562,54.2522010803223,54.2522010803223,,,,,,,,,,,,,,,,
,3883996687.92059,299.991209800215,-5877.4885,,,,,,,,,,,,,-0.273703297259293,0.000889196862113235,0.000546016357643987,10,2,,2400,60,29,,,-0.273669352012761,-5.4709198554298E-5,-0.00177790108136833,0.000547253235708922,,,,0.0727001632752942,39.995735168457,1.99360168675117,300.2803,299.984008789063,299.998748779297,-6428.157,-5326.82,9.818419,1,6,3,0,18.4030000670552,1,18.5627754992644,1.02691650390625,54.2522010803223,54.2522010803223,,,,,,,,,,,,,,,,
