[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,6_BiFeO3_600C_MvsT_OVEN_300-750K_03052023
FILEOPENTIME,22089952.48,05/03/2023,6:44 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,6_BiFeO3_600C_MvsT_OVEN_300-750K_03052023,SAMPLE_MATERIAL
INFO,powder mixed with BUSTER cement,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.76 mm touchdown = 5.65999979153276 mm,22104906.665,649.987365722656,999.823,0.00581326148122786,5.64328791689328E-7,1,60.005163911891,40.0298881530762,1.97406311443685,10.329999960959,0.0640008360937908,0.0110877669817953,2.5,-4.3245533146158E-6,0.00581351142812817,-2.86180444660761E-7,297.3508606,297.3508606,999.823,999.823,58.6487143119677,21.6254887089116,44.313087,0,0,0,2402,5905,283.2348,999.823,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,297.3508606,,,,
,22104960.07,648.193176269531,999.823,0.00593906993759254,3.8319508940788E-7,1,60.005163911891,40.0298881530762,1.97398516537618,10.3399995714426,0.065380372109643,0.0113388182405727,2.5,-3.23237466212149E-6,0.00593923095770819,7.70759985269701E-7,297.150238,298.7367859,999.823,999.823,58.7378199631601,21.623668548673,38.213703,0,0,0,2402,5906,290.4962,999.823,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,297.94351195,,,,
,22105017.49,643.211608886719,999.823,0.00601134819805312,5.27246592644331E-7,1,60.005163911891,40.0298881530762,1.97423413838495,10.329999960959,0.0661812078066407,0.0114833958783245,2.5,-2.77118108306612E-6,0.00601133858135132,1.28184394770963E-6,298.7367859,299.0418701,999.823,999.823,59.0700120838332,21.6195613154205,38.594913,0,0,0,2402,5906,290.42425,999.823,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,298.889328,,,,
,22105077.5,638.192810058594,999.823,0.00609272209292731,4.81425331624864E-7,1,60.005163911891,40.0298881530762,1.97420101570679,10.329999960959,0.067076079133258,0.0116362296647525,2.5,-3.05191236096003E-6,0.00609268198976985,1.08409468673711E-6,299.035614,299.0418701,999.823,999.823,59.252131528814,21.6266375046109,44.694298,0,0,0,2402,5906,288.766,999.823,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,299.03874205,,,,
,22105137.5,633.241088867187,999.823,0.00616489612193705,4.33087773372699E-7,1,60.005163911891,40.0298881530762,1.97420223709086,10.329999960959,0.0678721624731037,0.0117689740681635,2.5,-3.60264134268514E-6,0.00616490660876492,6.24430981862366E-7,298.4503479,299.035614,999.823,999.823,59.9477809109294,21.6317297268055,76.716049,0,0,0,2402,5906,286.3539,999.823,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,298.74298095,,,,
,22105197.53,628.204406738281,999.823,0.00622961280761165,3.87049337467729E-7,1,60.005163911891,40.0298881530762,1.97404847087639,10.329999960959,0.0685802923460161,0.0118959068403502,2.5,-3.30996547303823E-6,0.00622975621264283,9.9641461959261E-7,297.585144,298.4503479,999.823,999.823,58.9222842936985,21.6298333218139,53.462154,0,0,0,2402,5906,284.40635,999.823,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,298.01774595,,,,
,22105257.53,623.272827148438,999.823,0.00628919580904304,3.69132643212814E-7,1,60.005163911891,40.0298881530762,1.97361006164507,10.329999960959,0.0692235595747056,0.0120051061774732,2.5,-3.54325305333113E-6,0.00628949508973965,7.95910113610422E-7,296.8390808,297.585144,999.823,999.823,59.4600447149294,21.6349807485019,43.169453,0,0,0,2402,5906,284.8689,999.823,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,297.2121124,,,,
,22105317.5,618.284240722656,999.823,0.00634236790723685,3.57759698696718E-7,1,60.005163911891,40.0298881530762,1.97393747440507,10.329999960959,0.0698199568517415,0.0121063494003369,2.5,-3.6828803133659E-6,0.00634263833372095,6.09756239919103E-7,296.8390808,298.0049133,999.823,999.823,59.4584814578909,21.6402643545137,38.213703,0,0,0,2402,5906,289.4926,999.823,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,297.42199705,,,,
,22105377.52,613.319458007812,999.823,0.00639011830512935,4.76762810483086E-7,1,60.005163911891,40.0298881530762,1.98495214731036,10.329999960959,0.0707185778065853,0.0122745112206394,2.5,-2.58727523229718E-6,0.00639023142012199,1.6973834045176E-6,298.0049133,298.5218811,999.823,999.823,59.4928731127371,21.6366096857731,38.594913,0,0,0,2402,5906,291.777,999.823,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,298.2633972,,,,
,22105437.5,608.298645019531,999.823,0.00644280877501254,3.25923182107873E-7,1,60.005163911891,40.0298881530762,1.98482208821397,10.329999960959,0.0712969983308527,0.0123729100878993,2.5,-2.81922604686915E-6,0.00644287306846386,1.53621011803733E-6,298.478302,298.5218811,999.823,999.823,60.3081116582948,21.6414049501885,38.213703,0,0,0,2402,5906,289.78095,999.823,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,298.50009155,,,,
