[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022
FILEOPENTIME,3860816882.726,05/04/2022,10:07 am
BYAPP,ACMS II,1.0,1.2
INFO,PPMS ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII183,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF181,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022,SAMPLE_MATERIAL
INFO,all crystals randomly in powder capsule,SAMPLE_COMMENT
INFO,12.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 26.65 mm touchdown = 5.28000015765429 mm,3860817286.11087,2.00303957356166,-0.042,1.45625471722277E-6,9.49047610198784E-8,-0.784405669667074,2.6413019781808,1.45678793103649E-7,9.49395107988592E-9,1.45665141120636E-7,-1.99434762290082E-9,1.26195206771678E-10,1.28453263844755E-10,9.99633979797363,98.9429168701172,,,,10,1,5,5000,50.5050506591797,1,1.45133491551982E-7,-1.42451892064821E-9,,,-2.55076455802821E-10,2.76194472864282E-8,5,0.315165758132935,7.19538068771362,0.143837376177317,,,1.95,1.96274745464325,2.04749512672424,-0.042,-0.042,0.074215,1,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860817833.36068,2.0006219281638,-0.042,1.44736666461396E-6,2.27084562191549E-8,0.26672914238663,0.639496324228775,1.44860780426559E-7,2.27279290770907E-9,1.44859210729976E-7,6.74368208193005E-10,1.53366979882385E-10,1.5390508739399E-10,9.99143218994141,499.200012207031,,,,1,1,5,14976,30,2,1.44232287654503E-7,1.00602439968452E-9,,,1.08254626866677E-9,1.38361148491285E-7,5,0.344386726617813,3.94855451583862,0.316482500664169,,,1.9455,1.95297801494598,2.03103494644165,-0.042,-0.042,0.072747,5,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860818207.33102,2.00189152973357,-0.042,1.44546959285675E-6,1.05653246290238E-8,0.178451720308433,0.296107488759728,1.44628985631649E-7,1.05713201544753E-9,1.44628284142097E-7,4.50456382379538E-10,1.41288748126164E-10,1.44164018499434E-10,9.99432849884033,998.400024414062,,,,1,1,5,29952,30,3,1.43772623554452E-7,1.14115889160402E-9,,,2.75957485000778E-9,2.7599379337697E-7,5,0.365611284971237,2.73789000511169,0.553545835367088,,,1.9308,1.94934928417206,2.04557204246521,-0.042,-0.042,0.069898,5,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860818587.52174,2.00564483185889,-0.042,1.44494103719629E-6,5.25525497176092E-9,0.245319635739312,0.151330968136326,1.44667913378895E-7,5.26157643438456E-10,1.44666587325793E-7,6.19413361318978E-10,1.43013417817539E-10,1.40685313273436E-10,9.98798561096191,1996.80004882813,,,,1,1,5,59904,30,4,1.43390022832532E-7,2.0264575896245E-9,,,1.0569843208351E-8,5.50822047778579E-7,5,0.394600212574005,0.271822839975357,1.06082753793965,,,1.8802,1.93024885654449,2.07838034629822,-0.042,-0.042,0.074961,5,1,3,0,18.7530001576543,1,,,31.2805480957031,36.1681327819824,,,,,,,,,,,,,,,,
,3860818986.03825,2.17134244358817,-0.042,1.43238609538423E-6,3.17549244486252E-9,0.118348055911092,0.0725954819544734,1.43385416811801E-7,3.17874705190571E-10,1.43385110931277E-7,2.96171435367476E-10,1.68300552088203E-10,2.53903658200752E-10,9.98976135253906,4992,,,,10,1,5,150016,30,5,1.4160335407631E-7,2.89151195525664E-9,,,3.15780865107797E-8,1.37228645375126E-6,5,0.491207331418991,348.809539794922,2.3566788477026,,,1.7984,1.88962996006012,2.35468578338623,-0.042,-0.042,0.072747,6,1,3,0,18.7530001576543,1,,,31.2805480957031,35.6793746948242,,,,,,,,,,,,,,,,
,3860819359.61371,2.6382904811654,-0.042,1.40194933839966E-6,3.8042134571564E-9,-0.0392651716934855,0.0905612474934278,1.40177260887419E-7,3.80373389857276E-10,1.40177227970643E-7,-9.60643843615506E-11,4.31130742686155E-10,6.19053879198663E-10,10.0012607574463,9984,,,,10,1,5,299520,30,6,1.3882283281965E-7,2.49496429968333E-9,,,3.74163947460215E-8,2.78021064808233E-6,5,0.735377728939056,340.429260253906,3.95847996370102,,,1.8332,1.81612384319305,2.82023024559021,-0.042,-0.042,0.072024,6,1,3,0,18.7530001576543,1,,,31.2805480957031,35.6793746948242,,,,,,,,,,,,,,,,
sample offset = 26.65 mm,3860820080.4052,4.00294603096942,-0.042,1.41281654208774E-6,9.26317913527583E-8,-1.85495538478098,2.70804774820678,1.41333385083022E-7,9.26657088742979E-9,1.41259322559887E-7,-4.57488021126985E-9,1.23254418374858E-10,1.25298030179529E-10,9.99633979797363,98.9429168701172,,,,10,1,5,5000,50.5050506591797,1,1.40753950278869E-7,-4.01250845294246E-9,,,-7.47170376702903E-10,2.67864746429786E-8,5,0.315171509981155,7.16995859146118,0.152961392376379,,,3.984,3.99762749671936,4.01682615280151,-0.042,-0.042,0.115184,1,1,3,0,18.7530001576543,1,,,30.7917900085449,36.1681327819824,,,,,,,,,,,,,,,,
,3860820533.26625,3.991025,-0.042,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.128563,1,1,3,,18.7530001576543,2,,,31.7693061828613,35.6793746948242,,,,,,,,,,,,,,,,
touchdown = 5.28000015765429 mm,3860820680.98269,4.00150217446356,-0.042,1.40365418292513E-6,2.17000299846504E-8,0.417721523978299,0.641138389999132,1.40485783843704E-7,2.17186381012486E-9,1.40482050234122E-7,1.02421882296693E-9,1.48769822002833E-10,1.44831334622729E-10,9.99143218994141,499.200012207031,,,,1,1,5,14976,30,2,1.39873215595947E-7,1.34425517985118E-9,,,1.40986706388102E-9,1.34179261892388E-7,5,0.344411313533783,3.93895125389099,0.315596918157035,,,3.9777,3.98408055305481,4.0102801322937,-0.042,-0.042,0.143496,1,1,3,0,18.7530001576543,1,,,30.7917900085449,36.1681327819824,,,,,,,,,,,,,,,,
,3860821055.09212,4.00137668469049,-0.042,1.40677394437784E-6,1.0702780481893E-8,0.25049589521874,0.314210749938385,1.40757224914218E-7,1.07088540096864E-9,1.40755879685992E-7,6.1538554913201E-10,1.45735826198259E-10,1.4343744119273E-10,9.99432849884033,998.400024414062,,,,1,1,5,29952,30,3,1.39922280798839E-7,1.28655010481676E-9,,,3.12580346051585E-9,2.68601710445411E-7,5,0.365612983703613,2.72534990310669,0.552968880122416,,,3.9719,3.97796940803528,4.01701545715332,-0.042,-0.042,0.117508,1,1,3,0,18.7530001576543,1,,,31.2805480957031,35.6793746948242,,,,,,,,,,,,,,,,
