[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3859003162.088,04/13/2022,10:19 am
BYAPP,ACMS II,1.0,1.2
INFO,PPMS ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII183,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF181,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3859009082.15879,299.967834,-0.042,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,36.688858,1,1,3,,18.1930000626594,2,,,33.2355842590332,37.6344108581543,,,,,,,,,,,,,,,,
sample offset = 25.21 mm touchdown = 3.28000006265938 mm,3859009229.34207,300.01251476369,-0.042,2.03549833582747E-6,7.79583232329516E-6,-51.2614514347366,180,2.03620284784491E-7,7.79853056060689E-7,1.27418974453829E-7,-1.58825770342384E-7,1.24558591074376E-9,1.00761541597645E-9,9.99654006958008,10,,,,100,1,5,300,30,1,1.35159305551529E-7,-1.68274920454854E-7,,,-3.26813333323689E-9,2.60879779054609E-9,5,0.0618228167295456,0.122282706201077,0.140885493936072,,,299.8843,299.964263916016,300.027191162109,-0.042,-0.042,36.688858,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859009602.62376,300.007975983862,-0.042,4.13069750722537E-8,1.14062951948826E-7,-66.6192673126884,143.479168485746,4.13220997955942E-9,1.14104716580311E-8,1.63982309861229E-9,-3.79290647398905E-9,1.5158031486442E-10,1.73313063891949E-10,9.99633979797363,98.9429168701172,,,,10,1,5,2968,30,2,1.76407757226394E-9,-4.00240074678087E-9,,,-7.62028241267475E-10,3.37736089484063E-10,5,0.0636778622865677,9.55187797546387,0.160072759442014,,,299.8965,300.002319335937,300.016204833984,-0.042,-0.042,37.070068,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859009980.16241,299.999484819685,-0.042,5.73848486561448E-8,3.86037317588202E-8,-7.24452315185864,23.2206506099476,5.74340570653279E-9,3.86368350652307E-9,5.69755614693587E-9,-7.24267258922188E-10,2.02080633957281E-10,3.29339187504854E-10,9.99143218994141,499.200012207031,,,,1,1,5,14976,30,3,5.95624302435961E-9,-5.93010394610871E-10,,,-5.51283118291152E-10,5.71233676389123E-9,5,0.0870518982410431,29.9632167816162,0.331966485795422,,,299.9183,299.992584228516,300.017608642578,-0.042,-0.042,37.451283,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859010359.38942,299.991629050275,-0.042,1.11813075765483E-7,1.59982770002498E-8,-2.9859251720725,5.46549211299724,1.1187652655049E-8,1.60073555738198E-9,1.11724638621607E-8,-5.82771978340308E-10,2.05422973055797E-10,2.37571633658258E-10,9.99432849884033,998.400024414062,,,,1,1,5,29952,30,4,1.14372975645174E-8,-2.48569315216188E-10,,,-3.68745251918553E-10,2.19349024663225E-8,5,0.124467827379704,38.7176628112793,0.583333060012589,,,299.9219,299.982727050781,299.999298095703,-0.042,-0.042,37.070068,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859010742.24289,299.990983006637,-0.042,1.67385838481669E-7,1.4373898623203E-8,13.9591074925641,4.4339096628423,1.67587184244601E-8,1.4391188757248E-9,1.62638023140085E-8,4.04269433932221E-9,4.17297926344693E-10,3.69635373126005E-10,9.98798561096191,1996.80004882813,,,,1,1,5,59904,30,5,1.6298601932035E-8,4.46614522042608E-9,,,1.77053844313802E-8,6.23753848829458E-8,5,0.202361270785332,37.6628608703613,1.09488159447173,,,299.9554,299.978698730469,300.003448486328,-0.042,-0.042,37.070068,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859011143.60372,299.99561857284,-0.042,5.08989541407263E-8,7.66852410341712E-9,4.64083119746576,5.24568027399051,5.09511211974944E-9,7.67638368204666E-10,5.07840765446827E-9,4.12241686217773E-10,3.88336625949254E-10,6.40316964369458E-10,9.98976135253906,4992,,,,10,1,5,150016,30,6,5.10271386119671E-9,5.0122429063244E-10,,,5.35085871152061E-9,4.93655665563479E-8,5,0.361022591590881,20.3319110870361,2.40444584082356,,,299.9381,299.973693847656,300.008331298828,-0.042,-0.042,37.451283,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.1456527709961,,,,,,,,,,,,,,,,
,3859011518.76255,300.006497381742,-0.042,2.79280272269437E-8,3.86532460583705E-9,213.497600833624,7.381038357033,2.79245066239777E-9,3.86483734359109E-10,-2.32864955174351E-9,-1.54115929322394E-9,4.35760738723045E-10,6.5519548608495E-10,10.0012607574463,9984,,,,10,1,5,299520,30,7,-2.34277797236761E-9,-1.60047304276946E-9,,,-3.25572396312715E-8,-4.66174259683633E-8,5,0.756285488605499,12.4724397659302,4.01604177841758,,,299.9555,299.996032714844,300.012756347656,-0.042,-0.042,37.451283,1,1,3,0,18.1930000626594,1,,,32.7468223571777,37.6344108581543,,,,,,,,,,,,,,,,
,3859012748.20624,289.902924,-0.042,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,36.688858,1,1,3,,18.1529999909103,2,,,33.2355842590332,37.6344108581543,,,,,,,,,,,,,,,,
sample offset = 25.21 mm touchdown = 3.23999999091029 mm,3859012896.17897,290.034112841407,-0.042,7.13053285255189E-7,2.01480924526972E-6,23.5222637441939,152.705923175577,7.13300082120455E-8,2.01550659652821E-7,6.54028455294011E-8,2.84681904621242E-8,3.01961897849837E-10,2.81391561839618E-10,9.99654006958008,10,,,,10,1,5,300,30,1,6.93075965275124E-8,3.02177783199327E-8,,,5.84211413941744E-10,1.33828219930696E-9,5,0.0599709302186966,0.391146242618561,0.117270403248388,,,289.9162,289.910949707031,290.076049804687,-0.042,-0.042,36.688858,1,1,3,0,18.1529999909103,1,,,32.2580642700195,37.6344108581543,,,,,,,,,,,,,,,,
