[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022
FILEOPENTIME,3861252742.625,05/09/2022,11:11 am
BYAPP,ACMS II,1.0,1.2
INFO,PPMS ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII183,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF181,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022,SAMPLE_MATERIAL
INFO,all crystals randomly in powder capsule,SAMPLE_COMMENT
INFO,12.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 25.17 mm touchdown = 5.04000019282103 mm,3861266679.83009,2.00468342442758,10000.08,,,,,,,,,,,,,0.00169578566619434,4.2738698760519E-7,3.196407954779E-6,1,2,,800,20,1,,,0.00164843840793278,1.44528213732451E-5,1.0748455679277E-5,-3.41289910466003E-6,,,,0.00044073310948332,39.995735168457,2.00648636030236,1.9892,2.00216436386108,2.00941205024719,10000.08,10000.08,0.19364,1,1,3,0,19.993000192821,1,18.5790052394532,1.0284423828125,37.6344108581543,37.1456527709961,,,,,,,,,,,,,,,,
sample offset = 25.17 mm,3861274039.43234,2.8422093044414,9999.967,,,,,,,,,,,,,0.00172877023487259,3.48362446613553E-7,6.10932677340493E-6,1,2,,800,20,1,,,0.00168048359554918,1.75051115524853E-5,1.09508346213261E-5,-3.4972590583493E-6,,,,0.00044926987117235,39.995735168457,2.00631503868868,3.5429,2.30801892280579,3.35469508171082,9999.967,9999.967,0.201534,6,1,3,0,19.993000192821,1,18.5800068918555,1.024169921875,37.6344108581543,36.6568908691406,,,,,,,,,,,,,,,,
,3861274060.08559,3.90291466145778,9999.967,,,,,,,,,,,,,0.00174397713499041,9.88807141611808E-7,3.49411803767613E-6,1,2,,800,20,2,,,0.00169528392694816,1.50646310526939E-5,1.10549008240923E-5,-3.5123912311974E-6,,,,0.000454163347445083,39.995735168457,2.00678156080181,4.621,3.39467692375183,4.38188314437866,9999.967,9999.967,0.213983,6,1,3,0,19.993000192821,1,18.5825116274038,1.033935546875,39.1006851196289,37.6344108581543,,,,,,,,,,,,,,,,
,3861274080.9431,4.90471532792292,9999.967,,,,,,,,,,,,,0.00178271605548291,3.28775529362504E-7,-7.04902249443797E-6,1,2,,800,20,3,,,0.00173301207078331,5.07490285411193E-6,1.13240121208946E-5,-3.52424649463501E-6,,,,0.000464402520054683,39.995735168457,2.00721615247695,5.7431,4.38188314437866,5.38839769363403,9999.967,9999.967,0.231787,6,1,3,0,19.993000192821,1,18.5847598676743,1.0260009765625,40.0782012939453,38.1231689453125,,,,,,,,,,,,,,,,
,3861274101.69386,5.92518279300092,9999.967,,,,,,,,,,,,,0.00178466231885173,3.49359268976397E-7,-6.95053176882422E-6,1,2,,800,20,4,,,0.00173490259228418,5.18366406934451E-6,1.13325950223953E-5,-3.52871279574174E-6,,,,0.000464678176842095,39.995735168457,2.00663404820278,6.8558,5.40373802185059,6.40791320800781,9999.967,9999.967,0.256138,6,1,3,0,19.993000192821,1,18.5896249758642,1.03019714355469,41.055721282959,38.6119270324707,,,,,,,,,,,,,,,,
,3861274122.38372,6.92278190903617,9999.967,,,,,,,,,,,,,0.00178963490103797,6.93117058014346E-7,-8.22697768021641E-6,1,2,,800,20,5,,,0.00173974365791451,3.97610707671256E-6,1.13701844384195E-5,-3.52836696038139E-6,,,,0.000466353129882993,39.995735168457,2.00709178565785,7.9389,6.42343187332153,7.38972043991089,9999.967,9999.967,0.256138,6,1,3,0,19.993000192821,1,18.5744974389538,1.02394104003906,41.5444793701172,38.6119270324707,,,,,,,,,,,,,,,,
,3861274143.19638,7.92141587066311,9999.967,,,,,,,,,,,,,0.00179818497690508,3.34569855538329E-7,-7.24589720649269E-6,1,2,,800,20,6,,,0.00174804674080756,4.98700570713206E-6,1.142411656474E-5,-3.55422457687382E-6,,,,0.000468504074291328,39.995735168457,2.00748745873744,9.0708,7.42672204971314,8.40524959564209,9999.967,9999.967,0.27469,6,1,3,0,19.993000192821,1,18.5837051207102,1.02813720703125,42.0332374572754,39.5894432067871,,,,,,,,,,,,,,,,
,3861274163.95311,8.90859155053711,9999.967,,,,,,,,,,,,,0.00181376784936441,3.77018749544792E-7,-8.56553219613848E-6,1,2,,800,20,7,,,0.00176320114219402,3.80845259114956E-6,1.15246639325051E-5,-3.57649446414143E-6,,,,0.000472635317655926,39.995735168457,2.00730744301245,10.1764,8.42098140716553,9.36417484283447,9999.967,9999.967,0.300532,6,1,3,0,19.993000192821,1,18.5825482896295,1.03599548339844,43.0107536315918,40.0782012939453,,,,,,,,,,,,,,,,
,3861274184.624,9.90740978862041,9999.967,,,,,,,,,,,,,0.00186128870859126,9.56646348420648E-7,1.41822706109741E-6,1,2,,800,20,8,,,0.00180932590983709,1.38314686337021E-5,1.18016041597002E-5,-3.73596867575543E-6,,,,0.000484724728036322,39.995735168457,2.00664824055639,11.2901,9.40208530426025,10.37730884552,9999.967,9999.967,0.325536,6,1,3,0,19.993000192821,1,18.5933599752323,1.03797912597656,43.49951171875,40.5669593811035,,,,,,,,,,,,,,,,
,3861274205.30356,10.9164368696982,9999.967,,,,,,,,,,,,,0.00188711409870306,4.02929860736815E-7,-4.41093931363358E-6,1,2,,800,20,9,,,0.00183446588356996,8.33777599700035E-6,1.19786454888526E-5,-3.750664063773E-6,,,,0.000491463737020304,39.995735168457,2.00689317847835,12.4151,10.37730884552,11.3983058929443,9999.967,9999.967,0.309675,6,1,3,0,19.993000192821,1,18.5909949709899,1.03858947753906,43.9882698059082,41.055721282959,,,,,,,,,,,,,,,,
