[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Cr2AlO3_powderl_LFZ774_VSM_2.5K_M(B)_26112023
FILEOPENTIME,8672777.48,11/29/2023,10:42 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Cr2O3:Al powder,SAMPLE_MATERIAL
INFO,LFZ774 (unoriented],SAMPLE_COMMENT
INFO,249.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,diam 4 length 6 mm,SAMPLE_SIZE
INFO,cylinder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,8682217.92,4.3012705,-0.099,,,2,,,,14.9030001513958,,,,,,,4.3012705,4.3012705,-0.099,-0.099,,,92.345711,,,,-99999999,4881,4.3054,-0.099,,,,,,,,,,,,,,,,,,,,,,,4.3012705,,,,
,8683433.51,4.30310515,139997.883,0.854753424997523,2.99600682944572E-5,1,9.99253354069792,40.0298881530762,1.9997350430771,14.8999998345971,9.50631919632919,1.77618383785529,25,0.00569684191346943,0.854562802572554,0.011214202825683,4.3030396,4.3031707,139997.453,139998.313,51.9587558158709,18.3886545051981,91.9645,0,0,0,400,4929,4.20715,139997.883,,,,,,,,,,,,,0,,,,4.4152803,,,,,,4.30310515,,,,
,8683460.14,4.30094,139848.2345,0.854848346155128,3.11535098066218E-5,1,9.99253354069792,40.0298881530762,1.99965428208325,14.8999998345971,9.50693909533453,1.77631556873948,25,0.0056987632778142,0.854651847981607,0.0112167533862605,4.30094,4.30094,139838.766,139857.703,53.2750182422556,18.3884609115606,91.9645,0,0,0,400,4961,4.20505,139848.2345,,,,,,,,,,,,,0,,,,4.0428824,,,,,,4.30094,,,,
,8683464.375,4.30014275,139392.3285,0.851739060680917,0.000103209912170325,1,9.99253354069792,40.0298881530762,1.99978653338718,14.8900002241135,9.47272574199114,1.77013574254094,25,0.00569627324638907,0.851525382364339,0.0111942020198744,4.2993455,4.30094,138945.891,139838.766,52.8419960426017,18.3868341702953,92.726921,0,0,0,400,4961,4.2079,139392.3285,,,,,,,,,,,,,0,,,,4.0619626,,,,,,4.30014275,,,,
,8683473.51,4.2985084,138452.1485,0.845189710690732,9.80497804744276E-5,1,9.99253354069792,40.0298881530762,1.99975711524288,14.8900002241135,9.39934048781419,1.75646280259588,25,0.00565565077505443,0.844941131678455,0.0111111470825327,4.2976713,4.2993455,137958.406,138945.891,53.2249940170249,18.3886404350983,92.726921,0,0,0,400,4961,4.2094,138452.1485,,,,,,,,,,,,,0,,,,4.1271429,,,,,,4.2985084,,,,
,8683483.48,4.29776145,137461.5545,0.83890280451144,9.36503506378918E-5,1,9.99253354069792,40.0298881530762,1.99970562647231,14.8999998345971,9.3287957865483,1.74311182270294,25,0.00559888665666817,0.8386177657267,0.0110133780181017,4.2976713,4.2978516,136964.703,137958.406,52.9248486656402,18.3891074691513,92.726921,0,0,0,400,4961,4.2085,137461.5545,,,,,,,,,,,,,0,,,,4.2254555,,,,,,4.29776145,,,,
,8683493.425,4.2990346,136476.6095,0.832605010973244,9.53348798666373E-5,1,9.99253354069792,40.0298881530762,1.9998167793766,14.8900002241135,9.25869901819022,1.73077868052711,25,0.00562349311006626,0.832283574944276,0.0109966189923661,4.2978516,4.3002176,135988.516,136964.703,53.4923109706018,18.3845252173317,92.726921,0,0,0,400,4961,4.2114,136476.6095,,,,,,,,,,,,,0,,,,4.2254555,,,,,,4.2990346,,,,
,8683503.43,4.29867575,135492.9375,0.826335894024791,9.24671675286373E-5,1,9.99253354069792,40.0298881530762,1.99979977752012,14.8900002241135,9.18855483517671,1.71728287764246,25,0.00554830035553657,0.825979114832663,0.0108800162434971,4.2971339,4.3002176,134997.359,135988.516,52.8333981288902,18.387055360446,93.108131,0,0,0,400,4961,4.208,135492.9375,,,,,,,,,,,,,0,,,,4.4374449,,,,,,4.29867575,,,,
,8683513.445,4.2991552,134499.656,0.820077538439865,9.66806513272347E-5,1,9.99253354069792,40.0298881530762,1.99970875805728,14.8900002241135,9.11801684455322,1.70481153568577,25,0.00556887965728999,0.819684797112014,0.0108589417553854,4.2971339,4.3011765,134001.953,134997.359,53.425090917948,18.3845154728368,92.726921,0,0,0,400,4961,4.20845,134499.656,,,,,,,,,,,,,0,,,,4.4596095,,,,,,4.2991552,,,,
,8683523.44,4.3013961,133508.3515,0.813801952753035,9.53334967048284E-5,1,9.99253354069792,40.0298881530762,1.99975298408015,14.8999998345971,9.04803061082787,1.69160670992836,25,0.00551690490492029,0.813374184170089,0.0107649698114557,4.3011765,4.3016157,133014.75,134001.953,52.8201104440633,18.3867901598284,92.726921,0,0,0,400,4961,4.2105,133508.3515,,,,,,,,,,,,,0,,,,4.32988355,,,,,,4.3013961,,,,
