[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KNaCuInPO4_new_powderPellet_MvsT_FC_500Oe_300to2K_25032022
FILEOPENTIME,18698335.61,03/25/2022,11:41 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KNaCuInPO4_new_powderPellet_MvsT_FC_500Oe_300to2K_25032022,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,67.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,disc,SAMPLE_SIZE
INFO,pressed pellet,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,18699025.56,299.9810486,500.145,,,2,,,,8.7829999923259,,,,,,,299.9810486,299.9810486,500.145,500.145,,,32.114323,,,,-99999999,4885,300.0261,500.145,,,,,,,,,,,,,,,,,,,,,,,299.9810486,,,,
,18699096.68,299.9790039,500.145,0.00011870937777913,1.10079741788924E-7,1,9.99253354069792,40.0298881530762,1.98143352590506,8.7500000372529,0.00131473689890064,0.000210999779575663,0.25,-1.5561411775072E-6,0.000118706560524164,-1.47908948382535E-6,299.9790039,299.9790039,500.145,500.145,52.9178140089671,18.5769814390356,32.114323,0,0,0,400,4881,300.0286,500.145,,,,,,,,,,,,,0,,,,18.4233913,,,,,,299.9790039,,,,
,18699106.47,299.97793575,500.145,0.000118806746077497,1.04375709984702E-7,1,9.99253354069792,40.0298881530762,1.98152010342447,8.74000042676926,0.00131590167638345,0.000211002482102078,0.25,-1.57364603963669E-6,0.000118803940026353,-1.49652102857445E-6,299.9776611,299.9782104,500.145,500.145,53.4446316309287,18.5757200720418,32.114323,0,0,0,400,4882,299.99695,500.145,,,,,,,,,,,,,0,,,,18.8914328,,,,,,299.97793575,,,,
,18699113.78,299.97627255,500.145,0.000118904187190822,1.10224851313517E-7,1,9.99253354069792,40.0298881530762,1.98147588478218,8.7500000372529,0.00131706317870581,0.000210536277833406,0.25,-1.63241151854296E-6,0.000118901419162797,-1.55518794706278E-6,299.9743347,299.9782104,500.145,500.145,52.5801504886594,18.5796626439473,32.876747,0,0,0,400,4882,299.88705,500.145,,,,,,,,,,,,,0,,,,19.270751,,,,,,299.97627255,,,,
,18699123.78,299.9670868,500.145,0.000118889428329403,1.05754546219788E-7,1,9.99253354069792,40.0298881530762,1.98143813376208,8.74000042676926,0.00131676052447312,0.000211169611894021,0.25,-1.57226064196938E-6,0.000118886648078299,-1.4949732357412E-6,299.9598389,299.9743347,500.145,500.145,53.259385671871,18.573298314638,32.114323,0,0,0,400,4886,299.63905,500.145,,,,,,,,,,,,,0,,,,21.0453653,,,,,,299.9670868,,,,
,18699133.8,299.94116215,500.145,0.00011875079702483,1.04804433302438E-7,1,9.99253354069792,40.0298881530762,1.98124136235891,8.7500000372529,0.00131488295753249,0.000212155008001038,0.25,-1.45723697345264E-6,0.000118748031989157,-1.37995917151564E-6,299.9224854,299.9598389,500.145,500.145,52.1651057449478,18.5725009642313,32.114323,0,0,0,400,4886,299.36035,500.145,,,,,,,,,,,,,0,,,,21.14257715,,,,,,299.94116215,,,,
,18699143.75,299.8924561,500.145,0.000118749191135994,1.06863071881018E-7,1,9.99253354069792,40.0298881530762,1.98135768517533,8.7500000372529,0.00131513099183081,0.000211073096089802,0.25,-1.55605337879052E-6,0.000118746658905071,-1.47870262576643E-6,299.8624268,299.9224854,500.145,500.145,53.6681773874288,18.5703033989684,32.495537,0,0,0,400,4886,299.12185,500.145,,,,,,,,,,,,,0,,,,19.46422765,,,,,,299.8924561,,,,
,18699153.715,299.8261719,500.145,0.000118921499080311,1.1131447520387E-7,1,9.99253354069792,40.0298881530762,1.98138497441907,8.74000042676926,0.00131715079223276,0.000210856432503369,0.25,-1.6059986702594E-6,0.000118919226318251,-1.52846524722375E-6,299.789917,299.8624268,500.145,500.145,53.157773964371,18.5815573323061,32.114323,0,0,0,400,4886,298.88745,500.145,,,,,,,,,,,,,0,,,,21.99066255,,,,,,299.8261719,,,,
,18699163.7,299.74539185,500.145,0.000118787290600406,1.07279771531421E-7,1,9.99253354069792,40.0298881530762,1.98149969835445,8.74000042676926,0.00131565455893572,0.00021112514417855,0.25,-1.55952555353885E-6,0.000118785274006436,-1.48199897253778E-6,299.7008667,299.789917,500.145,500.145,52.6481521698325,18.5719946958308,32.114323,0,0,0,400,4886,298.60955,500.145,,,,,,,,,,,,,0,,,,21.7991085,,,,,,299.74539185,,,,
,18699173.715,299.64697265,500.145,0.00011881582270677,1.13491948415241E-7,1,9.99253354069792,40.0298881530762,1.98131839513685,8.74000042676926,0.00131588063943604,0.000211032397384733,0.25,-1.57137287694662E-6,0.000118814156870953,-1.49371891353414E-6,299.5930786,299.7008667,500.145,500.145,53.0334950298133,18.5767275151354,32.495537,0,0,0,400,4886,298.2437,500.145,,,,,,,,,,,,,0,,,,18.9839077,,,,,,299.64697265,,,,
