[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0
FILEOPENTIME,9564875.73,12/09/2019,6:44 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,unknown,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film,SAMPLE_SHAPE
INFO,35.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,9726454.425,299.994323730469,1000.176,7.80409943034112E-5,1.37928205642386E-7,1,9.99253354069792,40.0298881530762,1.9890944540211,11.4900009334087,0.000834517243538837,0.000135482026731523,0.25,-7.7977653539201E-7,7.80516400696695E-5,-7.26996016947466E-7,295.0030212,295.0055542,1000.176,1000.176,57.5849178972945,21.6333300937009,9.3E-6,0,0,0,5905,294.95015,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0042877,,,,
,9726477.065,299.991455078125,1000.176,7.81291802891461E-5,1.29124262595738E-7,1,9.99253354069792,40.0298881530762,1.98923780147308,11.4800013229251,0.000835251770256833,0.000137186806142822,0.25,-6.36188815771987E-7,7.81397380765619E-5,-5.83328970733256E-7,295.0049133,295.0052795,1000.176,1000.176,57.413741251583,21.6353955992688,9.3E-6,0,0,0,5906,294.94575,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0050964,,,,
,9726484.36,300.152679443359,1000.176,7.80258605484992E-5,1.32705361212469E-7,1,9.99253354069792,40.0298881530762,1.98905362821798,11.4900009334087,0.000834088233195199,0.000136905487586314,0.25,-6.43565122160829E-7,7.80364090951693E-5,-5.90776654822708E-7,295.0049133,295.0059814,1000.176,1000.176,57.5403650716984,21.6346960184169,9.3E-6,0,0,0,5906,294.9477,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.00544735,,,,
,9726494.375,300.481475830078,1000.176,7.80908696557993E-5,1.41078853900912E-7,1,9.99253354069792,40.0298881530762,1.98921112214361,11.4800013229251,0.000834791335093481,0.000137350076821653,0.25,-6.14115702753433E-7,7.81014053518496E-5,-5.61279176230225E-7,295.0059509,295.0059814,1000.176,1000.176,57.7983024830446,21.6361030318764,9.3E-6,0,0,0,5906,294.94685,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.00596615,,,,
,9726504.34,301.272674560547,1000.176,7.8134267124301E-5,1.44484659845282E-7,1,9.99253354069792,40.0298881530762,1.98906170355692,11.4900009334087,0.000835253551633639,0.000137077590397978,0.25,-6.46206653880473E-7,7.8144830695018E-5,-5.93344038877046E-7,295.0055237,295.0059509,1000.176,1000.176,58.0171584684292,21.6391845266175,9.3E-6,0,0,0,5906,294.9429,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0057373,,,,
,9726514.305,302.306701660156,1000.176,7.81416699885737E-5,1.4685287286613E-7,1,9.99253354069792,40.0298881530762,1.98924167473653,11.4800013229251,0.000835432947791278,0.000136941879423905,0.25,-6.61311954917221E-7,7.8152245001944E-5,-6.08446026587358E-7,295.0055237,295.0057373,1000.176,1000.176,57.6552644640253,21.6416826531678,9.3E-6,0,0,0,5910,294.9417,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0056305,,,,
,9726524.31,303.706176757812,1000.176,7.77296899645277E-5,1.63934515130878E-7,1,9.99253354069792,40.0298881530762,1.98916363447819,11.4800013229251,0.000830660149141869,0.000138166519421572,0.25,-4.74995551418871E-7,7.77400840928285E-5,-4.22384451765226E-7,295.0057373,295.0065002,1000.176,1000.176,57.9389956165061,21.6381490482965,9.3E-6,0,0,0,5910,294.9408,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.00611875,,,,
,9726534.31,305.33740234375,1000.176,7.76579128588919E-5,1.57733216594388E-7,1,9.99253354069792,40.0298881530762,1.98908307267877,11.4900009334087,0.000830084432239023,0.000136738184615439,0.25,-5.95906059213183E-7,7.76683776105449E-5,-5.43358965458982E-7,295.0065002,295.0073242,1000.176,1000.176,58.2328879397369,21.645307392354,9.25E-6,0,0,0,5910,294.93945,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0069122,,,,
,9726544.31,307.073883056641,1000.176,7.77549824215378E-5,1.5611935802132E-7,1,9.99253354069792,40.0298881530762,1.98919359846934,11.4900009334087,0.000831281965543926,0.000136246113077541,0.25,-6.59438494359394E-7,7.77654966523298E-5,-6.06833411789754E-7,295.0073242,295.0113831,1000.176,1000.176,58.0757806073715,21.6402687076546,9.25E-6,0,0,0,5910,294.9376,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.00935365,,,,
,9726554.275,308.728729248047,1000.176,7.72280699161278E-5,1.71918034497143E-7,1,9.99253354069792,40.0298881530762,1.98908099830797,11.4800013229251,0.000825808770889123,0.000134127892300326,0.25,-7.66219722232309E-7,7.72385793385074E-5,-7.13985147793016E-7,295.0113831,295.0144958,1000.176,1000.176,57.6239993232561,21.6394959986133,9.3E-6,0,0,0,5910,294.9362,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.01293945,,,,
