[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30
FILEOPENTIME,11380959.11,12/30/2019,7:12 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,x,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film with contacts,SAMPLE_SHAPE
INFO,35.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11445776.32,300.037231445313,0.0635,-3.81483958398401E-5,1.97971534635888E-7,1,4.99626677034896,40.0298881530762,1.99073249551173,11.0600018501282,-0.000403463774582906,-9.40374584723651E-5,0.25,-2.21706835578122E-6,-3.81518420397998E-5,-2.24322298325779E-6,294.9998474,294.9998474,0.035,0.092,61.8354137848719,21.4514411294172,9.25E-6,0,0,0,5953,294.8093,0.0635,,,,,,,,,,,,,,,,,29.064632,,,,,,294.9998474,,,,
,11445794.875,299.980010986328,229.8615,-3.77887062016607E-5,2.04014632025372E-7,1,4.99626677034896,40.0298881530762,1.99388126555555,11.0300020873547,-0.000400108302340226,-9.42066328580066E-5,0.25,-2.28163203605397E-6,-3.77920603039719E-5,-2.30755042785134E-6,295.0010376,295.0015259,209.947,249.776,62.0167516013335,21.4633063356206,9.25E-6,0,0,0,5985,294.8113,229.8615,,,,,,,,,,,,,,,,,29.064632,,,,,,295.00128175,,,,
,11445796.125,299.974334716797,376.7475,-9.57373403936774E-6,2.76492990897838E-6,1,4.99626677034896,40.0298881530762,1.99979168574386,11.0300020873547,-9.85725274404039E-5,-4.17937292039494E-5,0.25,-2.24242368862359E-6,-9.57345531713954E-6,-2.24920591083648E-6,295.0010376,295.0013733,249.776,503.719,58.5940003156216,21.57189985448,9.25E-6,0,0,0,5985,294.8101,376.7475,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00120545,,,,
,11445799.52,299.982482910156,794.3815,7.52000736234135E-5,1.1279832445522E-6,1,4.99626677034896,40.0298881530762,1.99929943054337,11.0300020873547,0.000810555982654635,0.000116942943042713,0.25,-2.07975950742056E-6,7.52112382065749E-5,-2.02904266078388E-6,295.0004578,295.0013733,503.719,1085.044,59.343582065564,21.5562740283983,9.3E-6,0,0,0,5985,294.80965,794.3815,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00091555,,,,
,11445804.305,299.993103027344,1399.858,0.000146268886710613,1.7946015159019E-6,1,4.99626677034896,40.0298881530762,1.99710269250585,11.0300020873547,0.00157071924922672,0.000251562128329342,0.25,-1.77387350136127E-6,0.000146289065797195,-1.67493853451875E-6,295.0002136,295.0004578,1085.044,1714.672,59.3177883244294,21.5064965677181,9.3E-6,0,0,0,5985,294.81025,1399.858,,,,,,,,,,,,,,,,,29.064632,,,,,,295.0003357,,,,
,11445809.33,300.046966552734,2023.976,0.0002134615492048,8.60560248846181E-7,1,4.99626677034896,40.0298881530762,1.99797592069574,11.0300020873547,0.00229101795132571,0.000380116257970532,0.25,-1.39122501512486E-6,0.000213490187750574,-1.24669777536996E-6,295.0002136,295.0003052,1714.672,2333.28,60.088474044391,21.5280375360258,9.25E-6,0,0,0,5985,294.8108,2023.976,,,,,,,,,,,,,,,,,29.445843,,,,,,295.0002594,,,,
,11445814.365,300.008178710937,2652.613,0.000239101956071307,4.44108016172658E-7,1,4.99626677034896,40.0298881530762,1.99703058663063,11.0300020873547,0.00256482839965829,0.000426830009062858,0.25,-1.44181168308747E-6,0.000239133954072185,-1.27992268405926E-6,295.0003052,295.0009155,2333.28,2971.946,60.799755996891,21.5050527743272,9.2E-6,0,0,0,5985,294.81085,2652.613,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00061035,,,,
,11445819.34,299.959594726562,3254.275,0.00025287545718086,3.54128681882118E-7,1,4.99626677034896,40.0298881530762,1.99596109153494,11.0300020873547,0.00271080433375472,0.00045337434321693,0.25,-1.32050278002804E-6,0.000252909162784161,-1.14927621521401E-6,294.9999084,295.0009155,2971.946,3536.604,61.2859289358526,21.4866740828512,9.25E-6,0,0,0,5985,294.81115,3254.275,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00041195,,,,
,11445824.31,300.072784423828,3833.4785,0.000262594100499842,3.86587555724104E-7,1,4.99626677034896,40.0298881530762,1.99591548103052,11.0300020873547,0.00281423785169167,0.000474773728537852,0.25,-9.99122826682183E-7,0.000262628860020962,-8.21282414012422E-7,294.9986877,294.9999084,3536.604,4130.353,60.1111412714487,21.4884582929778,9.3E-6,0,0,0,5985,294.8114,3833.4785,,,,,,,,,,,,,,,,,29.445843,,,,,,294.99929805,,,,
,11445829.32,299.987335205078,4437.819,0.000270549261663262,3.86548696639868E-7,1,4.99626677034896,40.0298881530762,1.99678654710899,11.0300020873547,0.00290092875271617,0.000488081380919448,0.25,-1.14885602324368E-6,0.000270585158852173,-9.65659679941493E-7,294.9986877,294.9993896,4130.353,4745.285,58.3939034146985,21.4938561512297,9.25E-6,0,0,0,5985,294.8109,4437.819,,,,,,,,,,,,,,,,,29.445843,,,,,,294.99903865,,,,
