[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Tb5MnGa13Ge2_2021_09_14_Hys300Kand50K
FILEOPENTIME,33640711.14,09/14/2021,11:22 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Tb5MnGa13Ge2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,14.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,33642086.33,299.9910583,0.239,,,2,,,,7.180000064075,,,,,,,299.9910583,299.9910583,0.239,0.239,,,31.733112,,,,-99999999,4929,300.0592,0.239,,,,,,,,,,,,,,,,,,,,,,,299.9910583,,,,
sample offset = 37.04 mm touchdown = 3.80000006407499 mm,33642104.475,299.9927673,0.169,-0.000177476526209153,2.85054168662635E-7,1,1.99850670813958,40.0298881530762,2.00732333974822,7.17000011354685,-0.00190502205817658,-0.000360453999528153,2.5,-2.85411086559217E-6,-0.00017746936875656,-2.97185204216366E-6,299.9927673,299.9927673,0.07,0.268,52.0642756659671,18.5063774636404,31.733112,0,0,0,80,4929,300.05505,0.169,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.9927673,,,,
,33642121.435,299.9921875,124.5655,-0.000180078604420017,3.16127071522681E-7,1,1.99850670813958,40.0298881530762,2.00733694934683,7.17000011354685,-0.00193341771327826,-0.000366580968330231,0.25,-2.96378162949434E-6,-0.000180071300115578,-3.08324936178804E-6,299.9921875,299.9921875,113.974,135.157,52.1158631482363,18.5024027687739,31.733112,0,0,0,80,4961,300.0484,124.5655,,,,,,,,,,,,,0,,,,6.0482223,,,,,,299.9921875,,,,
,33642122.365,299.992157,177.67,-7.97588900859288E-5,5.90630393264394E-6,1,1.99850670813958,40.0298881530762,2.00751695065004,7.17000011354685,-0.000856190023406208,-0.000163631734970738,0.25,-1.42922692833771E-6,-7.97555776506041E-5,-1.48213697504348E-6,299.9921265,299.9921875,135.157,220.183,51.9720435006978,18.5088655981663,31.733112,0,0,0,80,4961,300.04805,177.67,,,,,,,,,,,,,0,,,,6.0482223,,,,,,299.992157,,,,
,33642124.03,299.99147035,271.7335,9.9944864080445E-5,5.73555631695176E-6,1,1.99850670813958,40.0298881530762,2.00736362604571,7.17000011354685,0.0010778786786437,0.000175620396435676,0.25,-9.40435679693287E-7,9.99425289483462E-5,-8.74054493156179E-7,299.9908142,299.9921265,220.183,323.284,51.7375549449286,18.5025444406138,31.733112,0,0,0,80,4961,300.0486,271.7335,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.99147035,,,,
,33642125.75,299.9903717,374.5515,0.000277593490295608,5.69236986894039E-6,1,1.99850670813958,40.0298881530762,2.00755129397109,7.17000011354685,0.00299077742782864,0.000506726090288988,0.25,-8.56616170593207E-7,0.000277585849140762,-6.72299085434787E-7,299.9899292,299.9908142,323.284,425.819,52.1346222326978,18.5084710971658,31.733112,0,0,0,80,4961,300.04965,374.5515,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.9903717,,,,
,33642127.53,299.9891968,489.516,0.000455125190828884,5.69094661333797E-6,1,1.99850670813958,40.0298881530762,2.00737340113702,7.17000011354685,0.00490095069540623,0.000843051573444957,0.25,-2.59760294889826E-7,0.000455111920416493,4.23972223708772E-8,299.9884644,299.9899292,425.819,553.213,52.0502063526209,18.5059296878658,31.733112,0,0,0,80,4961,300.04995,489.516,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.9891968,,,,
,33642129.53,299.98933415,616.7695,0.000632401371905072,5.69808993133733E-6,1,1.99850670813958,40.0298881530762,2.00733635934625,7.17000011354685,0.00680956274646861,0.00117280315761668,0.25,-2.3140796364487E-7,0.000632382844323658,1.88432825762522E-7,299.9884644,299.9902039,553.213,680.326,52.1799566868132,18.5075519941194,31.733112,0,0,0,80,4961,300.05075,616.7695,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.98933415,,,,
,33642131.54,299.99002075,738.234,0.000809949019470251,5.67555391380112E-6,1,1.99850670813958,40.0298881530762,2.00741071138981,7.17000011354685,0.00872137061209465,0.0015038420330689,0.25,-1.36691484610866E-7,0.000809925167249704,4.01005614747964E-7,299.9898376,299.9902039,680.326,796.142,52.1815199438517,18.5061311873848,30.589479,0,0,0,80,4961,300.0523,738.234,,,,,,,,,,,,,0,,,,6.018012,,,,,,299.99002075,,,,
,33642133.51,299.98956295,859.9795,0.000986735413047318,5.73074066305397E-6,1,1.99850670813958,40.0298881530762,2.00726672337389,7.17000011354685,0.0106232799861394,0.00183752514961836,0.25,3.50600565949578E-7,0.000986706026845914,1.00563382441457E-6,299.9892883,299.9898376,796.142,923.817,52.138530375294,18.5090319143815,31.733112,0,0,0,80,4961,300.0533,859.9795,,,,,,,,,,,,,0,,,,6.0482223,,,,,,299.98956295,,,,
