[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,1_CuFe2O4_700degC_Hys_at300K_after_300-950K_21062023
FILEOPENTIME,26306071.30,06/21/2023,1:52 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,1_CuFe2O4_700degC_Hys_at300K_after_300-950K_21062023,SAMPLE_MATERIAL
INFO,granular powder in busterCement, after oven 950K MvsT, on oven stick,SAMPLE_COMMENT
INFO,unknown,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26306771.46,299.967498779297,50002.2595,0.184382217880506,1.00123025685369E-5,1,4.99626677034896,40.0298881530762,2.0056652127104,10.8500001952052,2.06135433610722,0.360220511286165,25,0.000138810570619465,0.184403682807144,0.000260356060757611,295.0194092,295.019928,50002.07,50002.449,60.5816816400256,21.9315418022921,36.307648,0,0,0,200,5953,294.8426,50002.2595,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,295.0196686,,,,
,26308500.195,300.029876708984,32437.5615,0.181207329434269,1.16207777871378E-5,1,4.99626677034896,40.0298881530762,2.00242398414615,10.839999653399,2.02302423379502,0.351744517680614,25,-1.83585237535015E-5,0.181228608910474,0.000101306094641732,295.0003967,295.0003967,32435.48,32439.643,61.9815783179681,21.9557783079339,37.070068,0,0,0,200,5953,294.8533,32437.5615,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,295.0003967,,,,
,26309689.315,299.885711669922,21048.17,0.178260858509497,1.03852103668848E-5,1,4.99626677034896,40.0298881530762,2.00522772707856,10.8500001952052,1.99289160230371,0.345956587217245,25,-6.58321124221671E-5,0.178281817683939,5.20065368326659E-5,294.9986877,294.9994812,21046.527,21049.813,63.1383885264297,21.9526778767366,37.070068,0,0,0,200,5953,294.8799,21048.17,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,294.99908445,,,,
,26310458.805,300.105834960937,13648.6115,0.17526356787914,1.13978564588523E-5,1,4.99626677034896,40.0298881530762,2.0041494410008,10.8500001952052,1.95838047034086,0.339925132723865,25,-6.83196600279935E-5,0.17528417982854,4.76145198119847E-5,294.99646,294.9976501,13648.606,13648.617,62.3473804649681,21.9547337752935,37.451283,0,0,0,200,5953,294.8878,13648.6115,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,294.99705505,,,,
,26310973.385,300.034057617188,8853.8035,0.171733477783489,9.65815147369646E-6,1,4.99626677034896,40.0298881530762,2.00384141378894,10.839999653399,1.91868368457189,0.332851913890216,25,-8.28744520752152E-5,0.17175366919561,3.07646028774356E-5,294.9992676,294.9992981,8853.757,8853.85,62.9992586500067,21.9679354442453,37.070068,0,0,0,200,5953,294.8995,8853.8035,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,294.99928285,,,,
,26311323.145,299.926391601562,5743.5045,0.167064345330665,9.51279213421794E-6,1,4.99626677034896,40.0298881530762,2.00325443450843,10.8500001952052,1.86596841595397,0.323859786774483,25,-6.73581906609507E-5,0.16708398232461,4.32174334929129E-5,294.9976196,294.9986267,5743.502,5743.507,62.1660426485066,21.9511642597914,36.688858,0,0,0,200,5953,294.9055,5743.5045,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,294.99812315,,,,
,26311558.025,300.028656005859,3725.715,0.160759476667333,1.07726023391659E-5,1,4.99626677034896,40.0298881530762,2.00393873713301,10.8500001952052,1.79618541554045,0.311454175728223,25,-9.03788058187766E-5,0.160778371953041,1.60401723540261E-5,295.0010986,295.0015259,3725.674,3725.756,62.2246647874489,21.9662874523533,37.451283,0,0,0,200,5953,294.8968,3725.715,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,295.00131225,,,,
,26311727.835,299.926239013672,2416.6395,0.152338968805309,1.03043841753663E-5,1,4.99626677034896,40.0298881530762,2.00350916566083,10.8500001952052,1.70174868996191,0.295101888968693,25,-8.36700065075213E-5,0.152356879175528,1.71826757626586E-5,294.9991455,295.0004883,2416.556,2416.723,62.4990163976989,21.9741521628071,37.451283,0,0,0,200,5953,294.8997,2416.6395,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,294.9998169,,,,
,26311852.83,300.004608154297,1567.873,0.141732108536719,7.33376817914321E-6,1,4.99626677034896,40.0298881530762,2.00344773773157,10.839999653399,1.58317951545873,0.274750541189775,25,-5.96161125165333E-5,0.141748753134901,3.42259372506511E-5,295.0011292,295.0011597,1567.793,1567.953,62.3630130353528,21.9442866134528,36.688858,0,0,0,200,5953,294.8881,1567.873,,,,,,,,,,,,,0,,,,9.15E-6,,,,,,295.00114445,,,,
,26311947.74,299.854919433594,1016.9925,0.129075833824594,7.58798548200365E-6,1,4.99626677034896,40.0298881530762,2.00340455810494,10.8500001952052,1.44174674408126,0.250382224516493,25,-3.89631102953548E-5,0.129091002467134,4.65041310730187E-5,294.9950562,294.996582,1016.854,1017.131,62.6428360452374,21.9469049937029,37.832493,0,0,0,200,5953,294.88645,1016.9925,,,,,,,,,,,,,0,,,,9.15E-6,,,,,,294.9958191,,,,
