[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,3_CuFe2O4_derivative__MvsT_305-950K_26062023
FILEOPENTIME,26756222.00,06/26/2023,6:54 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,3_CuFe2O4_derivative__MvsT_305-950K_26062023,SAMPLE_MATERIAL
INFO,unknown mass of pwd+Buster cement,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26756778.33,305.054107666016,99.998,0.000203137818449029,4.15067338568828E-7,1,11.9910402488375,40.0298881530762,2.00183815098356,10.5499997735024,0.00215378575870128,0.00104830798905504,0.25,5.85682931444639E-5,0.000203154273642995,5.87222378565081E-5,289.6959839,289.6959839,99.998,99.998,59.7164188692371,21.9303140130432,41.263397,0,0,0,480,5649,289.1064,99.998,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,289.6959839,,,,
,26756792.555,305.125183105469,99.998,0.000205121998224467,2.77957483254281E-7,1,11.9910402488375,40.0298881530762,2.00201615695154,10.5499997735024,0.00216453761546993,0.00111881920008889,0.25,6.45313078207724E-5,0.000205134983543161,6.46882159445673E-5,289.6940918,289.6946106,99.998,99.998,59.6577967302948,21.9257934015945,41.263397,0,0,0,480,5906,289.16805,99.998,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,289.6943512,,,,
,26756801.95,305.089477539063,99.998,0.000205005796981575,2.63842283488507E-7,1,11.9910402488375,40.0298881530762,2.00193938357175,10.5499997735024,0.00216195799273615,0.00112546630411635,0.25,6.5150685423052E-5,0.000205018334894268,6.53076619508363E-5,289.6940918,289.6962891,99.998,99.998,59.7414309818525,21.9266208419165,40.500973,0,0,0,480,5906,289.20865,99.998,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,289.69519045,,,,
,26756813.935,305.473419189453,99.998,0.000205706837232964,2.68013774887078E-7,1,11.9910402488375,40.0298881530762,2.00194692440557,10.5499997735024,0.0021700900902328,0.00112511630685152,0.25,6.49970244500883E-5,0.000205719670170655,6.51544023103995E-5,289.6962891,289.6987915,99.998,99.998,59.1919461328332,21.9302357345552,40.119759,0,0,0,480,5906,289.25675,99.998,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,289.6975403,,,,
,26756825.89,306.157287597656,99.998,0.000205663421592954,3.32761728899213E-7,1,11.9910402488375,40.0298881530762,2.00193059063874,10.5499997735024,0.00216953713707323,0.00112531778712582,0.25,6.50234457361085E-5,0.000205676217889998,6.51807721869512E-5,289.6987915,289.7017822,99.998,99.998,60.3143646864487,21.9352494905362,39.357338,0,0,0,480,5906,289.29975,99.998,,,,,,,,,,,,,0,,,,9.15E-6,,,,,,289.70028685,,,,
,26756837.915,306.873779296875,99.998,0.000206117118556032,2.93019839916594E-7,1,11.9910402488375,40.0298881530762,2.00206956595594,10.5499997735024,0.00217226958839697,0.001140508228241,0.25,6.62985224729879E-5,0.000206129160764416,6.64564776499677E-5,289.7017822,289.7070007,99.998,99.998,59.7476840100063,21.9355363673858,40.119759,0,0,0,480,5906,289.34095,99.998,,,,,,,,,,,,,0,,,,9.1E-6,,,,,,289.70439145,,,,
,26756849.93,307.827178955078,99.998,0.000206110294978867,2.84868312086975E-7,1,11.9910402488375,40.0298881530762,2.00212446677284,10.5499997735024,0.0021712088856999,0.00114650963344253,0.25,6.68346287044651E-5,0.000206121945132425,6.69926922553729E-5,289.7070007,289.7136841,99.998,99.998,59.6116806476602,21.9314374551484,39.738548,0,0,0,480,5906,289.38245,99.998,,,,,,,,,,,,,0,,,,9.2E-6,,,,,,289.7103424,,,,
,26756861.93,308.825439453125,99.998,0.000206184969730896,2.87785770284908E-7,1,11.9910402488375,40.0298881530762,2.0020058333384,10.5499997735024,0.00216957962916742,0.00116003439694908,0.25,6.80390284040238E-5,0.000206195797458059,6.81974402026244E-5,289.7136841,289.7189636,99.998,99.998,60.1400615266602,21.9349799600985,39.738548,0,0,0,480,5906,289.4231,99.998,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,289.71632385,,,,
,26756873.94,309.890289306641,99.998,0.000206372601702668,2.87977668211385E-7,1,11.9910402488375,40.0298881530762,2.00206942494668,10.5499997735024,0.00217354949867253,0.00115003384297598,0.25,6.71074587980488E-5,0.000206384075270525,6.72657045360932E-5,289.7189636,289.7284241,99.998,99.998,60.0658068173333,21.9370514241215,38.976128,0,0,0,480,5906,289.46085,99.998,,,,,,,,,,,,,0,,,,9.3E-6,,,,,,289.72369385,,,,
,26756885.915,310.913482666016,99.998,0.00020706074767269,3.14097591357492E-7,1,11.9910402488375,40.0298881530762,2.00222634534544,10.5499997735024,0.00218094409832127,0.00115404843448031,0.25,6.73396213654302E-5,0.000207072198321476,6.74983574232961E-5,289.7284241,289.7392883,99.998,99.998,60.0454844758333,21.9393618047931,39.357338,0,0,0,480,5906,289.49465,99.998,,,,,,,,,,,,,0,,,,9.25E-6,,,,,,289.7338562,,,,
