[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,7_TbMn0p2Ga3_VSM_DC_Hys_300K_50K_30K_2K_01112022
FILEOPENTIME,6256081.44,11/01/2022,11:28 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,7_TbMn0p2Ga3_VSM_DC_Hys_300K_50K_30K_2K_01112022,SAMPLE_MATERIAL
INFO,Ibelieve its the same cristal that was used in ACMSII,SAMPLE_COMMENT
INFO,6.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,6257938.58,299.9841919,-0.078,,,2,,,,8.97999977409839,,,,,,,299.9841919,299.9841919,-0.078,-0.078,,,31.351902,,,,-99999999,4881,300.0444,-0.078,,,,,,,,,,,,,,,,,,,,,,,299.9841919,,,,
,6258391.695,300.0169983,49993.529,0.0303238563446102,1.52040247884709E-6,1,4.99626677034896,40.0298881530762,1.99160787582836,8.9699998497963,0.323865039452159,0.0564016396661532,2.5,4.57082028578707E-5,0.0303229210404175,6.56432852390959E-5,300.0166626,300.017334,49987.359,49999.699,52.5387241771402,18.5279348370917,32.114323,0,0,0,200,4929,300.0119,49993.529,,,,,,,,,,,,,0,,,,4.57232835,,,,,,300.0169983,,,,
,6258410.155,300.0171509,49950.666,0.0303322824517332,1.47485735443375E-6,1,4.99626677034896,40.0298881530762,1.99161899281891,8.9699998497963,0.323958416908716,0.0564080397159238,2.5,4.48235398003E-5,0.0303313472220372,6.47653641012824E-5,300.0171509,300.0171509,49946.289,49955.043,52.4972978656209,18.5295258126364,31.733112,0,0,0,200,4961,299.9994,49950.666,,,,,,,,,,,,,0,,,,5.00259665,,,,,,300.0171509,,,,
,6258412.26,300.0176239,49894.881,0.0302902733894409,2.25264188727395E-6,1,4.99626677034896,40.0298881530762,1.99152536717211,8.9699998497963,0.323499456918771,0.0563024136716146,2.5,4.24246756202844E-5,0.0302893405169193,6.23391044436932E-5,300.0171509,300.0180969,49843.473,49946.289,52.6801989391209,18.5333169471427,31.733112,0,0,0,200,4961,300.0008,49894.881,,,,,,,,,,,,,0,,,,4.76598385,,,,,,300.0176239,,,,
,6258416.72,300.0178833,49782.6,0.0302112095195056,2.23510559071688E-6,1,4.99626677034896,40.0298881530762,1.99148041520252,8.96000023931265,0.32265178664979,0.0561326749839165,2.5,4.02952951797908E-5,0.0302102801333532,6.01580675871293E-5,300.0176697,300.0180969,49721.727,49843.473,52.2698439665248,18.5320811316183,32.114323,0,0,0,200,4961,300.0042,49782.6,,,,,,,,,,,,,0,,,,4.69176415,,,,,,300.0178833,,,,
,6258421.725,300.0169983,49656.762,0.0301318851024117,1.96729482156275E-6,1,4.99626677034896,40.0298881530762,1.99150185127755,8.9699998497963,0.321797434068379,0.0560467668074249,2.5,4.58899602362807E-5,0.0301309552438727,6.57006494372765E-5,300.0163269,300.0176697,49591.797,49721.727,52.5418506912171,18.5331223460242,31.733112,0,0,0,200,4961,300.00875,49656.762,,,,,,,,,,,,,0,,,,4.9533644,,,,,,300.0169983,,,,
,6258426.765,300.01678465,49527.959,0.0300548685016453,2.11478622593623E-6,1,4.99626677034896,40.0298881530762,1.99145516572051,8.9699998497963,0.320974530440624,0.0558627201939246,2.5,4.2071216662338E-5,0.030053943618932,6.18318328557668E-5,300.0163269,300.0172424,49464.121,49591.797,52.2252911409286,18.5328491633938,31.733112,0,0,0,200,4961,300.0107,49527.959,,,,,,,,,,,,,0,,,,5.00259665,,,,,,300.01678465,,,,
,6258431.75,300.0169525,49404.5235,0.0299772235528643,2.04057633060988E-6,1,4.99626677034896,40.0298881530762,1.99160313218987,8.9699998497963,0.320162217293453,0.0557566582871983,2.5,4.51711441745609E-5,0.0299762987329722,6.48812201460785E-5,300.0166626,300.0172424,49344.926,49464.121,52.3269028484286,18.5329232275545,31.733112,0,0,0,200,4961,300.0103,49404.5235,,,,,,,,,,,,,0,,,,5.00259665,,,,,,300.0169525,,,,
,6258436.705,300.01704405,49284.76,0.029901218101918,2.21006759774385E-6,1,4.99626677034896,40.0298881530762,1.99160872131107,8.96000023931265,0.319355850634893,0.0555892125460307,2.5,4.26010624729655E-5,0.0299002971106391,6.22617101050325E-5,300.0166626,300.0174255,49224.594,49344.926,52.8763876974479,18.5301981477742,31.733112,0,0,0,200,4961,300.0114,49284.76,,,,,,,,,,,,,0,,,,5.0275841,,,,,,300.01704405,,,,
,6258441.645,300.0183258,49163.0175,0.0298236492016746,2.22503556446709E-6,1,4.99626677034896,40.0298881530762,1.99167541035127,8.9699998497963,0.318530044347474,0.0554906025881166,2.5,4.65915909396775E-5,0.0298227266223003,6.62016821177256E-5,300.0174255,300.0192261,49101.441,49224.594,52.3245579628709,18.5328139368886,31.733112,0,0,0,200,4961,300.0113,49163.0175,,,,,,,,,,,,,0,,,,4.9051061,,,,,,300.0183258,,,,
