[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,8_DyMn0p2Ga3_VSM_DC_HYS_300K_50K_2K_26102022
FILEOPENTIME,5743717.84,10/26/2022,2:08 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,8_DyMn0p2Ga3_VSM_DC_HYS_300K_50K_2K_26102022,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,5748351.97,300.0236511,27850.648,,,2,,,,9.41999980926514,,,,,,,300.0236511,300.0236511,27850.648,27850.648,,,31.733112,,,,-99999999,4961,300.0549,27850.648,,,,,,,,,,,,,,,,,,,,,,,300.0236511,,,,
,5748536.15,300.02659605,49996.344,0.0183720547551757,2.86375059858901E-6,1,4.99626677034896,40.0298881530762,1.9936548994049,9.41000040620565,0.196368556866178,0.0344498823205841,2.5,5.05671749970455E-5,0.0183714673071113,6.26452087659102E-5,300.0262756,300.0269165,49993.434,49999.254,52.3745821881017,18.5010450623216,31.733112,0,0,0,200,4929,299.99395,49996.344,,,,,,,,,,,,,0,,,,5.1290436,,,,,,300.02659605,,,,
,5748555.195,300.0256348,49951.658,0.01837345857833,2.92620869054184E-6,1,4.99626677034896,40.0298881530762,1.99379172507282,9.41000040620565,0.196395790723718,0.0344588836100541,2.5,5.09537432623231E-5,0.0183728713439735,6.30333136049219E-5,300.0256348,300.0256348,49949.398,49953.918,52.4277329274094,18.5043316259349,31.733112,0,0,0,200,4961,299.98345,49951.658,,,,,,,,,,,,,0,,,,5.1805391,,,,,,300.0256348,,,,
,5748557.04,300.02526855,49904.6265,0.0183523537566304,3.06904000560512E-6,1,4.99626677034896,40.0298881530762,1.99371097633439,9.41000040620565,0.196162714088631,0.034417179669193,2.5,5.08215617383246E-5,0.0183517674419311,6.2887469622888E-5,300.0249023,300.0256348,49859.855,49949.398,53.1507393076979,18.5065081882112,32.114323,0,0,0,200,4961,299.98185,49904.6265,,,,,,,,,,,,,0,,,,5.15479135,,,,,,300.02526855,,,,
,5748561.23,300.02456665,49798.4195,0.018308002499802,3.03673533482939E-6,1,4.99626677034896,40.0298881530762,1.99371106527481,9.41000040620565,0.195686265482073,0.03434793550258,2.5,5.20008000308913E-5,0.0183074171238027,6.40378914678726E-5,300.024231,300.0249023,49736.984,49859.855,51.7484977441978,18.5072497416241,31.733112,0,0,0,200,4961,299.9802,49798.4195,,,,,,,,,,,,,0,,,,5.15479135,,,,,,300.02456665,,,,
,5748566.18,300.0228577,49672.584,0.0182592001942856,3.32356592836123E-6,1,4.99626677034896,40.0298881530762,1.99352828537797,9.41000040620565,0.195144393317649,0.0342712626867653,2.5,5.35355409022274E-5,0.018258616243259,6.55409108271687E-5,300.0214844,300.024231,49608.184,49736.984,52.5981279446017,18.5058467963785,31.351902,0,0,0,200,4961,299.97905,49672.584,,,,,,,,,,,,,0,,,,5.15479135,,,,,,300.0228577,,,,
,5748571.17,300.02120975,49545.1935,0.0182108718849514,2.8799698839698E-6,1,4.99626677034896,40.0298881530762,1.99371467439478,9.41000040620565,0.194646712940487,0.0341757586130636,2.5,5.26581804861742E-5,0.0182102908936634,6.46321706179252E-5,300.0209351,300.0214844,49482.203,49608.184,52.1768301727363,18.5052822413633,31.733112,0,0,0,200,4961,299.97885,49545.1935,,,,,,,,,,,,,0,,,,5.15479135,,,,,,300.02120975,,,,
,5748576.165,300.01972965,49420.0605,0.0181651827338338,2.89883142520247E-6,1,4.99626677034896,40.0298881530762,1.99389916819291,9.41000040620565,0.194172313039489,0.0341121572036143,2.5,5.4312976091621E-5,0.0181646028621908,6.62571672262323E-5,300.0185242,300.0209351,49357.918,49482.203,52.4957346085825,18.498887791442,31.733112,0,0,0,200,4961,299.98015,49420.0605,,,,,,,,,,,,,0,,,,5.15479135,,,,,,300.01972965,,,,
,5748581.195,300.0192566,49295.918,0.0181176811614037,2.90809735547627E-6,1,4.99626677034896,40.0298881530762,1.9937211208915,9.41000040620565,0.193656341940454,0.0339715177141795,2.5,4.96331338183429E-5,0.0181171060288102,6.15466289287299E-5,300.0185242,300.019989,49233.918,49357.918,51.9181111328709,18.5044001673356,31.351902,0,0,0,200,4961,299.97905,49295.918,,,,,,,,,,,,,0,,,,5.1035521,,,,,,300.0192566,,,,
,5748586.185,300.01950075,49174.035,0.0180727429633257,2.96899070666297E-6,1,4.99626677034896,40.0298881530762,1.99369322507768,9.41000040620565,0.193175381451261,0.0338753859012406,2.5,4.8442153481619E-5,0.018072169781291,6.03265262018182E-5,300.0190125,300.019989,49114.152,49233.918,52.5668628038325,18.5016699765342,31.733112,0,0,0,200,4961,299.9779,49174.035,,,,,,,,,,,,,0,,,,4.97860265,,,,,,300.01950075,,,,
