[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Dy5MnGa13Ge2_2-20K_230K_2021_07_28
FILEOPENTIME,29494793.22,07/28/2021,11:44 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Dy5MnGa13Ge2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29500768.42,2.0006683,999.83,0.271674660455343,2.83166276576183E-5,1,2.99776006220938,40.0298881530762,1.9918096826134,10.2899996563792,2.87999474039341,0.525159033858727,25,0.00141657127058568,0.269910772696341,0.00272833269356644,2.0003269,2.0010097,999.83,999.83,51.5851373836785,18.5391775895813,40.500973,0,0,0,120,4369,1.9972,999.83,,,,,,,,,,,,,0,,,,3.32135495,,,,,,2.0006683,,,,
,29500777.92,2.0066431,999.83,0.271660879264614,3.14215140886665E-5,1,2.99776006220938,40.0298881530762,1.99197221135521,10.2899996563792,2.88006719801567,0.525212730246243,25,0.00142019524598339,0.269897063742017,0.0027318662328227,2.0066431,2.0066431,999.83,999.83,52.8255818436979,18.5400148407599,41.263397,0,0,0,120,4374,2.0297,999.83,,,,,,,,,,,,,0,,,,3.3381114,,,,,,2.0066431,,,,
,29500778.64,2.0171565,999.83,0.271665417988326,2.57342813824741E-5,1,2.99776006220938,40.0298881530762,1.99201327457217,10.2899996563792,2.88019550345001,0.525100771801704,25,0.00140786238098222,0.269901634355217,0.00271963520890068,2.0066431,2.0276699,999.83,999.83,52.8310532433325,18.5413582657834,41.644608,0,0,0,120,4374,2.0432,999.83,,,,,,,,,,,,,0,,,,3.3883821,,,,,,2.0171565,,,,
,29500780.6,2.04709635,999.83,0.27168593108569,2.9267816826019E-5,1,2.99776006220938,40.0298881530762,1.99192879131645,10.3000001981854,2.88023580409855,0.52545810604322,25,0.00143992030656153,0.269921862520869,0.00275158558112806,2.0276699,2.0665228,999.83,999.83,52.2979825932171,18.5340468355908,40.500973,0,0,0,120,4374,2.08305,999.83,,,,,,,,,,,,,0,,,,3.4224012,,,,,,2.04709635,,,,
,29500783.445,2.1026536,999.83,0.271652477552543,2.90360255848729E-5,1,2.99776006220938,40.0298881530762,1.99202080503036,10.3000001981854,2.88009495147301,0.524930268249007,25,0.00139390362617229,0.26988885561512,0.0027057039126616,2.0665228,2.1387844,999.83,999.83,51.6851858341401,18.5423814195321,40.500973,0,0,0,120,4374,2.14015,999.83,,,,,,,,,,,,,0,,,,3.4054767,,,,,,2.1026536,,,,
,29500786.445,2.1690539,999.83,0.271640843932295,2.6798660002235E-5,1,2.99776006220938,40.0298881530762,1.99196285574161,10.2899996563792,2.87984035054792,0.525181062089461,25,0.00142097603602809,0.269877173155066,0.00273254475053615,2.1387844,2.1993234,999.83,999.83,52.2237278838901,18.5416710709217,40.500973,0,0,0,120,4374,2.19745,999.83,,,,,,,,,,,,,0,,,,3.42274275,,,,,,2.1690539,,,,
,29500789.415,2.22624765,999.83,0.271684055328466,2.80325178593312E-5,1,2.99776006220938,40.0298881530762,1.9919829939199,10.3000001981854,2.88040021391326,0.524852999258427,25,0.00138193232460404,0.26992030121269,0.00269396370646969,2.1993234,2.2531719,999.83,999.83,51.6797144345055,18.5382436168014,40.500973,0,0,0,120,4370,2.25015,999.83,,,,,,,,,,,,,0,,,,3.45676185,,,,,,2.22624765,,,,
,29500792.425,2.27708495,999.83,0.271685790288488,2.80246393103337E-5,1,2.99776006220938,40.0298881530762,1.99197734752854,10.2899996563792,2.88036640066913,0.525106005086119,25,0.00140560133867574,0.269921915280796,0.0027174881384174,2.2531719,2.300998,999.83,999.83,52.5332527775056,18.5371661164464,41.644608,0,0,0,120,4370,2.2983,999.83,,,,,,,,,,,,,0,,,,3.47420145,,,,,,2.27708495,,,,
,29500795.48,2.32611715,999.83,0.271678416197348,3.13356461278783E-5,1,2.99776006220938,40.0298881530762,1.99194900045808,10.2899996563792,2.88026854562605,0.524973838814543,25,0.00139512595174361,0.269914644875604,0.0027070446945379,2.300998,2.3512363,999.83,999.83,52.8357430144479,18.5413562777228,41.644608,0,0,0,120,4370,2.346,999.83,,,,,,,,,,,,,0,,,,3.4914675,,,,,,2.32611715,,,,
,29500798.495,2.3767422,999.83,0.271626606677633,2.9193030213301E-5,1,2.99776006220938,40.0298881530762,1.99214087204896,10.3000001981854,2.88002746051863,0.524685058538404,25,0.001372509745396,0.269863285447136,0.00268432289557583,2.3512363,2.4022481,999.83,999.83,51.8860643635824,18.5502061951233,41.644608,0,0,0,120,4370,2.39565,999.83,,,,,,,,,,,,,0,,,,3.50908195,,,,,,2.3767422,,,,
