,Magnetic Field (Oe),True Field (Oe)
1,30000.0305,31050.16583040104
2,29976.6305,30999.876607748618
3,29971.405,31029.945332500945
4,29956.0115,30987.923638702243
5,29933.1315,30990.553284157024
6,29905.874,30871.940901517206
7,29878.4765,30928.377276304895
8,29853.3365,30880.28152549672
9,29828.4795,30840.57178676624
10,29803.1985,30727.325324950925
11,29776.6465,30808.399848597186
12,29750.9425,30796.961687728493
13,29725.2395,30762.081297250792
14,29700.5245,30716.644696710515
15,29676.091,30667.71760527982
16,29650.1045,30669.64684905583
17,29624.2585,30614.48159898338
18,29598.696,30525.453010387224
19,29573.1335,30601.357236208838
20,29546.864,30597.96588141836
21,29521.584,30513.240611178644
22,29497.293,30464.408744626275
23,29471.7305,30504.99811428462
24,29446.307,30465.241583697105
25,29420.7445,30409.6514325947
26,29395.3235,30372.767391404024
27,29370.89,30269.514456062665
28,29344.9045,30339.276250507948
29,29320.6125,30316.303059360936
30,29296.3195,30311.478567731225
31,29270.333,30344.572420965833
32,29245.4765,30172.076518500675
33,29220.7605,30231.60053934997
34,29195.622,30104.322119828128
35,29170.9065,30144.89294612481
36,29147.179,30117.703210219293
37,29122.181,30139.410330290742
38,29096.1955,30035.41098346966
39,29071.339,30041.767529642955
40,29046.623,30011.205974474793
41,29021.908,30000.406179128706
42,28998.041,29945.560012555245
43,28974.5955,29914.969426287775
44,28949.3135,29922.528744707422
45,28924.0345,29882.795778961987
46,28899.7425,29846.723689149763
47,28874.3205,29834.059572589365
48,28850.0295,29734.78619400936
49,28826.302,29770.87290698853
50,28801.586,29777.074154291593
51,28778.1415,29785.29586870427
52,28753.992,29705.47991404409
53,28728.288,29725.24475123767
54,28703.289,29654.726880088056
55,28678.0085,29661.72743836868
56,28654.564,29644.31189802669
57,28630.696,29588.03825189655
58,28606.406,29632.477836607974
59,28581.9735,29563.9660075679
60,28557.8225,29539.141902123236
61,28534.6595,29539.125017301092
62,28509.5195,29475.812282243718
63,28485.9345,29491.575109231097
64,28463.055,29428.74102803121
65,28438.057,29387.433924877532
66,28413.4825,29378.709059464996
67,28389.0495,29362.40708596779
68,28365.1815,29307.924910349408
69,28341.3135,29286.19403135918
70,28317.587,29244.732845913124
71,28294.2845,29223.48134168562
72,28270.2745,29235.1320025854
73,28246.2655,29238.429560799173
74,28221.9745,29213.504993890398
75,28196.5515,29073.62607472824
76,28173.6725,29106.95819702195
77,28150.9345,29097.021642297164
78,28126.6425,29079.41945849243
79,28103.3395,29082.51141125397
80,28079.4715,29037.75620757093
81,28055.1795,29008.93008631923
82,28030.6045,29004.45748515758
83,28007.8665,28909.219422728118
84,27984.5645,28888.91330079857
85,27960.2735,28916.83163786646
86,27937.1105,28893.000283620986
87,27913.9485,28777.443903262094
88,27890.0795,28777.227044684212
89,27865.7875,28804.40150746815
90,27841.3555,28806.536709873126
91,27817.628,28738.28709731436
92,27794.89,28699.50791529591
93,27771.869,28601.267038056816
94,27747.859,28630.12176751226
95,27725.404,28659.43293404924
96,27702.3835,28612.579276711116
97,27677.526,28571.131792606277
98,27655.2115,28585.892333194734
99,27632.0505,28518.164576807296
100,27607.9005,28497.455007169916
101,27584.598,28520.511230169235
102,27560.871,28444.87325221581
103,27538.5545,28403.089887903036
104,27515.957,28443.67476866009
105,27491.949,28404.745317113648
106,27468.364,28344.60971418202
107,27445.4855,28371.988700034726
108,27421.8995,28307.315328105207
109,27398.736,28281.526315607534
110,27376.8455,28279.62010780001
111,27353.4015,28239.62298516437
112,27329.25,28211.326675317545
113,27304.6755,28152.15657166838
114,27280.95,28192.45430663982
115,27259.625,28138.238117141464
116,27237.169,28130.333172782994
117,27213.7255,28124.459551167918
118,27189.4325,28085.750204015938
119,27165.8455,28058.135576927834
120,27143.6725,28056.38900520243
121,27121.357,27970.393715745766
122,27098.62,28003.368400588093
123,27075.883,27883.967076379617
124,27052.4375,27922.347266453948
125,27029.84,27896.221671771164
126,27008.091,27894.95445838359
127,26984.506,27855.504352349984
128,26961.0615,27796.47971856122
129,26937.3345,27855.176619864367
130,26914.8785,27792.431248824207
131,26892.8465,27711.93315548487
132,26870.3915,27764.75537141675
133,26847.37,27748.144487733407
134,26823.783,27659.028037058863
135,26801.1875,27688.706178123175
136,26778.874,27657.548467861703
137,26756.276,27563.31593677972
138,26733.962,27600.105764318836
139,26711.506,27613.985434738966
140,26688.0615,27564.061035448147
141,26665.889,27547.067492059752
142,26644.139,27532.93822324579
143,26621.259,27549.705130532187
144,26597.5325,27455.137296551246
145,26573.383,27464.989977322664
146,26551.633,27448.059339786916
147,26530.871,27382.13705088514
148,26508.1325,27355.050605364057
149,26483.9815,27384.492612968137
150,26461.384,27331.93122071615
151,26440.2005,27255.738671266216
152,26418.7345,27277.516779726677
153,26396.5615,27206.66082511698
154,26372.9755,27218.575263945157
155,26350.236,27154.223027319
156,26329.333,27159.731496262353
157,26307.8655,27135.85197526112
158,26284.139,27151.171640533732
159,26261.1185,27102.302728261868
160,26239.087,27070.606293097524
161,26217.0545,27071.113846745935
162,26193.8925,27034.9952174526
163,26171.721,27042.590399591838
164,26150.678,26980.919255550565
165,26127.9395,26994.00857620811
166,26105.625,26939.737697132856
167,26084.157,26917.054999042284
168,26060.8545,26906.690967745828
169,26038.3985,26832.146503407603
170,26017.2125,26849.58548844216
171,25994.898,26853.197223293122
172,25973.4315,26794.897311589593
173,25950.129,26783.51154961562
174,25927.1085,26715.387507710922
175,25905.6415,26721.51376480687
176,25884.457,26650.594485778525
177,25863.555,26726.86131478151
178,25840.5335,26635.148835311727
