,Magnetic Field (Oe),True Field (Oe),Field correction
0,54998.6815,54288.673117203885,710.0083827961134
1,52498.363,51778.19855574134,720.1644442586548
2,49997.9315,49298.078732136724,699.8527678632745
3,47497.7245,46824.84629637514,672.8782036248595
4,44998.7265,44362.84085396694,635.8856460330571
5,42499.2185,41895.42695771641,603.791542283594
6,39996.6055,39415.49499839437,581.1105016056244
7,37498.666,36947.24728920837,551.4187107916296
8,34996.799,34486.99144350833,509.8075564916726
9,32497.9885,32024.078271039074,473.91022896092545
10,29997.137,29544.8801797491,452.2568202508992
11,27498.59,27085.37570926861,413.21429073139007
12,24998.414,24613.64828599676,384.76571400324246
13,22498.5,22141.454055107315,357.04594489268493
14,19998.241,19665.465353449086,332.77564655091555
15,17499.641,17201.967484189445,297.6735158105548
16,14998.212,14727.218584889231,270.9934151107682
17,12500.2695,12259.069645300366,241.19985469963467
18,10000.06,9782.854346976046,217.20565302395335
19,7500.377,7302.737635303244,197.63936469675627
20,5000.271,4829.484286521885,170.7867134781145
21,2500.336,2351.3077912463978,149.02820875360203
22,0.1075,-134.17033794591154,134.27783794591153
