[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,1732_200xFe+100xCo+Oat350C_32nm_VSM_Hys300K_5T_14012023
FILEOPENTIME,12648573.69,01/14/2023,11:08 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,1732_200xFe+100xCo+Oat350C_32nm_VSM_Hys300K_5T_14012023,SAMPLE_MATERIAL
INFO,thin film Fe&FeCo ratio 0.53,SAMPLE_COMMENT
INFO,9.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,8.39 mm2,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12649797.605,300.00646975,50004.8225,5.13148696206114E-5,5.78773823896648E-7,1,60.005163911891,40.0298881530762,1.99389501445966,5.16000017523766,0.000528119334090351,0.000215522857488993,0.25,1.12892636813162E-5,5.13059326003072E-5,1.13226686168224E-5,300.0037537,300.0091858,50004.711,50004.934,52.9756545193902,18.4982179314084,35.926437,0,0,0,2402,4929,300.0026,50004.8225,,,,,,,,,,,,,0,,,,5.28534935,,,,,,300.00646975,,,,
,12649975.155,299.9977417,47497.5955,5.23964141846094E-5,5.649029724487E-7,1,60.005163911891,40.0298881530762,1.99371609354949,5.16000017523766,0.000540317260551707,0.00021359630884715,0.25,1.09241993254337E-5,5.23876939649136E-5,1.09583489422172E-5,299.997345,299.9981384,47497.285,47497.906,52.8036962451594,18.5008594053819,35.545227,0,0,0,2402,4929,300.00455,47497.5955,,,,,,,,,,,,,0,,,,5.3649449,,,,,,299.9977417,,,,
,12650155.16,299.9962158,44998.248,5.53788324049391E-5,5.67273217254128E-7,1,60.005163911891,40.0298881530762,1.99377067043821,5.16000017523766,0.000574724425821198,0.000204687204645904,0.25,9.57605678968239E-6,5.53709093247547E-5,9.61222773177759E-6,299.9962158,299.9962158,44996.707,44999.789,52.5629546612363,18.5011094736771,35.926437,0,0,0,2402,4929,300.01565,44998.248,,,,,,,,,,,,,0,,,,5.0821152,,,,,,299.9962158,,,,
,12650335.16,299.99705505,42497.408,5.96693905128491E-5,4.88071943578466E-7,1,60.005163911891,40.0298881530762,1.99374148688776,5.16000017523766,0.000620617135146004,0.000212582828031517,0.25,9.57385938651767E-6,5.96613362199455E-5,9.61287607779318E-6,299.9966431,299.997467,42497.293,42497.523,52.4144452425825,18.5004923975015,35.926437,0,0,0,2402,4929,300.0192,42497.408,,,,,,,,,,,,,0,,,,5.3917422,,,,,,299.99705505,,,,
,12650515.195,300.00244145,39999.3185,6.53670896098958E-5,4.97284225271428E-7,1,60.005163911891,40.0298881530762,1.99390802014301,5.16000017523766,0.000680954748986614,0.0002269796375249,0.25,9.93456702847291E-6,6.53586133602073E-5,9.97734861737296E-6,300.0023499,300.002533,39999.18,39999.457,52.7091191943325,18.5094805905994,35.926437,0,0,0,2402,4929,300.016,39999.3185,,,,,,,,,,,,,0,,,,5.33841395,,,,,,300.00244145,,,,
,12650695.275,299.99575805,37499.967,6.80694509463289E-5,4.51738459707391E-7,1,60.005163911891,40.0298881530762,1.99372744554989,5.16000017523766,0.000711602787221454,0.000221522481700923,0.25,8.95980172806337E-6,6.80615466807659E-5,9.00441803465183E-6,299.9956665,299.9958496,37499.625,37500.309,53.333640381198,18.5059686323385,35.926437,0,0,0,2402,4929,300.0263,37499.967,,,,,,,,,,,,,0,,,,5.3649449,,,,,,299.99575805,,,,
,12650875.225,299.99681095,34998.6485,7.03306542846985E-5,4.68294900127485E-7,1,60.005163911891,40.0298881530762,1.99376819564616,5.16000017523766,0.000736244220243702,0.000223159685179493,0.25,8.72213483916971E-6,7.03228326510584E-5,8.76827342529944E-6,299.9957886,299.9978333,34997.918,34999.379,52.9959768608902,18.5085281590102,35.926437,0,0,0,2402,4929,300.03085,34998.6485,,,,,,,,,,,,,0,,,,5.31161665,,,,,,299.99681095,,,,
,12651055.305,300.00045775,32498.8095,7.30613842747361E-5,4.46993400240976E-7,1,60.005163911891,40.0298881530762,1.99383519009523,5.16000017523766,0.000765542931689224,0.000227845508085725,0.25,8.68813572281576E-6,7.30534907376719E-5,8.73610165107954E-6,299.9993286,300.0015869,32497.449,32500.17,53.0194257164671,18.5115594341423,35.926437,0,0,0,2402,4929,300.0321,32498.8095,,,,,,,,,,,,,0,,,,4.90863325,,,,,,300.00045775,,,,
,12651235.28,299.99531555,29999.669,7.73380962877897E-5,3.88277915084743E-7,1,60.005163911891,40.0298881530762,1.99385294949314,5.16000017523766,0.00081271645266696,0.000227541812809934,0.25,7.9213682291967E-6,7.73305901186325E-5,7.97220728046706E-6,299.994812,299.9958191,29999.264,30000.074,53.1194741669287,18.5026157496509,35.164013,0,0,0,2402,4929,300.03715,29999.669,,,,,,,,,,,,,0,,,,5.41880845,,,,,,299.99531555,,,,
,12651415.28,299.99903865,27498.55,7.96284410789057E-5,3.57283269960674E-7,1,60.005163911891,40.0298881530762,1.99390274042867,5.16000017523766,0.000838652958469967,0.000223577797021718,0.25,7.15497845613104E-6,7.96213591871089E-5,7.20737885820742E-6,299.9981689,299.9999084,27498.26,27498.84,53.2328103022172,18.5090166148706,35.926437,0,0,0,2402,4929,300.04025,27498.55,,,,,,,,,,,,,0,,,,5.4458747,,,,,,299.99903865,,,,
