[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,1880_200xFe+Co+O3_at400C_72nm_VSM_Hys300K_5T_17012023
FILEOPENTIME,12904878.17,01/17/2023,10:20 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,1880_200xFe+Co+O3_at400C_72nm_VSM_Hys300K_5T_17012023,SAMPLE_MATERIAL
INFO,thin film Fe&FeCo ratio 42,SAMPLE_COMMENT
INFO,13.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,8.5 mm2,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12911730.25,4.999598,999.675,,,2,,,,5.8000000109151,,,,,,,4.999598,4.999598,999.675,999.675,,,35.926437,,,,-99999999,4881,4.9946,999.675,,,,,,,,,,,,,,,,,,,,,,,4.999598,,,,
sample offset = 35.34 mm touchdown = 0.720000010915101 mm,12911865.925,5.0017252,999.675,1.48747887489539E-5,5.91429188635672E-8,1,30.0025819559455,40.0298881530762,1.98241950545044,5.78999985009432,0.000159837125330908,1.21623195432102E-5,2.5,-1.48052510942087E-6,1.47857920509164E-5,-1.39862721514046E-6,5.0016432,5.0018072,999.675,999.675,51.5163540739862,18.4898984761682,35.926437,0,0,0,1201,4881,4.98955,999.675,,,,,,,,,,,,,0,,,,1.5161215,,,,,,5.0017252,,,,
,12911941.125,5.25327465,999.675,1.46777855661182E-5,3.59314912887094E-8,1,30.0025819559455,40.0298881530762,1.98244337549126,5.78999985009432,0.000157806565225971,1.17940938795278E-5,0.25,-1.48088099662923E-6,1.45900636022015E-5,-1.39993856094415E-6,5.0099139,5.4966354,999.675,999.675,51.9720435006978,18.4960344929321,35.545227,0,0,0,1201,4886,5.2758,999.675,,,,,,,,,,,,,0,,,,1.57801025,,,,,,5.25327465,,,,
,12911963.84,6.0090134,999.675,1.46888111918784E-5,3.82552723139397E-8,1,30.0025819559455,40.0298881530762,1.98255692501562,5.78999985009432,0.000157983312482907,1.15234941884514E-5,0.25,-1.50851000078746E-6,1.4601147919394E-5,-1.42733485395165E-6,5.4966354,6.5213914,999.675,999.675,52.5793688601402,18.4924973632531,34.782803,0,0,0,1201,4882,6.05535,999.675,,,,,,,,,,,,,0,,,,1.6429991,,,,,,6.0090134,,,,
,12911993.86,7.0173421,999.675,1.46234732873162E-5,3.68347795763242E-8,1,30.0025819559455,40.0298881530762,1.98241004741363,5.78999985009432,0.000157409260560274,1.06805081256187E-5,0.25,-1.57667770022241E-6,1.45365552629863E-5,-1.49537846947583E-6,6.5213914,7.5132928,999.675,999.675,52.4691592389286,18.4959352830705,35.545227,0,0,0,1201,4882,7.06865,999.675,,,,,,,,,,,,,0,,,,1.75351,,,,,,7.0173421,,,,
,12912023.885,8.00743555,999.675,1.47698600646198E-5,3.59959277072366E-8,1,30.0025819559455,40.0298881530762,1.98216358631077,5.79999992623925,0.000158820945752651,1.16051388497124E-5,0.25,-1.51491288143628E-6,1.46816828752047E-5,-1.43330021578813E-6,7.5132928,8.5015783,999.675,999.675,51.7563140293901,18.4939618529581,35.926437,0,0,0,1201,4882,8.07175,999.675,,,,,,,,,,,,,0,,,,1.87084735,,,,,,8.00743555,,,,
,12912053.905,9.00156305,999.675,1.47523141040002E-5,3.65717549172546E-8,1,30.0025819559455,40.0298881530762,1.98253157902473,5.78999985009432,0.000158651518972911,1.16434946476405E-5,0.25,-1.50837147130218E-6,1.4664203221926E-5,-1.42688493402671E-6,8.5015783,9.5015478,999.675,999.675,52.619231914621,18.4904482727324,35.545227,0,0,0,1201,4882,9.07215,999.675,,,,,,,,,,,,,0,,,,1.9365721,,,,,,9.00156305,,,,
,12912083.915,9.9934759,999.675,1.47654451167579E-5,3.69718683528482E-8,1,30.0025819559455,40.0298881530762,1.98246945034048,5.78999985009432,0.000158836612910711,1.13774025072831E-5,0.25,-1.53585186406884E-6,1.46773642167769E-5,-1.45412183873475E-6,9.5015478,10.485404,999.675,999.675,51.3209469441785,18.4982328414406,35.545227,0,0,0,1201,4882,10.07705,999.675,,,,,,,,,,,,,0,,,,2.05927775,,,,,,9.9934759,,,,
,12912113.945,10.9790306,999.675,1.48363473667014E-5,3.7472738881621E-8,1,30.0025819559455,40.0298881530762,1.98255597832477,5.78999985009432,0.000159610485942442,1.14059162599974E-5,0.25,-1.54574327684564E-6,1.47478338241667E-5,-1.46360233241195E-6,10.485404,11.4726572,999.675,999.675,52.0494247241017,18.4975742301789,35.545227,0,0,0,1201,4882,11.07635,999.675,,,,,,,,,,,,,0,,,,2.19422975,,,,,,10.9790306,,,,
,12912143.93,11.9700589,999.675,1.48735677024998E-5,3.69560778070849E-8,1,30.0025819559455,40.0298881530762,1.98245030361187,5.78999985009432,0.000160028175812553,1.12885049211299E-5,0.25,-1.56338844724809E-6,1.47848736541207E-5,-1.48094978083807E-6,11.4726572,12.4674606,999.675,999.675,51.9485946451209,18.4952972268794,35.164013,0,0,0,1201,4882,12.0799,999.675,,,,,,,,,,,,,0,,,,2.27290225,,,,,,11.9700589,,,,
