[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,1000 OE
FILEOPENTIME,27552298.06,11/15/2018,8:14 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PdCalibration_ Hys 300K Sweep 10 Oe-Sec _15112018,SAMPLE_MATERIAL
INFO,Pd Calibration - 2173,SAMPLE_COMMENT
INFO,314.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Cylinder,SAMPLE_SHAPE
INFO,35.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
"1000",27552299.36
,27552334.265,299.99557495,999.841,0.00174669237599595,6.58449724566585E-7,1,1.99850670813958,40.0298881530762,1.98115716694345,8.85000178590417,0.0185701452446475,0.00321299835331344,0.25,7.01891570044643E-7,0.00174663995115758,1.86157334699887E-6,299.9948425,299.9963074,999.739,999.943,51.6429778941016,18.4014262177838,12.355196,0,0,0,4417,300.01405,999.841,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99557495,,,,
,27552344.59,299.994873,976.8215,0.00174739806126363,7.54534885344072E-7,1,1.99850670813958,40.0298881530762,1.98105485582168,8.8600018620491,0.0185772023951214,0.00321138274853399,0.25,4.43077896612947E-7,0.00174734582412814,1.60326430517794E-6,299.994873,299.994873,975.226,978.417,52.1393120038132,18.4024051894414,12.3545799,0,0,0,4449,300.0085,976.8215,,,,,,,,,,,,,,,,,21.440407,,,,,,299.994873,,,,
,27552345.205,299.9942474,969.577,0.00173904247510635,1.15740493263208E-6,1,1.99850670813958,40.0298881530762,1.98108686114088,8.8600018620491,0.0184876993873708,0.00320163256993175,0.25,9.63547360849078E-7,0.00173899017578717,2.11817012097823E-6,299.9936218,299.994873,963.928,975.226,51.6250004381593,18.3996282828882,12.41659925,0,0,0,4449,300.0088,969.577,,,,,,,,,,,,,,,,,21.440407,,,,,,299.9942474,,,,
,27552346.31,299.9944763,955.721,0.00170216935637332,1.61137929827595E-6,1,1.99850670813958,40.0298881530762,1.98113682573943,8.85000178590417,0.0180971770586222,0.00312781946538189,0.25,3.78389315273199E-7,0.00170211852896855,1.50854090195862E-6,299.9936218,299.9953308,947.514,963.928,51.8243157105632,18.4045395719106,12.5412607,0,0,0,4449,300.0106,955.721,,,,,,,,,,,,,,,,,21.440407,,,,,,299.9944763,,,,
,27552347.965,299.99552915,934.789,0.00165478932574757,1.4688261009158E-6,1,1.99850670813958,40.0298881530762,1.981069085636,8.85000178590417,0.0175926448318485,0.00304191659615601,0.25,4.86391236530481E-7,0.0016547397788719,1.58507648892393E-6,299.9953308,299.9957275,922.064,947.514,51.8141545398132,18.40245175958,12.6039028,0,0,0,4449,300.0123,934.789,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99552915,,,,
,27552349.975,299.99557495,909.3095,0.00161483388678336,1.62508677811857E-6,1,1.99850670813958,40.0298881530762,1.98114580546885,8.85000178590417,0.0171679439857589,0.00297181727890773,0.25,7.79230072079427E-7,0.00161478533182242,1.85137599828973E-6,299.9954224,299.9957275,896.555,922.064,52.1823015723709,18.4041188826819,12.5412607,0,0,0,4449,300.0135,909.3095,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99557495,,,,
,27552351.985,299.9957886,884.933,0.00156793572989191,1.58427652548968E-6,1,1.99850670813958,40.0298881530762,1.98114734221869,8.85000178590417,0.0166706256940214,0.0028781975930241,0.25,6.86948138030682E-8,0.00156788903116224,1.10972243778212E-6,299.9954224,299.9961548,873.311,896.555,51.21777197964,18.4016533633982,12.4786186,0,0,0,4449,300.0145,884.933,,,,,,,,,,,,,,,,,21.440407,,,,,,299.9957886,,,,
,27552353.975,299.99664305,860.5565,0.00152506770885389,1.6311718163351E-6,1,1.99850670813958,40.0298881530762,1.98115027099174,8.85000178590417,0.0162145621130047,0.0028012730489334,0.25,2.32604554529844E-7,0.00152502213508985,1.24516330679025E-6,299.9961548,299.9971313,847.802,873.311,51.7109795752747,18.4052386112831,12.4786186,0,0,0,4449,300.0156,860.5565,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99664305,,,,
,27552355.975,299.9977722,835.1035,0.00148337062826333,1.49043130187957E-6,1,1.99850670813958,40.0298881530762,1.98109817273633,8.8600018620491,0.0157712990114579,0.00272194788177449,0.25,-2.45240491702728E-8,0.00148332641406722,9.60348026857882E-7,299.9971313,299.9984131,822.405,847.802,52.0314472681593,18.4042375239871,12.4786186,0,0,0,4449,300.01875,835.1035,,,,,,,,,,,,,,,,,21.059195,,,,,,299.9977722,,,,
,27552357.96,299.99742125,809.5955,0.00143719559682145,1.77491028206161E-6,1,1.99850670813958,40.0298881530762,1.98114187393469,8.85000178590417,0.0152796637037257,0.00264320066484752,0.25,5.33686885190888E-7,0.00143715240515312,1.4878836043666E-6,299.9964294,299.9984131,796.786,822.405,52.0713103226401,18.4037007191716,12.4786186,0,0,0,4449,300.01975,809.5955,,,,,,,,,,,,,,,,,20.677984,,,,,,299.99742125,,,,
,27552359.965,299.99674985,784.145,0.00139441551315115,1.38832179578539E-6,1,1.99850670813958,40.0298881530762,1.98121351859354,8.85000178590417,0.0148263008030049,0.00255915386545361,0.25,4.52746618112306E-9,0.00139437397794166,9.30337357974321E-7,299.9964294,299.9970703,771.504,796.786,52.1705771445824,18.4046644854242,12.5412607,0,0,0,4449,300.0202,784.145,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99674985,,,,
,27552361.965,299.99697875,759.978,0.00135107677489254,1.57904865410025E-6,1,1.99850670813958,40.0298881530762,1.98115576553317,8.85000178590417,0.014365052459804,0.00247978566543865,0.25,2.6986229197615E-8,0.00135103650566632,9.24021016859673E-7,299.9968872,299.9970703,748.452,771.504,51.8680869076401,18.4057598188678,12.6039028,0,0,0,4449,300.02085,759.978,,,,,,,,,,,,,,,,,20.677984,,,,,,299.99697875,,,,
,27552363.965,299.9974518,735.826,0.00130689976109732,1.6900836853185E-6,1,1.99850670813958,40.0298881530762,1.9812117107643,8.85000178590417,0.0138955931598744,0.00239953595663907,0.25,9.83664124542454E-8,0.00130686074013302,9.660747397411E-7,299.9968872,299.9980164,723.2,748.452,51.7633486860632,18.4056210988774,12.47924135,0,0,0,4449,300.01955,735.826,,,,,,,,,,,,,,,,,20.677984,,,,,,299.9974518,,,,
,27552365.98,299.99798585,710.15,0.00126554620293667,1.39867994038658E-6,1,1.99850670813958,40.0298881530762,1.98118989419043,8.85000178590417,0.0134563351271372,0.00232024927962064,0.25,-2.18392685712231E-7,0.00126550860264116,6.21874895020912E-7,299.9979553,299.9980164,697.1,723.2,52.1205529193517,18.4061162724025,12.3545799,0,0,0,4449,300.0183,710.15,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99798585,,,,
,27552367.965,299.99864195,685.616,0.00122122691913999,1.56621893496331E-6,1,1.99850670813958,40.0298881530762,1.98125826990746,8.85000178590417,0.0129856116614671,0.00223857140587587,0.25,-2.57501314797288E-7,0.00122119064091341,5.53341357255564E-7,299.9979553,299.9993286,674.132,697.1,52.219819741294,18.4054528127069,12.47924135,0,0,0,4449,300.019,685.616,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99864195,,,,
,27552369.96,299.99954225,661.534,0.00117722014632342,1.43465469575948E-6,1,1.99850670813958,40.0298881530762,1.98108777106338,8.85000178590417,0.0125155943846156,0.00216379518095344,0.25,3.22587580173645E-7,0.00117718476254322,1.10419213990522E-6,299.9993286,299.9997559,648.936,674.132,52.6716010254094,18.4084435760401,12.47924135,0,0,0,4449,300.0204,661.534,,,,,,,,,,,,,,,,,21.059195,,,,,,299.99954225,,,,
,27552371.995,300.00044255,636.309,0.00113533593295179,1.40328061459673E-6,1,1.99850670813958,40.0298881530762,1.98126700139925,8.85000178590417,0.0120717673183424,0.00208458097838735,0.25,8.44535277148347E-8,0.00113530192508088,8.38263316004058E-7,299.9997559,300.0011292,623.682,648.936,51.4499156498516,18.4062662011931,12.29317665,0,0,0,4449,300.01865,636.309,,,,,,,,,,,,,,,,,21.440407,,,,,,300.00044255,,,,
,27552373.98,300.0003052,612.1855,0.00109104018220446,1.54127659240005E-6,1,1.99850670813958,40.0298881530762,1.9811219875979,8.8600018620491,0.0116003438422819,0.00200091696219906,0.25,-1.25033820712503E-7,0.00109100764203478,5.99381306885635E-7,299.9994812,300.0011292,600.689,623.682,51.7461528586401,18.4069187899867,12.29317665,0,0,0,4449,300.01595,612.1855,,,,,,,,,,,,,,,,,20.677984,,,,,,300.0003052,,,,
,27552375.955,299.99998475,588.062,0.00104723064228123,1.61433444691997E-6,1,1.99850670813958,40.0298881530762,1.98122569333211,8.85000178590417,0.0111355107311719,0.00191831447344095,0.25,-3.41445387584279E-7,0.00104719956623865,3.53891564556762E-7,299.9994812,300.0004883,575.435,600.689,52.0017453844286,18.4080262463869,12.41659925,0,0,0,4449,300.01535,588.062,,,,,,,,,,,,,,,,,21.440407,,,,,,299.99998475,,,,
,27552377.97,300.00039675,562.877,0.00100474719917766,1.44219500381659E-6,1,1.99850670813958,40.0298881530762,1.98114226557392,8.85000178590417,0.0106830603703874,0.00184203717147272,0.25,-1.75398436558666E-7,0.00100471726924459,4.91728241010029E-7,300.0003052,300.0004883,550.319,575.435,51.8923173917363,18.4049468553767,12.4786186,0,0,0,4449,300.0151,562.877,,,,,,,,,,,,,,,,,21.440407,,,,,,300.00039675,,,,
