[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,10000 OE
FILEOPENTIME,27569651.13,11/16/2018,1:03 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PdCalibration_ Hys 300K Sweep 10 Oe-Sec _15112018,SAMPLE_MATERIAL
INFO,Pd Calibration - 2173,SAMPLE_COMMENT
INFO,314.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Cylinder,SAMPLE_SHAPE
INFO,35.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
"10000",27569652.28
,27569761.055,300.00382995,10000.1605,0.0172073108863355,8.81672377377274E-6,1,1.99850670813958,40.0298881530762,1.98125368596356,8.85000178590417,0.182890901513824,0.0316689400662914,2.5,9.2348798383575E-6,0.0172067896792043,2.06443153873294E-5,300.0036621,300.0039978,10000.121,10000.2,51.8438564235439,18.4016693226921,15.86036345,0,0,0,4417,300.0027,10000.1605,,,,,,,,,,,,,,,,,20.677984,,,,,,300.00382995,,,,
,27569773.35,300.0049744,9975.9045,0.0172317384592404,6.88345468248432E-6,1,1.99850670813958,40.0298881530762,1.98121634725275,8.85000178590417,0.183144107068633,0.0317313159584427,2.5,1.09404839440821E-5,0.0172312147276175,2.23663788767832E-5,300.0049744,300.0049744,9974.889,9976.92,51.9900209566401,18.4035781575837,16.0188007,0,0,0,4449,299.9968,9975.9045,,,,,,,,,,,,,,,,,21.821617,,,,,,300.0049744,,,,
,27569773.96,300.0045319,9967.9965,0.0171698586162726,9.7211031481148E-6,1,1.99850670813958,40.0298881530762,1.98129256798844,8.85000178590417,0.182498679266063,0.0315866363970928,2.5,7.90021157457887E-6,0.0171693389956603,1.92852084390119E-5,300.0040894,300.0049744,9961.104,9974.889,52.0564593807747,18.4018056988181,15.86036345,0,0,0,4449,299.9962,9967.9965,,,,,,,,,,,,,,,,,21.440407,,,,,,300.0045319,,,,
,27569775.305,300.00390625,9950.355,0.0171619529907277,8.70072814212392E-6,1,1.99850670813958,40.0298881530762,1.98120272823784,8.85000178590417,0.182399259772555,0.0316138914318897,2.5,1.19581969185443E-5,0.0171614312605273,2.33378383222621E-5,300.0037231,300.0040894,9939.606,9961.104,52.2549930246594,18.4051570882713,15.86036345,0,0,0,4449,299.9968,9950.355,,,,,,,,,,,,,,,,,21.440407,,,,,,300.00390625,,,,
,27569777.08,300.00427245,9927.742,0.0171387045367377,5.95441200154211E-6,1,1.99850670813958,40.0298881530762,1.98121153066964,8.85000178590417,0.182152039059789,0.0315764624418438,2.5,1.243705219426E-5,0.017138182980492,2.38012940753613E-5,300.0037231,300.0048218,9915.878,9939.606,52.1166447767555,18.4041204505368,15.93918655,0,0,0,4449,299.9971,9927.742,,,,,,,,,,,,,,,,,21.440407,,,,,,300.00427245,,,,
,27569779.065,300.003891,9902.8995,0.0170870764416572,7.40682546615667E-6,1,1.99850670813958,40.0298881530762,1.98127759439602,8.85000178590417,0.181613723323226,0.0314558361076796,2.5,9.90509129900425E-6,0.0170865583098182,2.12352883755132E-5,300.0029602,300.0048218,9889.921,9915.878,51.7977403409093,18.4041623592169,15.93918655,0,0,0,4449,299.99565,9902.8995,,,,,,,,,,,,,,,,,21.440407,,,,,,300.003891,,,,
,27569781.065,300.0036316,9877.944,0.0170531616487836,7.21342148880374E-6,1,1.99850670813958,40.0298881530762,1.98119012575223,8.85000178590417,0.181248444420172,0.0313754205758205,2.5,8.31884619764689E-6,0.017052645717867,1.96266953286351E-5,300.0029602,300.004303,9865.967,9889.921,52.0900694071017,18.4058088390502,16.0188007,0,0,0,4449,299.99465,9877.944,,,,,,,,,,,,,,,,,21.440407,,,,,,300.0036316,,,,
,27569783.05,300.00431825,9852.593,0.017008500865332,6.18986873295951E-6,1,1.99850670813958,40.0298881530762,1.98121922698176,8.85000178590417,0.180768855628603,0.0313369126487115,2.5,1.23631378042884E-5,0.0170079832082739,2.36413131710089E-5,300.004303,300.0043335,9839.219,9865.967,51.8946622772939,18.4058703174415,15.93918655,0,0,0,4449,299.99435,9852.593,,,,,,,,,,,,,,,,,21.059195,,,,,,300.00431825,,,,
,27569785.07,300.0040436,9826.239,0.0169485380116311,7.71792030087338E-6,1,1.99850670813958,40.0298881530762,1.98129142155542,8.85000178590417,0.180141671175172,0.0312054823271657,2.5,1.02455944531054E-5,0.0169480237060286,2.14840537515771E-5,300.0037537,300.0043335,9813.259,9839.219,52.0939775496978,18.4025905843599,15.8595724,0,0,0,4449,299.9959,9826.239,,,,,,,,,,,,,,,,,21.440407,,,,,,300.0040436,,,,
