,Magnetic Field (Oe),True Field (Oe)
1,19998.4415,20750.01010163241
2,19981.662,20772.136689777977
3,19973.7555,20721.325061618412
4,19955.2545,20717.977808607186
5,19928.5625,20669.814896055028
6,19903.5645,20630.49986795976
7,19879.5555,20578.031374302744
8,19853.286,20579.792347240156
9,19826.3105,20542.469937852948
10,19801.3115,20522.70453953778
11,19776.3125,20479.398144174596
12,19749.9025,20478.328501834887
13,19724.764,20426.33958910377
14,19700.1885,20419.293057376966
15,19675.1895,20400.13356406072
16,19650.3325,20378.793253179883
17,19624.77,20374.858707538624
18,19599.4905,20289.71809369253
19,19575.1985,20315.239804644094
20,19548.929,20281.693442168267
21,19522.66,20244.689858309288
22,19498.2275,20218.266836363862
23,19474.218,20166.02374002776
24,19449.502,20180.225548825296
25,19423.373,20140.951877928095
26,19397.669,20120.139510477708
27,19373.801,20080.39585626253
28,19349.6485,20076.00985300935
29,19323.238,20016.831378949682
30,19298.947,20005.4617449019
31,19275.504,19977.508252871656
32,19250.082,19996.33505860261
33,19224.0945,19936.637418957685
34,19199.2375,19870.151326875322
35,19175.51,19858.704142850656
36,19151.3605,19820.346457940457
37,19128.1985,19815.10678517352
38,19103.9065,19818.18356606948
39,19077.3545,19749.40480232759
40,19052.92,19790.685784300957
41,19028.346,19695.943621991788
42,19003.4905,19699.398321486173
43,18979.4805,19699.633765183156
44,18954.198,19602.305956397315
45,18929.4825,19573.1495473753
46,18905.334,19583.32824029029
47,18880.7605,19580.193158825143
48,18855.903,19540.270964390707
49,18831.328,19502.4175753893
50,18806.753,19506.915960218535
51,18782.462,19423.67230186434
52,18758.454,19441.84576198179
53,18733.8785,19418.353379341846
54,18709.0215,19400.22454393994
55,18685.8595,19376.076120409558
56,18662.2735,19349.74667080775
57,18638.4055,19286.685108332167
58,18614.679,19285.747919917096
59,18589.964,19275.652342407222
60,18564.3995,19219.86585064188
61,18540.955,19189.293034913746
62,18517.0885,19204.74840587549
63,18492.655,19163.170327112042
64,18469.3505,19121.486558442313
65,18445.7655,19103.634102755754
66,18422.322,19109.38956685817
67,18398.171,19053.213837698164
68,18374.8675,19036.821129042677
69,18350.999,18996.759929677377
70,18327.414,18965.864857826946
71,18303.547,18961.692565348603
72,18277.2775,18930.78438277842
73,18252.419,18904.76485426305
74,18229.3995,18865.186601907186
75,18204.261,18849.914805815977
76,18180.673,18824.366053582657
77,18158.923,18790.410175635712
78,18135.338,18742.260977873066
79,18110.9055,18713.067652760572
80,18087.602,18756.630028888747
81,18064.5805,18717.044375665228
82,18040.1475,18707.012343832735
83,18016.1385,18679.78077836365
84,17991.8455,18629.336821178007
85,17968.542,18614.700131163794
86,17945.5215,18548.552862169658
87,17920.8065,18540.478366617397
88,17897.927,18531.809891083194
89,17874.059,18504.428436285623
90,17848.921,18485.223020095207
91,17826.041,18423.52614818108
92,17802.878,18426.249410717573
93,17779.717,18425.20452179889
94,17756.557,18389.897704032424
95,17732.6885,18343.104723142827
96,17709.3845,18288.341873278852
97,17686.362,18269.909136221748
98,17662.3535,18228.046111249125
99,17637.64,18237.953287806857
100,17614.758,18242.83607107295
101,17592.161,18197.653981726286
102,17568.0115,18205.25997871739
103,17544.8485,18112.675600186354
104,17521.121,18105.264488781904
105,17497.536,18082.76336151084
106,17473.67,18091.38113024414
107,17449.2365,18061.285431749286
108,17426.214,18029.98166457155
109,17403.759,18049.273975713164
110,17381.0215,17980.200398004334
111,17358.282,17928.801590547824
112,17334.414,17919.179353037165
113,17310.6875,17924.422271449843
114,17287.3845,17886.55787882775
115,17263.376,17860.49141289608
116,17240.92,17809.4861046487
117,17218.041,17811.843862411464
118,17194.454,17793.628144255505
119,17172.28,17743.465740420223
120,17149.966,17742.683421640773
121,17126.9445,17700.872720664574
122,17102.2295,17692.10171696541
123,17079.0685,17678.850475391726
124,17057.179,17660.209763370876
125,17033.311,17594.44056259261
126,17010.712,17584.083163388874
127,16988.114,17566.94830612839
128,16963.6805,17554.98103420996
129,16939.67,17502.98929255894
130,16918.4855,17491.916402065784
131,16895.6075,17491.8718881109
132,16872.164,17442.416577241096
133,16849.1435,17439.562796931834
134,16824.71,17403.901057347513
135,16803.1015,17350.461213703802
136,16781.917,17360.62908052743
137,16759.1785,17350.976677530416
138,16735.8755,17321.034254135055
139,16711.444,17305.941730268867
140,16688.8465,17278.788918527644
141,16666.3885,17210.048726150206
142,16642.661,17208.163700272475
143,16618.794,17161.566900386042
144,16596.763,17167.76246215354
145,16574.4475,17149.93138072324
146,16550.4375,17093.950614489826
147,16527.418,17100.029641239762
148,16504.964,17046.11961784834
149,16483.3555,17001.38858644898
150,16460.334,17015.928350603033
151,16435.9005,16971.18807167268
152,16412.7385,16977.691497741678
153,16391.5545,16946.896208468523
154,16368.675,16937.87336186925
155,16344.806,16910.735977289332
156,16322.209,16872.108647844794
157,16299.7535,16843.29561449934
158,16276.5915,16801.683961011106
159,16254.2765,16805.131819605896
160,16232.6675,16800.935108935715
161,16208.375,16767.94459506786
162,16186.6255,16746.858187742375
163,16165.1595,16706.960354611216
164,16140.868,16664.74478306986
165,16119.684,16651.54875176686
166,16097.9335,16620.843147219246
167,16074.206,16610.38821166741
168,16051.045,16595.215479846735
169,16027.7405,16578.46643194079
170,16005.425,16552.453578625333
171,15983.959,16514.20571367568
172,15961.363,16479.538580171145
173,15936.93,16488.000110562974
174,15914.898,16449.45862379013
175,15894.279,16369.10622635971
176,15870.6925,16405.038568481796
177,15848.095,16390.884268649726
178,15826.6275,16332.050018148993
179,15804.5945,16358.27885422214
180,15782.705,16316.969561815979
181,15759.4025,16303.594940068846
182,15736.2395,16257.900265561444
183,15714.2075,16215.784734315834
184,15692.8815,16199.892255119008
185,15669.861,16202.729957535628
186,15646.1345,16175.645036770207
187,15623.961,16147.29541566656
188,15602.6355,16129.68976537624
189,15580.6035,16092.11011886805
190,15557.0175,16026.11354893729
191,15535.692,16070.59153503059
192,15514.366,16039.566432817297
193,15490.7805,16011.027181418845
194,15468.7485,15977.423898222869
195,15447.1395,15975.818878641092
196,15423.4125,15899.67720999003
197,15401.3805,15912.261988626395
198,15379.065,15884.819998390558
199,15356.609,15850.280074369832
200,15335.284,15849.041659377968
201,15312.545,15813.85002345057
202,15289.525,15794.743881275093
203,15268.4815,15766.822929023954
204,15247.2975,15757.811465066738
205,15223.713,15724.199128238535
206,15201.821,15718.071198085723
207,15180.354,15659.509582565035
208,15158.0395,15636.856410225231
209,15135.442,15648.687107235246
210,15112.421,15595.94270879663
211,15090.389,15575.9996582562
212,15068.358,15572.368849019651
213,15046.608,15569.626239832976
214,15025.14,15503.478635297002
215,15001.2725,15480.38896776292
216,14979.805,15479.052830792662
217,14959.1835,15437.874977806827
218,14935.4565,15433.191358676546
219,14913.4265,15426.666987441238
220,14891.8185,15390.870485562413
221,14869.9275,15322.545545944153
222,14849.4495,15309.343489367695
223,14827.5575,15296.442816982682
224,14803.406,15255.30053490205
225,14780.386,15249.866859031983
226,14759.9075,15221.439673686711
227,14739.005,15223.306054498977
228,14717.679,15180.026550183537
229,14695.5065,15165.15029441492
230,14672.2035,15144.818521860157
231,14649.3225,15127.759551742496
232,14629.268,15112.919587836006
233,14607.8025,15084.842827353243
234,14583.51,15025.889790060573
235,14563.454,15030.310377243459
236,14542.9765,14995.955157536051
237,14520.521,14984.87815777501
238,14497.641,14965.51700122152
239,14475.326,14941.262931031073
240,14452.8705,14932.347413158554
241,14430.979,14898.291942254382
242,14410.641,14874.055341802585
243,14388.3275,14858.86848566065
244,14366.719,14808.883125383332
245,14345.9575,14807.330640272652
246,14324.0675,14770.89778404721
247,14302.459,14762.504212105085
248,14279.579,14727.842243133313
249,14257.2655,14736.088405546234
250,14236.0805,14702.461258023724
251,14214.1885,14682.236859993574
252,14191.4505,14648.67778347372
253,14170.125,14630.02664883784
254,14149.5055,14583.541167206822
255,14127.7555,14577.380070596913
256,14106.5705,14531.006440018786
257,14084.3975,14526.91843405045
258,14062.3655,14496.636170122085
259,14041.0385,14487.116748499067
260,14019.995,14451.833308252655
261,13999.377,14447.956399121918
262,13978.615,14419.531451402814
263,13956.7235,14406.892139690803
264,13933.562,14357.896622752965
265,13910.682,14343.580490536126
266,13889.0745,14332.165237043468
267,13867.89,14295.934242282563
268,13846.704,14259.531930283229
269,13825.661,14260.813187345604
270,13805.183,14234.745366286623
271,13783.8565,14214.83898021102
272,13760.553,14195.286046567642
273,13738.5215,14153.583124853778
274,13716.3485,14155.285077748164
275,13695.0215,14120.22024392964
276,13675.25,14114.334724458646
277,13654.208,14048.584367173371
278,13633.164,14042.310681721678
279,13610.9895,14039.686694954713
280,13589.0975,13999.35825105774
281,13568.9015,13959.916381493204
282,13547.153,13986.948823518505
283,13524.698,13935.870002589458
284,13504.0785,13929.936504936806
285,13483.035,13889.367623013075
286,13461.567,13850.640056529188
287,13440.3825,13873.310333054982
288,13417.3625,13814.396440233748
289,13394.7645,13766.62284756517
290,13373.156,13791.242863023861
291,13351.831,13768.744327695711
292,13331.776,13741.954123443904
293,13311.1555,13715.300460321136
294,13288.558,13701.871582151296
295,13266.668,13696.885548199021
296,13245.9075,13657.337771255792
297,13223.875,13631.34912391273
298,13203.2555,13623.429941178796
299,13183.1995,13571.259941892582
300,13161.308,13546.861055013014
301,13139.841,13539.774173579019
302,13118.798,13513.995132974198
303,13098.461,13502.951577115102
304,13076.9925,13478.553316176598
305,13054.537,13441.516973674832
306,13032.648,13421.995084636032
307,13012.31,13414.599918433223
308,12990.984,13394.348292077571
309,12968.1055,13390.988407484932
310,12947.4845,13335.110982695634
311,12925.5925,13296.034430127964
312,12904.9735,13284.838322006031
313,12885.485,13273.27495560626
314,12864.0175,13257.67997089405
315,12842.268,13207.096770279411
316,12821.225,13191.911412256048
317,12799.051,13172.953756009696
318,12777.5835,13157.39002169465
319,12756.5395,13129.107531635289
320,12735.2135,13125.544902097663
321,12715.724,13093.143991162948
322,12693.9755,13081.449958820478
323,12671.3775,13055.240293669378
324,12650.0495,13016.586494573277
325,12628.3005,13005.379549479509
326,12607.3985,12988.879513154676
327,12586.9195,12962.367013383999
328,12564.6055,12929.01640708774
329,12543.846,12921.012170734964
330,12523.651,12916.172771347849
331,12503.313,12877.988846586368
332,12482.41,12864.278579544807
333,12459.9545,12850.931655723829
334,12439.193,12820.129661009045
335,12418.0085,12777.572851624866
336,12397.3885,12761.44574398103
337,12376.91,12740.263802635032
338,12354.4555,12715.46890210948
339,12332.8455,12697.499875556869
340,12312.3655,12674.443821331879
341,12291.605,12666.254209678105
342,12269.996,12606.949322258988
343,12248.811,12606.317154738239
344,12227.9095,12602.777824608942
345,12208.5615,12566.942773615685
346,12187.942,12549.092719500628
347,12164.3555,12506.988013993849
348,12143.312,12486.393697042195
349,12123.398,12473.032297961608
350,12102.2125,12465.873117737678
351,12081.4525,12433.963495479296
352,12059.279,12431.935758002272
353,12037.2455,12405.215945172977
354,12016.908,12381.334272649607
355,11997.4185,12331.015402062634
356,11976.3755,12298.639248711603
357,11954.4855,12292.463815722314
358,11933.1585,12271.23841015869
359,11911.6905,12257.96951449534
360,11891.9195,12255.605334457221
361,11870.3105,12212.958523746192
362,11848.42,12205.94435360223
363,11828.9305,12188.639968528823
364,11808.8755,12157.900287635532
365,11785.8555,12125.3033121346
366,11765.094,12102.301109256488
367,11745.1795,12097.450654241233
368,11723.9945,12080.619795014167
369,11703.941,12022.74520494123
370,11682.615,12016.461666481524
371,11661.711,11989.339907461963
372,11640.385,11968.165064379376
373,11619.2005,11961.749863136281
374,11598.44,11935.686437618957
375,11576.4075,11914.780963902125
376,11555.787,11878.90099850431
377,11535.45,11874.02228884172
378,11515.253,11835.879703828312
379,11494.3515,11839.82269692826
380,11472.6035,11797.246301613139
381,11452.266,11780.53035099744
382,11431.5045,11742.765001201522
383,11410.0375,11727.109401269337
384,11388.2875,11723.56497468309
385,11367.2425,11688.320418070874
386,11347.611,11636.931745282729
387,11326.993,11658.677034302804
388,11305.666,11621.594249387997
389,11284.9045,11596.396452208413
390,11263.863,11563.739346969744
391,11242.8185,11577.55048437277
392,11222.197,11545.672489253337
393,11202.001,11505.595230444615
394,11180.9575,11483.16258518237
395,11159.774,11446.266786402375
396,11139.0135,11448.03240894329
397,11116.8385,11421.707454148993
398,11096.218,11409.2771102322
399,11076.445,11385.369932688332
400,11055.4025,11368.434269840947
401,11034.925,11338.36778631456
402,11014.1625,11317.692042308985
403,10993.5425,11277.88500726888
404,10971.5115,11274.044201754828
405,10949.762,11250.502961324062
406,10930.694,11225.789447367846
407,10910.216,11204.168272489856
408,10887.62,11197.772175494325
409,10867.565,11150.809569869187
410,10848.2175,11155.216779781887
411,10825.761,11117.238003568382
412,10803.7285,11095.539376623063
413,10782.685,11092.873992599003
414,10762.0655,11063.902698809326
415,10742.152,11046.80269772265
416,10720.9665,11034.037443281182
417,10699.639,10995.237846042392
418,10678.7365,10978.873458674121
419,10657.977,10946.496981943365
420,10637.075,10935.191012745481
421,10615.748,10900.174481474964
422,10595.6935,10899.039593326303
423,10575.2155,10875.966682985441
424,10554.0295,10832.684155174764
425,10534.2585,10812.795360933593
426,10513.498,10810.450763591534
427,10492.3125,10767.6155041669
428,10471.41,10764.858118604609
429,10450.9305,10742.650775540505
430,10430.452,10718.928155792919
431,10408.844,10689.961764340409
432,10387.8005,10669.584837835551
433,10368.1695,10652.827695930246
434,10348.679,10613.463104507007
435,10326.7875,10607.426942769327
436,10304.8975,10587.420063534202
437,10285.1255,10572.316150084269
438,10264.3635,10550.22237080957
439,10242.3315,10527.974148434647
440,10222.2765,10503.010618269896
441,10203.0675,10471.863547104222
442,10181.8825,10459.363225496174
443,10159.71,10435.269973246002
444,10140.08,10409.910851809766
445,10120.3085,10379.529055545596
446,10099.124,10356.1429356945
447,10077.797,10335.347324057755
448,10057.6,10320.473432000425
449,10036.699,10299.385495320212
450,10014.809,10285.436737567929
451,9995.7415,10267.327614003121
452,9975.544,10243.664249423875
453,9954.0775,10209.83985326279
454,9933.033,10187.480872612154
455,9911.423,10163.27219889314
456,9891.5105,10135.694009031711
457,9870.8915,10122.482546600428
458,9848.5775,10120.353579098648
459,9828.3805,10076.83838368862
460,9807.7605,10073.968813487143
461,9786.4345,10019.364471442632
462,9765.531,10027.338433204612
463,9744.0635,10004.026731827098
464,9723.586,9958.530776780934
465,9703.3905,9964.0055017035
466,9682.3475,9933.367880162963
467,9662.0105,9905.976668567368
468,9642.519,9906.646841657259
469,9621.7575,9877.441118027968
470,9599.867,9864.754179701347
471,9578.1175,9828.620035478085
472,9557.922,9816.625231023196
473,9538.7145,9778.251655953458
474,9517.8115,9752.231349872096
475,9495.638,9737.310602768057
476,9476.0065,9722.859796071512
477,9456.375,9708.912964328772
478,9434.4845,9663.099763941154
479,9414.429,9660.807240343864
480,9394.514,9629.36048035865
481,9372.9065,9618.135761967971
482,9351.863,9585.859161792223
483,9333.3605,9572.74567025014
484,9311.6115,9551.613528867596
485,9288.874,9523.539009725559
486,9268.82,9513.496601927003
487,9249.4715,9473.651312657485
488,9230.1225,9471.586536271989
489,9208.9375,9449.346256160357
490,9186.6235,9432.483117775373
491,9166.145,9404.590168023089
492,9146.7945,9359.006108171325
493,9125.468,9361.888591342211
494,9104.708,9336.86706716416
495,9084.794,9320.346006575155
496,9064.032,9281.292116861294
497,9042.987,9278.367766038513
498,9021.9435,9234.109275958608
499,8999.3475,9209.66682350984
500,8979.575,9207.59877511804
501,8960.2265,9182.196282764238
502,8938.0535,9150.408561400664
503,8916.869,9136.355367220036
504,8896.5305,9102.630026598608
505,8876.193,9103.964767670499
506,8855.151,9059.162584970138
507,8834.8135,9033.260926689878
508,8815.7455,9029.462659261124
509,8794.8425,9012.573862444677
510,8773.941,8989.293347495477
511,8753.4645,8978.798217417814
512,8732.1385,8950.752252596942
513,8710.952,8915.287099910609
514,8689.767,8910.068613039952
515,8669.4295,8879.820271324636
516,8649.658,8848.41365237277
517,8629.038,8836.123715687165
518,8607.1465,8829.463271025923
519,8587.092,8779.995328650637
