[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,2_CuFe2O4_derivative_Hys_after950K_at300K_2TSweep_27062023
FILEOPENTIME,26833272.00,06/27/2023,4:19 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,2_CuFe2O4_derivative_Hys_after950K_at300K_2TSweep_27062023,SAMPLE_MATERIAL
INFO,unknown mass of pwd+Buster cement on quartz after HT,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26834106.65,300.00183105,50000.9685,0.024075453957855,3.64951208205626E-6,1,4.99626677034896,40.0298881530762,1.98211935503529,11.459999717772,0.26609498591034,0.04598757230852,2.5,-2.65631045901932E-5,0.0240746846622303,-1.10072051997908E-5,300.0013733,300.0022888,50000.914,50001.023,52.5168385786017,18.4790311429128,38.594913,0,0,0,200,4417,299.8322,50000.9685,,,,,,,,,,,,,0,,,,9.06473065,,,,,,300.00183105,,,,
,26834316.525,299.9844055,32433.0895,0.0236861205303921,3.32003097770488E-6,1,4.99626677034896,40.0298881530762,1.98217803462482,11.459999717772,0.261793990966653,0.0452763287331807,2.5,-2.33442988685889E-5,0.0236853715281505,-8.01183422779542E-6,299.9837036,299.9851074,32432.945,32433.234,52.761488305121,18.4819103488296,38.213703,0,0,0,200,4417,299.85235,32433.0895,,,,,,,,,,,,,0,,,,8.47275115,,,,,,299.9844055,,,,
,26834471.375,299.9841461,21039.0605,0.0233586729779568,3.14064855064379E-6,1,4.99626677034896,40.0298881530762,1.98227643911218,11.459999717772,0.258185804400287,0.0446601009368391,2.5,-2.23517810147193E-5,0.0233579325768806,-7.21634124188342E-6,299.9840088,299.9842834,21038.514,21039.607,52.5692076893902,18.482420131404,38.213703,0,0,0,200,4417,299.89185,21039.0605,,,,,,,,,,,,,0,,,,9.06473065,,,,,,299.9841461,,,,
,26834581.295,299.98664855,13648.7525,0.023029626024706,2.83200715756574E-6,1,4.99626677034896,40.0298881530762,1.98229386862329,11.459999717772,0.254545453340746,0.0440628563454551,2.5,-1.91953627165315E-5,0.0230288915585545,-4.2641807131656E-6,299.9859619,299.9873352,13648.716,13648.789,52.6895784813517,18.4828838812035,38.213703,0,0,0,200,4417,299.911,13648.7525,,,,,,,,,,,,,0,,,,9.155283,,,,,,299.98664855,,,,
,26834671.235,299.9874268,8853.9625,0.0226397837703679,2.57544224949603E-6,1,4.99626677034896,40.0298881530762,1.98236285876931,11.459999717772,0.250242567836063,0.0433317647403384,2.5,-1.76677103594459E-5,0.0226390598660418,-2.98378017796032E-6,299.986908,299.9879456,8853.921,8854.004,52.6387726276017,18.4843062632499,38.213703,0,0,0,200,4417,299.91815,8853.9625,,,,,,,,,,,,,0,,,,9.1557398,,,,,,299.9874268,,,,
,26834736.17,299.98573305,5743.3385,0.0221218530199785,2.71480534439861E-6,1,4.99626677034896,40.0298881530762,1.98236576384749,11.459999717772,0.2445129179171,0.0423704128966118,2.5,-1.45618501157622E-5,0.0221211447806769,-2.11188207962808E-7,299.9855652,299.9859009,5743.329,5743.348,52.5746790890248,18.4856332687586,38.213703,0,0,0,200,4417,299.93085,5743.3385,,,,,,,,,,,,,0,,,,9.06473065,,,,,,299.98573305,,,,
,26834793.07,299.9886322,3725.8435,0.0213999732306687,2.29920279274353E-6,1,4.99626677034896,40.0298881530762,1.98231600866539,11.459999717772,0.236525707464395,0.0410014525292641,2.5,-1.27612106393733E-5,0.021399285247988,1.12228613375909E-6,299.9884644,299.9888,3725.785,3725.902,52.5199650926786,18.4839287999471,38.213703,0,0,0,200,4417,299.9459,3725.8435,,,,,,,,,,,,,0,,,,9.06608725,,,,,,299.9886322,,,,
,26834841.095,299.99389645,2416.8755,0.0204099360018983,2.10182562487189E-6,1,4.99626677034896,40.0298881530762,1.98233155943618,11.459999717772,0.225588624941094,0.0390832643132837,2.5,-1.4127252929206E-5,0.0204092777279872,-8.8461670669976E-7,299.9938049,299.993988,2416.857,2416.894,52.4042840718325,18.4916295228066,38.213703,0,0,0,200,4417,299.94125,2416.8755,,,,,,,,,,,,,0,,,,9.11068965,,,,,,299.99389645,,,,
,26834882.665,299.99613955,1567.723,0.0191110646344408,1.9685013861678E-6,1,4.99626677034896,40.0298881530762,1.98228916988458,11.459999717772,0.211220205164551,0.0366401019084276,2.5,-9.1734954383371E-6,0.0191104442530934,3.22696874744553E-6,299.9960938,299.9961853,1567.712,1567.734,52.7693045903133,18.4846186331815,38.213703,0,0,0,200,4417,299.9396,1567.723,,,,,,,,,,,,,0,,,,8.8416972,,,,,,299.99613955,,,,
,26834921.055,299.9936066,1016.954,0.0174267665131666,1.75868641157822E-6,1,4.99626677034896,40.0298881530762,1.98223277014355,11.459999717772,0.192594901022522,0.0334375006500685,2.5,-5.87894279550143E-6,0.0174262004942074,5.42891009477404E-6,299.9930115,299.9942017,1016.944,1016.964,52.555138376044,18.4875233602164,38.213703,0,0,0,200,4417,299.93945,1016.954,,,,,,,,,,,,,0,,,,9.11068965,,,,,,299.9936066,,,,
,26834961.005,299.99168395,659.8365,0.0154026898279081,1.44901294954725E-6,1,4.99626677034896,40.0298881530762,1.98239627612812,11.459999717772,0.170234365104326,0.0295825543864323,2.5,-2.80735235102176E-6,0.0154021889293401,7.18671964575465E-6,299.9914856,299.9918823,659.826,659.847,52.3878698729286,18.4848916027269,38.213703,0,0,0,200,4417,299.9522,659.8365,,,,,,,,,,,,,0,,,,8.8076315,,,,,,299.99168395,,,,
,26834995.975,299.99362185,428.2395,0.0131838383926174,1.17187689093858E-6,1,4.99626677034896,40.0298881530762,1.98232624934293,11.459999717772,0.145703703444793,0.0253340230119446,2.5,-1.14747610252883E-6,0.0131834080520448,7.40696595247266E-6,299.9933777,299.993866,428.181,428.298,52.5520118619671,18.4895409561159,38.213703,0,0,0,200,4417,299.9514,428.2395,,,,,,,,,,,,,0,,,,9.201242,,,,,,299.99362185,,,,
,26835035.94,299.99214175,277.691,0.0108168265423754,1.03889986666081E-6,1,4.99626677034896,40.0298881530762,1.98225716509069,11.459999717772,0.119536695906547,0.0208051864618891,2.5,8.95525940663021E-7,0.0108164727606689,7.91401753477079E-6,299.9916382,299.9926453,277.687,277.695,52.5457588338133,18.4870786952469,37.451283,0,0,0,200,4417,299.9543,277.691,,,,,,,,,,,,,0,,,,9.201242,,,,,,299.99214175,,,,
,26835065.915,299.99084475,180.396,0.00873676494604352,9.80585131110601E-7,1,4.99626677034896,40.0298881530762,1.98235674374877,11.459999717772,0.0965519804583671,0.0168202726642904,2.5,2.0884137009281E-6,0.00873647866406584,7.75710697906124E-6,299.990448,299.9912415,180.304,180.488,52.5879667738517,18.4865160428636,38.213703,0,0,0,200,4417,299.96005,180.396,,,,,,,,,,,,,0,,,,9.1557398,,,,,,299.99084475,,,,
,26835112.265,299.9927979,116.828,0.00699090816204391,7.19816088791314E-7,1,4.99626677034896,40.0298881530762,1.98226411096481,11.459999717772,0.0772529383906514,0.0134683314572908,2.5,2.56128941885468E-6,0.0069906781019553,7.09713474901539E-6,299.9927979,299.9927979,116.814,116.842,52.6528419409479,18.4885592936595,38.594913,0,0,0,200,4417,299.96345,116.828,,,,,,,,,,,,,0,,,,9.1097808,,,,,,299.9927979,,,,
,26835140.885,299.99246215,75.9275,0.00563872105102631,6.67750253517373E-7,1,4.99626677034896,40.0298881530762,1.98233786804692,11.459999717772,0.0623116638354067,0.0108704165253971,2.5,2.67692230913187E-6,0.00563853515385884,6.33538458399706E-6,299.9917908,299.9931335,75.765,76.09,52.5895300308902,18.4892088619932,37.832493,0,0,0,200,4417,299.9663,75.9275,,,,,,,,,,,,,0,,,,9.1557398,,,,,,299.99246215,,,,
,26835180.85,299.9941559,49.216,0.00465490188833735,4.83432698360477E-7,1,4.99626677034896,40.0298881530762,1.98228980863282,11.459999717772,0.0514365169965528,0.00898555986416475,2.5,3.29348491218648E-6,0.00465474748910684,6.3135502602006E-6,299.9937439,299.9945679,49.135,49.297,52.4863550663517,18.4864017420686,38.213703,0,0,0,200,4417,299.9706,49.216,,,,,,,,,,,,,0,,,,8.5522752,,,,,,299.9941559,,,,
,26835215.86,299.9921112,32.0285,0.00400033060035877,4.83781492331791E-7,1,4.99626677034896,40.0298881530762,1.98229407938033,11.459999717772,0.0442026719451142,0.00772747473824514,2.5,3.32312953296563E-6,0.00400019783967059,5.91850557261186E-6,299.9913025,299.9929199,32.014,32.043,52.7294415358325,18.4896829445424,38.213703,0,0,0,200,4417,299.97,32.0285,,,,,,,,,,,,,0,,,,9.247201,,,,,,299.9921112,,,,
,26835245.84,299.99151615,20.804,0.00356578182679639,5.55462405983217E-7,1,4.99626677034896,40.0298881530762,1.98228732223309,11.459999717772,0.0394009611212966,0.006887601549935,2.5,2.9234210884317E-6,0.00356566358687508,5.23677079309877E-6,299.9907532,299.9922791,20.753,20.855,52.2854765369094,18.4839698238802,38.213703,0,0,0,200,4417,299.98065,20.804,,,,,,,,,,,,,0,,,,9.247201,,,,,,299.99151615,,,,
,26835276.27,299.99176025,13.5225,0.00326931352883163,4.35834601472411E-7,1,4.99626677034896,40.0298881530762,1.98221626557092,11.459999717772,0.0361317477779523,0.00633320554643709,0.25,4.18059763627032E-6,0.00326920412044124,6.30157758973807E-6,299.9916992,299.9918213,13.456,13.589,52.7052110517363,18.4906167329396,37.832493,0,0,0,200,4417,299.97865,13.5225,,,,,,,,,,,,,0,,,,9.1097808,,,,,,299.99176025,,,,
,26835305.765,299.99235535,8.827,0.00307350166709287,4.09592930475038E-7,1,4.99626677034896,40.0298881530762,1.98229039546339,11.459999717772,0.0339691501866039,0.00595263787241905,0.25,3.79808312655225E-6,0.00307339884654224,5.79198929419339E-6,299.9918213,299.9928894,8.76,8.894,52.3683291599478,18.4876803681391,38.213703,0,0,0,200,4417,299.9843,8.827,,,,,,,,,,,,,0,,,,9.247201,,,,,,299.99235535,,,,
