[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,2_CuFe2O4_derivative_Hys_at300K_2TSweep_19062023
FILEOPENTIME,26133551.13,06/19/2023,1:57 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,2_CuFe2O4_derivative_Hys_at300K_2TSweep_19062023,SAMPLE_MATERIAL
INFO,granular powder in plastic holder,SAMPLE_COMMENT
INFO,20,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26133741.985,299.9670105,20003.2275,0.122521475296138,3.69427018446599E-6,1,4.99626677034896,40.0298881530762,1.99064928027729,9.68000013381243,1.35996723573512,0.236253180794817,25,-2.87789817066935E-5,0.122517604360654,5.05433338913298E-5,299.9670105,299.9670105,20003.223,20003.232,51.9345253317747,18.3637182876582,38.213703,0,0,0,200,4417,300.1204,20003.2275,,,,,,,,,,,,,0,,,,9.433816,,,,,,299.9670105,,,,
,26133872.4,300.01425175,8762.075,0.1168100363814,5.9820261163519E-6,1,4.99626677034896,40.0298881530762,1.990902780115,9.68000013381243,1.29671574456692,0.225335691455204,25,-2.13608892534342E-5,0.11680616571212,5.43554707803877E-5,300.0134583,300.0150452,8762.028,8762.122,51.8032117405439,18.3681195071222,38.213703,0,0,0,200,4417,300.0643,8762.075,,,,,,,,,,,,,0,,,,9.6246767,,,,,,300.01425175,,,,
,26133957.335,300.01887515,3838.7135,0.108487546507807,4.49481431144254E-6,1,4.99626677034896,40.0298881530762,1.991087725521,9.68000013381243,1.20444947230952,0.209212602254209,25,-2.77060731368602E-5,0.10848393814718,4.26494176606049E-5,300.018219,300.0195313,3838.659,3838.768,51.904823448044,18.3728803157312,38.594913,0,0,0,200,4417,300.0372,3838.7135,,,,,,,,,,,,,0,,,,9.7213078,,,,,,300.01887515,,,,
,26134017.215,300.01469425,1681.7605,0.0957640296341258,4.04633835880189E-6,1,4.99626677034896,40.0298881530762,1.99109851563513,9.68999974429607,1.0631745574785,0.184801398413314,25,-1.3254077412084E-5,0.0957608485098406,4.88575945437817E-5,300.0136414,300.0157471,1681.698,1681.823,51.5601252710631,18.371660278599,38.594913,0,0,0,200,4417,300.03975,1681.7605,,,,,,,,,,,,,0,,,,9.7696209,,,,,,300.01469425,,,,
,26134062.18,300.00502015,736.5805,0.0807542039523003,4.32034604445856E-6,1,4.99626677034896,40.0298881530762,1.99106034274098,9.68000013381243,0.896536624220756,0.155731276529106,25,-2.03657068301421E-5,0.0807515506387774,3.20148241626993E-5,300.0043335,300.0057068,736.559,736.602,51.9298355606593,18.3758404160491,38.594913,0,0,0,200,4417,300.0344,736.5805,,,,,,,,,,,,,0,,,,9.8184195,,,,,,300.00502015,,,,
,26134102.15,300.006546,322.746,0.0665538368952781,3.00491940579044E-6,1,4.99626677034896,40.0298881530762,1.99110518400236,9.68000013381243,0.738891821976364,0.128393157397074,25,-1.28239625618707E-5,0.0665516446109081,3.03445678815666E-5,300.0064697,300.0066223,322.735,322.757,52.4527450400248,18.3722598275355,38.213703,0,0,0,200,4417,300.0446,322.746,,,,,,,,,,,,,0,,,,9.35682535,,,,,,300.006546,,,,
,26134137.09,300.00885005,141.6205,0.0555012736277778,2.80583139928917E-6,1,4.99626677034896,40.0298881530762,1.99119377354752,9.68000013381243,0.616200860832735,0.107131888182829,25,-5.62084243458431E-6,0.0554994379626682,3.03814307053052E-5,300.0082397,300.0094604,141.581,141.66,52.4527450400248,18.3747656184353,37.451283,0,0,0,200,4417,300.02605,141.6205,,,,,,,,,,,,,0,,,,8.0854728,,,,,,300.00885005,,,,
,26134172.095,300.00262455,62.075,0.0491284559943472,3.47194518507468E-6,1,4.99626677034896,40.0298881530762,1.99108079316971,9.68999974429607,0.545420228020638,0.0948087551153202,25,-6.48807059453955E-6,0.0491268413635284,2.53801281008852E-5,300.0020142,300.0032349,61.949,62.201,51.9204560184286,18.3779926961852,38.594913,0,0,0,200,4417,300.02865,62.075,,,,,,,,,,,,,0,,,,9.916995,,,,,,300.00262455,,,,
,26134207.09,300.00047305,27.3915,0.046157242263593,3.26119925625894E-6,1,4.99626677034896,40.0298881530762,1.99113374725468,9.68999974429607,0.512446664922274,0.0890799511450868,25,-5.84274589096075E-6,0.0461557281394099,2.40979460985953E-5,300.0000916,300.0008545,27.318,27.465,52.1924627431209,18.3725579503073,37.451283,0,0,0,200,4417,300.03025,27.3915,,,,,,,,,,,,,0,,,,8.24349355,,,,,,300.00047305,,,,
,26134237.055,299.9955597,11.901,0.0446082365104025,3.13798034530226E-6,1,4.99626677034896,40.0298881530762,1.9910970434514,9.68000013381243,0.495231757553864,0.086139925569876,25,-1.0573812393093E-6,0.0446067768774438,2.78781282494272E-5,299.9955444,299.995575,11.875,11.927,52.3003274787748,18.3737093759945,38.213703,0,0,0,200,4417,300.0325,11.901,,,,,,,,,,,,,0,,,,9.536139,,,,,,299.9955597,,,,
