[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,3_CuFe2O4_derivative_Hys_at300K_2TSweep_19062023
FILEOPENTIME,26137655.55,06/19/2023,3:05 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,3_CuFe2O4_derivative_Hys_at300K_2TSweep_19062023,SAMPLE_MATERIAL
INFO,granular powder in plastic holder,SAMPLE_COMMENT
INFO,16.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26137905.39,299.99928285,20004.5985,0.0672969253234893,2.72781020236433E-6,1,4.99626677034896,40.0298881530762,2.00486083537376,9.01999976485968,0.75185814385491,0.130680534875845,2.5,-9.91258972664073E-6,0.0672947289902827,3.36626236244156E-5,299.9992371,299.9993286,20004.582,20004.615,52.0205044688901,18.3671266138617,38.594913,0,0,0,200,4417,300.08335,20004.5985,,,,,,,,,,,,,0,,,,9.3405085,,,,,,299.99928285,,,,
,26138040.32,300.0175171,8761.8785,0.059015194696183,2.08339604825784E-6,1,4.99626677034896,40.0298881530762,2.00495233086308,9.01999976485968,0.65938444142763,0.11446874289039,2.5,-2.0806680503531E-5,0.0590132394976169,1.74503815054834E-5,300.0174561,300.0175781,8761.851,8761.906,51.1474254129093,18.3784363100021,38.594913,0,0,0,200,4417,300.0442,8761.8785,,,,,,,,,,,,,0,,,,9.4342871,,,,,,300.0175171,,,,
,26138120.235,300.00852965,3838.611,0.0501523261154442,1.76778191300974E-6,1,4.99626677034896,40.0298881530762,2.00522120080852,9.01999976485968,0.560416750438245,0.097369921064041,2.5,-1.05798682208813E-5,0.0501506722093886,2.19450471299928E-5,300.0081787,300.0088806,3838.601,3838.621,52.321431448794,18.376992984888,37.832493,0,0,0,200,4417,300.0326,3838.611,,,,,,,,,,,,,0,,,,9.52900605,,,,,,300.00852965,,,,
,26138171.14,300.0083771,1681.8425,0.041389334677142,2.66578250796614E-6,1,4.99626677034896,40.0298881530762,2.00540722652617,9.01999976485968,0.46265916160098,0.0804848993351061,25,-5.79521003166144E-8,0.0413879639462229,2.67873595037455E-5,300.0083313,300.0084229,1681.724,1681.961,52.1361854897363,18.3751878627858,38.594913,0,0,0,200,4417,300.03265,1681.8425,,,,,,,,,,,,,0,,,,9.6725092,,,,,,300.0083771,,,,
,26138219.765,300.0008545,736.719,0.0326841455194924,8.63199883731827E-7,1,4.99626677034896,40.0298881530762,2.00525617188153,9.01999976485968,0.365235294226285,0.0634170464142356,2.5,-1.045695588189E-5,0.0326830771985054,1.07432538257886E-5,300.0008545,300.0008545,736.705,736.733,52.2291992835248,18.3789635049841,38.213703,0,0,0,200,4417,300.0363,736.719,,,,,,,,,,,,,0,,,,9.6241961,,,,,,300.0008545,,,,
,26138250.075,299.9984894,322.7355,0.0245019179642436,1.3301968521311E-6,1,4.99626677034896,40.0298881530762,2.00526218693713,9.01999976485968,0.273803452528067,0.0475341203205346,2.5,-8.47365349186529E-6,0.0245011192547984,7.41925677585709E-6,299.9978943,299.9990845,322.732,322.739,52.6301747138902,18.380571804486,39.357338,0,0,0,200,4417,300.04125,322.7355,,,,,,,,,,,,,0,,,,9.6246767,,,,,,299.9984894,,,,
,26138285.085,300.00028995,141.475,0.0187995209398932,2.11207748664385E-6,1,4.99626677034896,40.0298881530762,2.00531109947225,9.01999976485968,0.210083068776229,0.0364852738662358,2.5,-5.33423502105795E-6,0.0187989063125344,6.8600599428391E-6,299.9997864,300.0007935,141.456,141.494,52.1651057449478,18.3772594696305,38.594913,0,0,0,200,4417,300.0384,141.475,,,,,,,,,,,,,0,,,,8.8247633,,,,,,300.00028995,,,,
,26138320.04,299.9972839,62.078,0.0157274362734721,1.90568418257775E-6,1,4.99626677034896,40.0298881530762,2.00532594220289,9.01999976485968,0.175754211784358,0.030522354267686,2.5,-4.54981180327414E-6,0.0157269235567927,5.65192058266815E-6,299.9966125,299.9979553,62.032,62.124,52.9154691234094,18.3749167089389,37.832493,0,0,0,200,4417,300.0356,62.078,,,,,,,,,,,,,0,,,,9.06608725,,,,,,299.9972839,,,,
,26138355.03,299.9918518,27.3055,0.014213843351491,1.56062902808574E-6,1,4.99626677034896,40.0298881530762,2.00546179928513,9.01999976485968,0.158851040437073,0.0275815035022489,2.5,-4.57726301526739E-6,0.0142133826549147,4.64229298291479E-6,299.991333,299.9923706,27.228,27.383,52.4644694678132,18.3792977325162,38.213703,0,0,0,200,4417,300.0465,27.3055,,,,,,,,,,,,,0,,,,9.6734753,,,,,,299.9918518,,,,
,26138385.015,299.99269105,11.869,0.0134868229093005,1.29371182273015E-6,1,4.99626677034896,40.0298881530762,2.00534347029808,9.01999976485968,0.150720399389938,0.0261525060088431,2.5,-5.84259370921978E-6,0.0134863864279489,2.90523483253806E-6,299.9926453,299.9927368,11.825,11.913,52.4097554714671,18.3838343011016,38.213703,0,0,0,200,4417,300.0526,11.869,,,,,,,,,,,,,0,,,,9.7208223,,,,,,299.99269105,,,,
,26138414.955,299.9924011,5.309,0.0130727701397513,8.55509686658378E-7,1,4.99626677034896,40.0298881530762,2.0054104572891,9.0300003066659,0.146095202385157,0.0253657990455517,2.5,-4.28716542769886E-6,0.0130723462765756,4.19209643710362E-6,299.9922485,299.9925537,5.287,5.331,51.3584651131016,18.3792467641587,38.213703,0,0,0,200,4417,300.0514,5.309,,,,,,,,,,,,,0,,,,9.6246767,,,,,,299.9924011,,,,
,26138447.46,299.9940796,2.501,0.0128073364422267,6.65763097436756E-7,1,4.99626677034896,40.0298881530762,2.00537204063826,9.01999976485968,0.143125948300796,0.0248517831154782,2.5,-4.06781864017201E-6,0.0128069204654334,4.23911277591925E-6,299.9940491,299.9941101,2.456,2.546,53.0905539117171,18.3816033709758,38.213703,0,0,0,200,4417,300.0563,2.501,,,,,,,,,,,,,0,,,,9.6725092,,,,,,299.9940796,,,,
,26138479.9,299.9967804,0.1835,0.0126317338722408,6.74130159706224E-7,1,4.99626677034896,40.0298881530762,2.00537314566673,9.01999976485968,0.141163858722855,0.0245095513625075,2.5,-4.1460792386937E-6,0.01263132265204,4.04697717051226E-6,299.9966736,299.9968872,0.112,0.255,52.2088769420248,18.3829944163891,38.213703,0,0,0,200,4417,300.05575,0.1835,,,,,,,,,,,,,0,,,,9.8184195,,,,,,299.9967804,,,,
,26138514.9,299.9958954,-2.247,0.012530039852564,5.97917672788478E-7,1,4.99626677034896,40.0298881530762,2.00545358729584,9.01999976485968,0.14003253768065,0.0243145507997962,2.5,-3.98898024957827E-6,0.0125296321936409,4.1381572491466E-6,299.9958496,299.9959412,-2.294,-2.2,51.8970071628516,18.3837326376347,38.594913,0,0,0,200,4417,300.05435,-2.247,,,,,,,,,,,,,0,,,,9.6241961,,,,,,299.9958954,,,,
,26138544.88,299.9977417,-5.021,0.0123799026940576,6.10005026564424E-7,1,4.99626677034896,40.0298881530762,2.00538902462771,9.01999976485968,0.138350176187673,0.0240235732429084,2.5,-3.84218217325691E-6,0.0123794991680245,4.18753263585828E-6,299.9969788,299.9985046,-5.034,-5.008,52.9209405230441,18.3771227723615,38.594913,0,0,0,200,4417,300.05555,-5.021,,,,,,,,,,,,,0,,,,9.7696209,,,,,,299.9977417,,,,
,26138574.835,299.9996643,-11.78,0.0121295955507976,5.84689716025132E-7,1,4.99626677034896,40.0298881530762,2.00548858301438,9.01999976485968,0.135559159664736,0.0235399767607488,2.5,-3.67378635649836E-6,0.0121291994164272,4.19360223853307E-6,299.9995117,299.9998169,-11.812,-11.748,52.2377971972363,18.385779817228,37.832493,0,0,0,200,4417,300.0546,-11.78,,,,,,,,,,,,,0,,,,9.44134905,,,,,,299.9996643,,,,
,26138609.845,300.00170895,-27.034,0.011607543959865,6.63741003954883E-7,1,4.99626677034896,40.0298881530762,2.0053957268577,9.01999976485968,0.129719449226019,0.0225232509016806,2.5,-3.7463142504629E-6,0.0116071643005285,3.7825330031666E-6,300.0012512,300.0021667,-27.093,-26.975,52.6981763950633,18.3841797481042,38.594913,0,0,0,200,4417,300.0525,-27.034,,,,,,,,,,,,,0,,,,9.7213078,,,,,,300.00170895,,,,
,26138644.78,300.00082395,-61.8535,0.0103905814144535,1.11046195287204E-6,1,4.99626677034896,40.0298881530762,2.00549904221129,9.01999976485968,0.116124734181812,0.0201648835810867,2.5,-3.17203064555146E-6,0.0103902417206095,3.56746191373928E-6,299.9998474,300.0018005,-61.86,-61.847,52.4285145559286,18.37935692328,38.594913,0,0,0,200,4417,300.0525,-61.8535,,,,,,,,,,,,,0,,,,9.6725092,,,,,,300.00082395,,,,
,26138679.75,300.00227355,-141.3545,0.00731876945446676,2.27089863017188E-6,1,4.99626677034896,40.0298881530762,2.00547855654248,9.01999976485968,0.0817962496551807,0.014187387232465,2.5,-3.65940954051343E-6,0.00731853078722032,1.08772431655061E-6,300.0018921,300.002655,-141.4,-141.309,52.8029146166402,18.3845076368356,38.594913,0,0,0,200,4417,300.0508,-141.3545,,,,,,,,,,,,,0,,,,9.72276305,,,,,,300.00227355,,,,
