[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,3_CuFe2O4_derivative_Hys_at300K_5TSweep_19062023
FILEOPENTIME,26209502.50,06/20/2023,11:02 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM061,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,113,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 B0,OVEN_HW_VERSION
INFO,OVN054,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,818,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,3_CuFe2O4_derivative_Hys_at300K_5TSweep_19062023,SAMPLE_MATERIAL
INFO,granular powder in plastic holder,SAMPLE_COMMENT
INFO,16.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26210032.075,300.01589965,50003.8085,0.0750073280399334,3.81838650176941E-6,1,4.99626677034896,40.0298881530762,1.99152424067498,9.01999976485968,0.832918488421624,0.144693177098128,25,-1.75990262810176E-5,0.0750048600752949,3.08356215130615E-5,300.0155945,300.0162048,50003.078,50004.539,52.5340344060248,18.3635869005351,38.594913,0,0,0,200,4417,299.9781,50003.8085,,,,,,,,,,,,,0,,,,10.424922,,,,,,300.01589965,,,,
,26210356.86,299.98609925,20293.13,0.0674021868599519,3.32048575595898E-6,1,4.99626677034896,40.0298881530762,1.99176895937483,9.01999976485968,0.748553794005886,0.130050376533692,25,-1.48201978170938E-5,0.0674000158810829,2.88357774839611E-5,299.9856873,299.9865112,20292.631,20293.629,52.260464424294,18.3784857202988,38.976128,0,0,0,200,4417,300.0041,20293.13,,,,,,,,,,,,,0,,,,10.424922,,,,,,299.98609925,,,,
,26210506.76,299.9927063,8237.793,0.0583947810998871,3.44872857115863E-6,1,4.99626677034896,40.0298881530762,1.99172304096513,9.0300003066659,0.648504913410143,0.11266899657565,25,-1.28193274270016E-5,0.058392884746207,2.50402471331361E-5,299.9920654,299.9933472,8237.781,8237.805,51.9611007014286,18.3764131454361,38.594913,0,0,0,200,4417,300.02175,8237.793,,,,,,,,,,,,,0,,,,8.96000505,,,,,,299.9927063,,,,
,26210591.675,299.9921112,3343.428,0.0487271022636533,2.23923523027192E-6,1,4.99626677034896,40.0298881530762,1.99169439142875,9.01999976485968,0.541124761231161,0.0940605258806171,25,-6.56522269316856E-6,0.0487255170440434,2.50363405362646E-5,299.9917297,299.9924927,3343.402,3343.454,52.9201588945248,18.3769344669737,38.976128,0,0,0,200,4417,300.03265,3343.428,,,,,,,,,,,,,0,,,,10.4772544,,,,,,299.9921112,,,,
,26210641.68,299.99220275,1357.013,0.0392519082191627,2.11565690234936E-6,1,4.99626677034896,40.0298881530762,1.99167885726535,9.0300003066659,0.435900793324389,0.0757503545969289,25,-7.0142814689812E-6,0.039250631965128,1.84452133755246E-5,299.9920654,299.9923401,1356.94,1357.086,52.0752184652363,18.383855039457,38.213703,0,0,0,200,4417,300.03445,1357.013,,,,,,,,,,,,,0,,,,10.424922,,,,,,299.99220275,,,,
,26210686.62,299.993927,550.7535,0.0297067773266674,1.90884377430762E-6,1,4.99626677034896,40.0298881530762,1.99175077470954,9.01999976485968,0.329901534352795,0.0573888833460616,25,-1.55350446936258E-7,0.0297058064993527,1.91131856976986E-5,299.9936523,299.9942017,550.737,550.77,52.2995458502555,18.3789124666921,38.976128,0,0,0,200,4417,300.0403,550.7535,,,,,,,,,,,,,0,,,,10.26999905,,,,,,299.993927,,,,
,26210731.635,300.0003052,223.607,0.0216365769373807,1.32091219425875E-6,1,4.99626677034896,40.0298881530762,1.99170846830137,9.01999976485968,0.2402127514282,0.041729239652726,2.5,-5.14948394329905E-6,0.021635868878823,8.88528079989834E-6,300.0001221,300.0004883,223.592,223.622,53.0592887709479,18.3786537209345,38.213703,0,0,0,200,4417,300.03315,223.607,,,,,,,,,,,,,0,,,,10.4772544,,,,,,300.0003052,,,,
,26210766.56,299.99882505,90.8955,0.0168972727295792,2.20085239666259E-6,1,4.99626677034896,40.0298881530762,1.99182514080811,9.01999976485968,0.187606176944397,0.0325941262997537,2.5,-3.70795753389338E-6,0.0168967203151694,7.25263448880238E-6,299.9982605,299.9993896,90.766,91.025,52.6051626012748,18.3838821060661,38.594913,0,0,0,200,4417,300.03365,90.8955,,,,,,,,,,,,,0,,,,10.3212967,,,,,,299.99882505,,,,
,26210801.595,300.0007782,36.931,0.0146609110082268,1.87801638120519E-6,1,4.99626677034896,40.0298881530762,1.99179261804783,9.01999976485968,0.162774396183958,0.0282767265864591,2.5,-3.49718459405697E-6,0.0146604310161461,6.01282985464376E-6,300.0004578,300.0010986,36.864,36.998,52.8162023014671,18.3829589915569,38.976128,0,0,0,200,4417,300.03265,36.931,,,,,,,,,,,,,0,,,,10.12167075,,,,,,300.0007782,,,,
,26210831.54,299.994812,14.876,0.0136676507141576,1.60419418090145E-6,1,4.99626677034896,40.0298881530762,1.99185161053083,9.01999976485968,0.151750719681493,0.0263630932951953,2.5,-3.14042425344989E-6,0.0136672056364176,5.7252311054752E-6,299.9936523,299.9959717,14.856,14.896,52.7911901888517,18.3813128370329,38.594913,0,0,0,200,4417,300.0346,14.876,,,,,,,,,,,,,0,,,,10.4772544,,,,,,299.994812,,,,
